Timestamp (us),W,X,Y,Z
0,0.675902,0.046072,0.019810,0.735283
8333,0.675850,0.046117,0.019889,0.735326
16666,0.675837,0.046164,0.019958,0.735334
24999,0.675785,0.046233,0.019998,0.735375
33332,0.675755,0.046247,0.020030,0.735402
41665,0.675729,0.046217,0.020122,0.735425
49998,0.675726,0.046211,0.020196,0.735426
58331,0.675706,0.046209,0.020286,0.735442
66664,0.675692,0.046244,0.020370,0.735450
74997,0.675695,0.046288,0.020485,0.735441
83330,0.675730,0.046265,0.020556,0.735409
91663,0.675766,0.046340,0.020595,0.735369
99996,0.675810,0.046399,0.020645,0.735324
108329,0.675831,0.046438,0.020688,0.735301
116662,0.675882,0.046485,0.020691,0.735252
124995,0.675941,0.046479,0.020693,0.735197
133328,0.675992,0.046469,0.020701,0.735151
141661,0.676002,0.046496,0.020771,0.735138
149994,0.676008,0.046466,0.020782,0.735134
158327,0.675973,0.046480,0.020797,0.735165
166660,0.675984,0.046485,0.020852,0.735153
174993,0.676022,0.046514,0.020905,0.735115
183326,0.675994,0.046458,0.020934,0.735144
191659,0.675960,0.046461,0.020991,0.735173
199992,0.675907,0.046458,0.021023,0.735221
208325,0.675923,0.046382,0.021085,0.735209
216658,0.675942,0.046337,0.021108,0.735193
224991,0.675920,0.046319,0.021132,0.735214
233324,0.675950,0.046280,0.021138,0.735189
241657,0.675948,0.046224,0.021104,0.735195
249990,0.675998,0.046138,0.021006,0.735158
258323,0.676007,0.046095,0.020993,0.735153
266656,0.676026,0.046054,0.020896,0.735140
274989,0.676081,0.046000,0.020823,0.735095
283322,0.676153,0.045957,0.020750,0.735034
291655,0.676202,0.045937,0.020607,0.734994
299988,0.676258,0.045879,0.020525,0.734948
308321,0.676302,0.045924,0.020438,0.734907
316654,0.676374,0.045954,0.020405,0.734840
324987,0.676479,0.045951,0.020321,0.734746
333320,0.676490,0.046026,0.020286,0.734732
341653,0.676517,0.046126,0.020325,0.734700
349986,0.676550,0.046231,0.020354,0.734663
358319,0.676594,0.046386,0.020435,0.734610
