Timestamp (us),W,X,Y,Z
0,0.717761,0.061859,0.041452,0.692296
8333,0.717767,0.061924,0.041509,0.692281
16666,0.717764,0.061935,0.041569,0.692280
24999,0.717777,0.061926,0.041550,0.692268
33332,0.717796,0.061945,0.041526,0.692248
41665,0.717821,0.061966,0.041581,0.692217
49998,0.717851,0.061998,0.041651,0.692179
58331,0.717858,0.061977,0.041655,0.692174
66664,0.717872,0.061992,0.041613,0.692160
74997,0.717889,0.061967,0.041585,0.692146
83330,0.717899,0.061979,0.041553,0.692136
91663,0.717928,0.061970,0.041573,0.692106
99996,0.717933,0.061907,0.041528,0.692109
108329,0.717926,0.061898,0.041478,0.692121
116662,0.717936,0.061861,0.041456,0.692115
124995,0.717944,0.061799,0.041406,0.692114
133328,0.717962,0.061794,0.041377,0.692098
141661,0.717964,0.061772,0.041363,0.692099
149994,0.717975,0.061727,0.041323,0.692094
158327,0.717974,0.061729,0.041315,0.692096
166660,0.717977,0.061694,0.041279,0.692097
174993,0.717984,0.061642,0.041265,0.692096
183326,0.717995,0.061664,0.041306,0.692080
191659,0.718002,0.061650,0.041272,0.692075
199992,0.717976,0.061601,0.041215,0.692111
208325,0.717974,0.061539,0.041206,0.692119
216658,0.717970,0.061514,0.041168,0.692128
224991,0.717942,0.061470,0.041118,0.692163
233324,0.717915,0.061423,0.041053,0.692199
241657,0.717886,0.061403,0.041035,0.692232
249990,0.717867,0.061387,0.041046,0.692253
258323,0.717833,0.061357,0.041034,0.692292
266656,0.717789,0.061328,0.040992,0.692342
274989,0.717772,0.061303,0.040955,0.692364
283322,0.717755,0.061296,0.040983,0.692380
291655,0.717743,0.061275,0.040984,0.692395
299988,0.717724,0.061276,0.040992,0.692414
308321,0.717680,0.061323,0.041002,0.692455
316654,0.717655,0.061269,0.040974,0.692487
324987,0.717658,0.061259,0.040972,0.692486
333320,0.717638,0.061252,0.040967,0.692507
341653,0.717638,0.061288,0.040998,0.692501
349986,0.717625,0.061345,0.041032,0.692508
358319,0.717604,0.061276,0.040985,0.692539
366652,0.717602,0.061275,0.040975,0.692541
374985,0.717602,0.061282,0.040968,0.692541
383318,0.717598,0.061251,0.040998,0.692546
391651,0.717588,0.061269,0.040970,0.692556
399984,0.717572,0.061337,0.040987,0.692567
408317,0.717589,0.061303,0.040976,0.692553
416650,0.717605,0.061293,0.040973,0.692537
424983,0.717634,0.061304,0.040974,0.692506
433316,0.717661,0.061273,0.040938,0.692482
441649,0.717693,0.061315,0.041018,0.692441
449982,0.717706,0.061303,0.040955,0.692433
458315,0.717762,0.061242,0.040889,0.692383
466648,0.717775,0.061258,0.040842,0.692372
474981,0.717801,0.061265,0.040797,0.692347
483314,0.717808,0.061253,0.040792,0.692341
491647,0.717852,0.061250,0.040812,0.692294
499980,0.717885,0.061277,0.040780,0.692260
508313,0.717925,0.061219,0.040762,0.692225
516646,0.717962,0.061273,0.040774,0.692181
524979,0.718012,0.061236,0.040728,0.692135
533312,0.718032,0.061243,0.040713,0.692113
541645,0.718078,0.061262,0.040718,0.692065
549978,0.718110,0.061281,0.040743,0.692028
558311,0.718164,0.061267,0.040722,0.691975
566644,0.718174,0.061354,0.040744,0.691955
