Timestamp (us),W,X,Y,Z
0,0.646757,0.064632,-0.052906,0.758109
8333,0.646727,0.064665,-0.052868,0.758135
16666,0.646677,0.064648,-0.052906,0.758176
24999,0.646640,0.064602,-0.052943,0.758208
33332,0.646603,0.064525,-0.053028,0.758241
41665,0.646576,0.064453,-0.053104,0.758264
49998,0.646546,0.064375,-0.053113,0.758296
58331,0.646505,0.064317,-0.053117,0.758336
66664,0.646461,0.064233,-0.053164,0.758377
74997,0.646418,0.064264,-0.053149,0.758412
83330,0.646391,0.064259,-0.053128,0.758437
91663,0.646351,0.064297,-0.053053,0.758473
99996,0.646290,0.064368,-0.053038,0.758521
108329,0.646240,0.064364,-0.053095,0.758559
116662,0.646197,0.064350,-0.053144,0.758593
124995,0.646177,0.064509,-0.052961,0.758610
133328,0.646106,0.064604,-0.052878,0.758668
141661,0.646048,0.064645,-0.052921,0.758711
149994,0.646049,0.064704,-0.052873,0.758709
158327,0.646021,0.064796,-0.052785,0.758730
166660,0.645994,0.064727,-0.052888,0.758752
174993,0.645973,0.064766,-0.052916,0.758765
183326,0.645961,0.064803,-0.052932,0.758771
191659,0.645933,0.064728,-0.053065,0.758792
199992,0.645912,0.064635,-0.053193,0.758809
208325,0.645928,0.064689,-0.053133,0.758795
216658,0.645917,0.064658,-0.053168,0.758804
224991,0.645901,0.064486,-0.053415,0.758815
233324,0.645906,0.064394,-0.053568,0.758807
241657,0.645947,0.064348,-0.053642,0.758771
249990,0.645982,0.064556,-0.053458,0.758737
258323,0.646043,0.064640,-0.053410,0.758681
266656,0.646106,0.064706,-0.053382,0.758624
274989,0.646102,0.064800,-0.053325,0.758623
283322,0.646150,0.064814,-0.053322,0.758582
291655,0.646158,0.064879,-0.053294,0.758572
299988,0.646221,0.064866,-0.053308,0.758518
308321,0.646250,0.064897,-0.053320,0.758489
316654,0.646262,0.064902,-0.053323,0.758478
324987,0.646279,0.064840,-0.053346,0.758468
333320,0.646313,0.064848,-0.053336,0.758439
341653,0.646331,0.064920,-0.053271,0.758422
349986,0.646353,0.064959,-0.053283,0.758399
358319,0.646372,0.064906,-0.053422,0.758378
366652,0.646379,0.065047,-0.053310,0.758367
374985,0.646423,0.065042,-0.053301,0.758331
383318,0.646451,0.064844,-0.053559,0.758306
391651,0.646474,0.064758,-0.053655,0.758287
399984,0.646483,0.064795,-0.053684,0.758274
408317,0.646529,0.064834,-0.053596,0.758237
416650,0.646576,0.064766,-0.053640,0.758200
424983,0.646590,0.064793,-0.053639,0.758186
433316,0.646613,0.064798,-0.053619,0.758167
441649,0.646610,0.064941,-0.053497,0.758167
449982,0.646649,0.065069,-0.053405,0.758129
458315,0.646707,0.065214,-0.053242,0.758078
466648,0.646745,0.065187,-0.053277,0.758046
474981,0.646768,0.065226,-0.053237,0.758025
483314,0.646794,0.065321,-0.053173,0.758000
491647,0.646832,0.065399,-0.053068,0.757968
499980,0.646855,0.065470,-0.052993,0.757947
