Timestamp (us),W,X,Y,Z
0,0.636799,-0.004068,-0.013381,0.770903
8333,0.636813,-0.003972,-0.013382,0.770892
16666,0.636794,-0.004087,-0.013293,0.770908
24999,0.636750,-0.004132,-0.013291,0.770944
33332,0.636758,-0.004125,-0.013342,0.770937
41665,0.636782,-0.004072,-0.013391,0.770917
49998,0.636819,-0.004137,-0.013402,0.770886
58331,0.636819,-0.004114,-0.013417,0.770886
66664,0.636797,-0.004166,-0.013371,0.770905
74997,0.636811,-0.004127,-0.013453,0.770892
83330,0.636801,-0.004107,-0.013415,0.770901
91663,0.636791,-0.004124,-0.013432,0.770908
99996,0.636801,-0.004131,-0.013375,0.770901
108329,0.636789,-0.004104,-0.013425,0.770911
116662,0.636798,-0.004183,-0.013382,0.770903
124995,0.636809,-0.004195,-0.013350,0.770895
133328,0.636820,-0.004202,-0.013334,0.770886
141661,0.636806,-0.004191,-0.013357,0.770897
149994,0.636788,-0.004144,-0.013345,0.770912
158327,0.636807,-0.004067,-0.013389,0.770896
166660,0.636790,-0.004045,-0.013398,0.770910
174993,0.636799,-0.004126,-0.013455,0.770901
183326,0.636795,-0.004214,-0.013407,0.770905
191659,0.636800,-0.004195,-0.013438,0.770900
199992,0.636807,-0.004161,-0.013447,0.770895
208325,0.636817,-0.004149,-0.013528,0.770885
216658,0.636822,-0.004139,-0.013495,0.770882
224991,0.636830,-0.004175,-0.013468,0.770876
233324,0.636811,-0.004135,-0.013445,0.770891
241657,0.636781,-0.004078,-0.013506,0.770915
249990,0.636804,-0.004204,-0.013402,0.770898
258323,0.636806,-0.004269,-0.013388,0.770896
266656,0.636814,-0.004271,-0.013400,0.770889
274989,0.636796,-0.004124,-0.013491,0.770903
283322,0.636813,-0.004157,-0.013515,0.770888
291655,0.636788,-0.004161,-0.013517,0.770909
299988,0.636784,-0.004151,-0.013581,0.770912
308321,0.636816,-0.004150,-0.013541,0.770886
316654,0.636814,-0.004190,-0.013500,0.770888
324987,0.636830,-0.004201,-0.013486,0.770875
333320,0.636819,-0.004249,-0.013495,0.770884
341653,0.636808,-0.004249,-0.013466,0.770893
349986,0.636812,-0.004226,-0.013449,0.770890
358319,0.636810,-0.004188,-0.013444,0.770892
366652,0.636789,-0.004195,-0.013471,0.770909
374985,0.636773,-0.004190,-0.013460,0.770923
383318,0.636787,-0.004249,-0.013450,0.770911
391651,0.636760,-0.004233,-0.013504,0.770932
399984,0.636772,-0.004238,-0.013516,0.770922
408317,0.636802,-0.004235,-0.013542,0.770897
416650,0.636800,-0.004251,-0.013522,0.770899
424983,0.636814,-0.004303,-0.013463,0.770888
433316,0.636784,-0.004318,-0.013491,0.770912
441649,0.636810,-0.004268,-0.013528,0.770890
449982,0.636810,-0.004197,-0.013566,0.770890
458315,0.636790,-0.004222,-0.013529,0.770907
466648,0.636763,-0.004280,-0.013545,0.770929
474981,0.636773,-0.004223,-0.013540,0.770920
483314,0.636803,-0.004221,-0.013532,0.770896
491647,0.636803,-0.004158,-0.013560,0.770896
499980,0.636819,-0.004182,-0.013528,0.770883
508313,0.636788,-0.004067,-0.013555,0.770909
516646,0.636793,-0.004153,-0.013535,0.770905
524979,0.636803,-0.004173,-0.013452,0.770898
533312,0.636804,-0.004127,-0.013498,0.770896
541645,0.636812,-0.004115,-0.013567,0.770888
549978,0.636808,-0.004190,-0.013482,0.770893
558311,0.636757,-0.004045,-0.013503,0.770935
566644,0.636784,-0.004131,-0.013474,0.770914
574977,0.636803,-0.004144,-0.013446,0.770899
583310,0.636782,-0.004103,-0.013492,0.770915
591643,0.636796,-0.004175,-0.013440,0.770904
599976,0.636825,-0.004185,-0.013323,0.770882
608309,0.636801,-0.004157,-0.013306,0.770902
616642,0.636780,-0.003999,-0.013374,0.770919
624975,0.636778,-0.004018,-0.013335,0.770922
633308,0.636794,-0.004049,-0.013171,0.770911
641641,0.636833,-0.003878,-0.013088,0.770881
649974,0.636792,-0.003773,-0.012887,0.770919
658307,0.636741,-0.003552,-0.012737,0.770965
666640,0.636770,-0.003381,-0.012308,0.770948
674973,0.636780,-0.003119,-0.012065,0.770945
683306,0.636798,-0.003062,-0.011667,0.770936
691639,0.636756,-0.002858,-0.011349,0.770977
699972,0.636768,-0.002725,-0.010989,0.770973
708305,0.636779,-0.002618,-0.010727,0.770967
716638,0.636759,-0.002635,-0.010331,0.770989
724971,0.636754,-0.002619,-0.010061,0.770997
733304,0.636770,-0.002489,-0.009892,0.770987
741637,0.636797,-0.002356,-0.009626,0.770968
749970,0.636835,-0.002149,-0.009316,0.770941
758303,0.636864,-0.001977,-0.008972,0.770922
766636,0.636841,-0.001747,-0.008603,0.770945
774969,0.636881,-0.001582,-0.008244,0.770916
783302,0.636870,-0.001327,-0.008018,0.770928
791635,0.636904,-0.001085,-0.007731,0.770904
799968,0.636965,-0.001117,-0.007366,0.770857
808301,0.636989,-0.000910,-0.007159,0.770839
816634,0.636984,-0.000670,-0.006876,0.770846
824967,0.637044,-0.000642,-0.006536,0.770800
833300,0.637108,-0.000478,-0.006339,0.770749
841633,0.637068,-0.000326,-0.006188,0.770783
849966,0.637107,-0.000227,-0.005893,0.770753
858299,0.637126,-0.000223,-0.005709,0.770738
866632,0.637172,-0.000048,-0.005487,0.770702
874965,0.637198,0.000114,-0.005422,0.770681
883298,0.637209,0.000264,-0.005218,0.770673
891631,0.637200,0.000367,-0.005002,0.770682
899964,0.637207,0.000594,-0.004913,0.770677
908297,0.637221,0.000671,-0.004794,0.770666
916630,0.637232,0.000702,-0.004745,0.770657
924963,0.637245,0.000752,-0.004704,0.770647
933296,0.637274,0.000760,-0.004634,0.770623
941629,0.637309,0.000920,-0.004521,0.770595
949962,0.637351,0.001037,-0.004468,0.770560
958295,0.637383,0.001044,-0.004372,0.770534
966628,0.637379,0.000988,-0.004306,0.770538
974961,0.637396,0.001099,-0.004199,0.770524
983294,0.637395,0.001119,-0.004140,0.770525
991627,0.637422,0.001143,-0.004175,0.770503
999960,0.637384,0.001107,-0.004423,0.770532
1008293,0.637353,0.001158,-0.004578,0.770558
1016626,0.637238,0.001451,-0.004753,0.770651
1024959,0.637155,0.001490,-0.004832,0.770719
1033292,0.637154,0.001665,-0.005022,0.770719
1041625,0.637210,0.001668,-0.005071,0.770672
1049958,0.637159,0.001737,-0.005118,0.770713
1058291,0.637104,0.001835,-0.005214,0.770758
1066624,0.637045,0.001830,-0.005052,0.770808
1074957,0.636984,0.001998,-0.005012,0.770858
