Timestamp (us),W,X,Y,Z
0,0.773851,0.085186,-0.030472,0.626872
8333,0.773841,0.085180,-0.030453,0.626887
16666,0.773807,0.085515,-0.030212,0.626895
24999,0.773795,0.085553,-0.030193,0.626905
33332,0.773764,0.085385,-0.030377,0.626958
41665,0.773732,0.085498,-0.030327,0.626985
49998,0.773735,0.085290,-0.030457,0.627002
58331,0.773716,0.085176,-0.030517,0.627038
66664,0.773688,0.085040,-0.030628,0.627086
74997,0.773657,0.085069,-0.030605,0.627121
83330,0.773601,0.085098,-0.030554,0.627189
91663,0.773565,0.085044,-0.030536,0.627241
99996,0.773488,0.084995,-0.030601,0.627340
108329,0.773425,0.085058,-0.030613,0.627408
116662,0.773354,0.085286,-0.030473,0.627472
124995,0.773295,0.085342,-0.030320,0.627545
133328,0.773284,0.085218,-0.030381,0.627572
141661,0.773202,0.085262,-0.030419,0.627665
149994,0.773144,0.085435,-0.030262,0.627721
158327,0.773118,0.085356,-0.030283,0.627762
166660,0.773111,0.085336,-0.030372,0.627769
174993,0.773075,0.085413,-0.030366,0.627803
183326,0.773066,0.085402,-0.030415,0.627814
191659,0.773039,0.085357,-0.030556,0.627847
199992,0.773027,0.085395,-0.030611,0.627853
208325,0.773048,0.085410,-0.030564,0.627828
216658,0.773104,0.085228,-0.030732,0.627775
224991,0.773072,0.085250,-0.030887,0.627804
233324,0.773053,0.085409,-0.030874,0.627807
241657,0.773053,0.085503,-0.030856,0.627795
249990,0.773088,0.085513,-0.030769,0.627755
258323,0.773073,0.085559,-0.030732,0.627768
266656,0.773031,0.085679,-0.030649,0.627808
274989,0.773071,0.085745,-0.030586,0.627752
283322,0.773098,0.085795,-0.030552,0.627715
291655,0.773154,0.085893,-0.030480,0.627635
299988,0.773212,0.085997,-0.030404,0.627554
308321,0.773195,0.086331,-0.030167,0.627540
316654,0.773325,0.086067,-0.030386,0.627406
324987,0.773394,0.085995,-0.030431,0.627328
333320,0.773452,0.085966,-0.030448,0.627260
341653,0.773499,0.085850,-0.030512,0.627215
349986,0.773504,0.086161,-0.030297,0.627176
358319,0.773525,0.085931,-0.030610,0.627167
366652,0.773568,0.086130,-0.030407,0.627097
374985,0.773579,0.086230,-0.030313,0.627073
383318,0.773601,0.085942,-0.030720,0.627066
391651,0.773645,0.085816,-0.030877,0.627021
399984,0.773668,0.085759,-0.030980,0.626996
408317,0.773658,0.086066,-0.030658,0.626981
416650,0.773691,0.086147,-0.030601,0.626933
424983,0.773766,0.086048,-0.030694,0.626849
433316,0.773823,0.086070,-0.030657,0.626777
441649,0.773865,0.086160,-0.030531,0.626719
449982,0.773865,0.086350,-0.030354,0.626702
458315,0.773864,0.086392,-0.030228,0.626703
466648,0.773908,0.086311,-0.030317,0.626656
474981,0.773937,0.086342,-0.030270,0.626618
483314,0.773953,0.086389,-0.030220,0.626594
491647,0.773949,0.086478,-0.030078,0.626593
499980,0.773968,0.086560,-0.029972,0.626564
508313,0.774013,0.086521,-0.029955,0.626514
516646,0.774057,0.086524,-0.029929,0.626461
524979,0.774159,0.086609,-0.029801,0.626329
533312,0.774193,0.086596,-0.029787,0.626290
541645,0.774255,0.086442,-0.029926,0.626228
549978,0.774286,0.086772,-0.029717,0.626153
558311,0.774374,0.086831,-0.029675,0.626039
566644,0.774461,0.086716,-0.029749,0.625944
574977,0.774558,0.086396,-0.029957,0.625857
583310,0.774580,0.086528,-0.029897,0.625816
591643,0.774629,0.086339,-0.030073,0.625772
599976,0.774655,0.086326,-0.030106,0.625741
608309,0.774660,0.086275,-0.030179,0.625738
616642,0.774675,0.086265,-0.030196,0.625720
624975,0.774707,0.086312,-0.030154,0.625675
633308,0.774750,0.086336,-0.030144,0.625620
641641,0.774787,0.086444,-0.030037,0.625563
649974,0.774856,0.086550,-0.029926,0.625469
658307,0.774908,0.086642,-0.029810,0.625398
666640,0.774928,0.086550,-0.029754,0.625388
674973,0.775010,0.086618,-0.029661,0.625282
683306,0.774978,0.086799,-0.029474,0.625305
691639,0.774950,0.086839,-0.029352,0.625340
699972,0.774936,0.087205,-0.029125,0.625317
708305,0.774887,0.087799,-0.028834,0.625308
716638,0.774823,0.087884,-0.029066,0.625365
724971,0.774788,0.087907,-0.029167,0.625401
733304,0.774847,0.087780,-0.029379,0.625335
741637,0.774850,0.087812,-0.029428,0.625324
749970,0.774849,0.087822,-0.029535,0.625320
758303,0.774812,0.087457,-0.029958,0.625396
766636,0.774930,0.087456,-0.030157,0.625240
774969,0.774881,0.087767,-0.029769,0.625276
783302,0.774809,0.087962,-0.029459,0.625353
791635,0.774764,0.088854,-0.028630,0.625321
799968,0.774531,0.091277,-0.026755,0.625343
808301,0.774400,0.094070,-0.024593,0.625180
816634,0.774327,0.097889,-0.021236,0.624807
824967,0.774284,0.103141,-0.016627,0.624156
833300,0.774239,0.108501,-0.011897,0.623411
841633,0.774087,0.114505,-0.006665,0.622602
849966,0.774143,0.119662,-0.001905,0.621594
858299,0.774261,0.125265,0.003301,0.620337
866632,0.774357,0.130555,0.008098,0.619081
874965,0.774704,0.135113,0.012268,0.617599
883298,0.775292,0.138909,0.015810,0.615936
891631,0.775931,0.142654,0.019426,0.614169
899964,0.776716,0.145840,0.022488,0.612321
908297,0.777506,0.149013,0.025426,0.610436
916630,0.778411,0.151848,0.028014,0.608468
924963,0.779353,0.154977,0.030625,0.606344
933296,0.779923,0.159105,0.033732,0.604374
941629,0.780574,0.163748,0.036973,0.602100
949962,0.781397,0.169834,0.040635,0.599103
958295,0.781619,0.175651,0.044141,0.596884
966628,0.781805,0.181586,0.047271,0.594620
