Timestamp (us),W,X,Y,Z
0,0.718672,0.001160,0.080378,0.690687
8333,0.718683,0.001068,0.080510,0.690660
16666,0.718600,0.001447,0.080676,0.690726
24999,0.718562,0.001571,0.080571,0.690778
33332,0.718625,0.001180,0.080675,0.690701
41665,0.718579,0.001318,0.080673,0.690749
49998,0.718693,0.001133,0.080502,0.690651
58331,0.718694,0.000988,0.080480,0.690653
66664,0.718710,0.000888,0.080301,0.690657
74997,0.718658,0.000798,0.080482,0.690690
83330,0.718487,0.000881,0.080453,0.690871
91663,0.718455,0.000865,0.080407,0.690910
99996,0.718447,0.000728,0.080424,0.690917
108329,0.718381,0.000657,0.080570,0.690967
116662,0.718273,0.000832,0.080755,0.691058
124995,0.718171,0.001049,0.080669,0.691174
133328,0.718101,0.000923,0.080621,0.691253
141661,0.718182,0.000769,0.080798,0.691148
149994,0.718056,0.001070,0.080759,0.691283
158327,0.718030,0.001062,0.080633,0.691325
166660,0.717941,0.000928,0.080710,0.691408
174993,0.717910,0.000929,0.080802,0.691430
183326,0.717831,0.000917,0.080761,0.691517
191659,0.717924,0.000793,0.080694,0.691428
199992,0.718043,0.000814,0.080631,0.691312
208325,0.717998,0.001066,0.080366,0.691389
216658,0.718013,0.001004,0.080060,0.691409
224991,0.718088,0.000803,0.080178,0.691317
233324,0.718074,0.000855,0.080323,0.691315
241657,0.718040,0.000983,0.080294,0.691354
249990,0.717914,0.001231,0.080090,0.691508
258323,0.717826,0.001321,0.080072,0.691602
266656,0.717862,0.001398,0.080182,0.691551
274989,0.717822,0.001495,0.080229,0.691587
283322,0.717771,0.001540,0.080292,0.691633
291655,0.717875,0.001616,0.080409,0.691511
299988,0.717854,0.001727,0.080506,0.691521
308321,0.717894,0.002128,0.080627,0.691465
316654,0.718040,0.001872,0.080448,0.691334
324987,0.717944,0.002066,0.080086,0.691475
333320,0.718115,0.001851,0.080337,0.691270
341653,0.718274,0.001714,0.080308,0.691108
349986,0.718295,0.002042,0.080492,0.691064
358319,0.718352,0.001526,0.080579,0.690996
366652,0.718286,0.001727,0.080814,0.691036
374985,0.718304,0.001818,0.080922,0.691005
383318,0.718458,0.001262,0.080875,0.690852
391651,0.718506,0.000955,0.080989,0.690788
399984,0.718621,0.000898,0.080878,0.690682
408317,0.718398,0.001572,0.080712,0.690933
416650,0.718403,0.001746,0.080654,0.690933
424983,0.718560,0.001589,0.080661,0.690769
433316,0.718651,0.001627,0.080694,0.690671
441649,0.718655,0.001796,0.080735,0.690662
449982,0.718680,0.001955,0.080948,0.690611
458315,0.718629,0.002131,0.080900,0.690669
466648,0.718780,0.001857,0.081082,0.690491
474981,0.718778,0.001859,0.081186,0.690481
483314,0.718760,0.001871,0.081298,0.690486
491647,0.718759,0.002017,0.081360,0.690480
499980,0.718797,0.002087,0.081489,0.690425
508313,0.718776,0.002085,0.081487,0.690447
516646,0.718806,0.002155,0.081440,0.690421
524979,0.718695,0.002359,0.081478,0.690532
533312,0.718742,0.002322,0.081540,0.690475
541645,0.718911,0.002093,0.081517,0.690302
549978,0.718885,0.002370,0.081812,0.690294
558311,0.718889,0.002503,0.081798,0.690291
566644,0.718950,0.002428,0.081710,0.690238
574977,0.719039,0.002134,0.081517,0.690169
583310,0.719033,0.002281,0.081563,0.690169
591643,0.719129,0.002064,0.081440,0.690084
599976,0.719109,0.002067,0.081403,0.690110
608309,0.719202,0.002049,0.081271,0.690029
616642,0.719191,0.002086,0.081196,0.690049
624975,0.719181,0.002209,0.081150,0.690064
633308,0.719213,0.002160,0.081281,0.690016
641641,0.719223,0.002306,0.081353,0.689996
649974,0.719195,0.002516,0.081361,0.690024
658307,0.719266,0.002651,0.081436,0.689940
666640,0.719489,0.002582,0.081445,0.689707
674973,0.719552,0.002560,0.081702,0.689611
683306,0.719742,0.002560,0.082094,0.689366
691639,0.720095,0.002085,0.082872,0.688905
699972,0.720308,0.001900,0.083822,0.688569
708305,0.720700,0.001439,0.085475,0.687956
716638,0.721341,0.000030,0.087170,0.687073
724971,0.721945,-0.001549,0.089165,0.686179
733304,0.722696,-0.003415,0.091263,0.685105
741637,0.723535,-0.005412,0.093857,0.683856
749970,0.723944,-0.007417,0.096436,0.683045
758303,0.725283,-0.010738,0.099760,0.681100
766636,0.726572,-0.014132,0.103958,0.679033
774969,0.728053,-0.017276,0.108599,0.676644
783302,0.729928,-0.020739,0.113247,0.673758
791635,0.731714,-0.023791,0.118709,0.670773
799968,0.733949,-0.026187,0.125876,0.666924
808301,0.735977,-0.028554,0.133713,0.663056
816634,0.737348,-0.029779,0.142598,0.659618
824967,0.737733,-0.029092,0.152228,0.657062
833300,0.737953,-0.028056,0.161616,0.654613
841633,0.738031,-0.026314,0.171233,0.652148
849966,0.737494,-0.025029,0.180279,0.650366
