Timestamp (us),W,X,Y,Z
0,0.762698,0.035514,0.105130,0.637164
8333,0.762706,0.035373,0.105234,0.637145
16666,0.762656,0.035913,0.105586,0.637117
24999,0.762618,0.036135,0.105554,0.637155
33332,0.762659,0.035602,0.105599,0.637129
41665,0.762603,0.035806,0.105706,0.637167
49998,0.762723,0.035611,0.105497,0.637068
58331,0.762743,0.035440,0.105424,0.637066
66664,0.762748,0.035282,0.105205,0.637105
74997,0.762669,0.035186,0.105378,0.637176
83330,0.762533,0.035326,0.105407,0.637326
91663,0.762538,0.035331,0.105276,0.637342
99996,0.762500,0.035114,0.105301,0.637395
108329,0.762404,0.035025,0.105442,0.637491
116662,0.762309,0.035197,0.105648,0.637562
124995,0.762294,0.035438,0.105563,0.637581
133328,0.762215,0.035260,0.105449,0.637704
141661,0.762223,0.035034,0.105565,0.637687
149994,0.762160,0.035410,0.105602,0.637735
158327,0.762139,0.035375,0.105427,0.637792
166660,0.762070,0.035250,0.105489,0.637871
174993,0.762026,0.035227,0.105580,0.637910
183326,0.761951,0.035211,0.105566,0.638002
191659,0.761983,0.035094,0.105540,0.637975
199992,0.762072,0.035153,0.105519,0.637868
208325,0.762064,0.035472,0.105285,0.637899
216658,0.762100,0.035396,0.104967,0.637913
224991,0.762120,0.035165,0.105065,0.637886
233324,0.762090,0.035218,0.105234,0.637891
241657,0.762058,0.035376,0.105251,0.637917
249990,0.762004,0.035638,0.105012,0.638006
258323,0.761941,0.035676,0.104955,0.638089
266656,0.761967,0.035738,0.105009,0.638046
274989,0.761932,0.035827,0.105091,0.638069
283322,0.761893,0.035880,0.105171,0.638100
291655,0.761983,0.035911,0.105250,0.637977
299988,0.761970,0.036067,0.105430,0.637954
308321,0.762027,0.036691,0.105752,0.637797
316654,0.762147,0.036363,0.105492,0.637715
324987,0.761999,0.036552,0.105133,0.637941
333320,0.762180,0.036273,0.105284,0.637715
341653,0.762354,0.036075,0.105158,0.637539
349986,0.762392,0.036546,0.105450,0.637419
358319,0.762500,0.036058,0.105545,0.637302
366652,0.762423,0.036129,0.105639,0.637374
374985,0.762428,0.036200,0.105723,0.637350
383318,0.762597,0.035680,0.105724,0.637178
391651,0.762710,0.035436,0.105845,0.637036
399984,0.762799,0.035360,0.105710,0.636956
408317,0.762477,0.035891,0.105562,0.637336
416650,0.762460,0.036081,0.105532,0.637350
424983,0.762657,0.035943,0.105466,0.637134
433316,0.762764,0.035958,0.105445,0.637009
441649,0.762760,0.036130,0.105521,0.636991
449982,0.762792,0.036256,0.105726,0.636911
458315,0.762629,0.036317,0.105728,0.637103
466648,0.762806,0.036083,0.105915,0.636873
474981,0.762826,0.036082,0.106000,0.636835
483314,0.762810,0.036094,0.106135,0.636831
491647,0.762792,0.036232,0.106197,0.636835
499980,0.762832,0.036253,0.106279,0.636772
508313,0.762837,0.036265,0.106275,0.636766
516646,0.762866,0.036367,0.106262,0.636727
524979,0.762767,0.036576,0.106377,0.636815
533312,0.762821,0.036539,0.106440,0.636741
541645,0.763011,0.036372,0.106417,0.636527
549978,0.763004,0.036801,0.106868,0.636435
558311,0.763012,0.037024,0.106928,0.636402
566644,0.763064,0.036914,0.106834,0.636362
574977,0.763140,0.036530,0.106548,0.636342
583310,0.763151,0.036770,0.106655,0.636297
591643,0.763234,0.036441,0.106408,0.636258
599976,0.763200,0.036420,0.106371,0.636305
608309,0.763276,0.036415,0.106232,0.636237
616642,0.763258,0.036453,0.106165,0.636268
624975,0.763237,0.036522,0.106062,0.636307
633308,0.763263,0.036453,0.106177,0.636260
641641,0.763274,0.036608,0.106248,0.636226
649974,0.763233,0.036829,0.106327,0.636250
658307,0.763306,0.036999,0.106437,0.636134
666640,0.763512,0.036932,0.106414,0.635894
674973,0.763581,0.036923,0.106688,0.635766
683306,0.763801,0.036930,0.107069,0.635437
691639,0.764205,0.036333,0.107708,0.634878
699972,0.764416,0.036097,0.108630,0.634480
708305,0.764864,0.035731,0.110402,0.633654
716638,0.765555,0.034283,0.112048,0.632610
724971,0.766267,0.032624,0.113825,0.631518
733304,0.766981,0.030318,0.115495,0.630462
741637,0.767870,0.028030,0.117780,0.629061
749970,0.768258,0.025706,0.120158,0.628236
758303,0.769621,0.021995,0.123058,0.626144
766636,0.771041,0.018394,0.126928,0.623736
774969,0.772428,0.014786,0.130982,0.621273
783302,0.774157,0.011274,0.135590,0.618198
791635,0.775694,0.008286,0.141259,0.615042
799968,0.777570,0.006152,0.149148,0.610821
808301,0.779099,0.004079,0.157997,0.606651
816634,0.779930,0.002913,0.167933,0.602909
824967,0.779898,0.003632,0.178637,0.599863
833300,0.779669,0.004396,0.188957,0.596985
841633,0.779330,0.005796,0.199316,0.594041
849966,0.778490,0.006939,0.209214,0.591721
858299,0.777849,0.008657,0.219207,0.588918
866632,0.777284,0.010228,0.228306,0.586175
874965,0.776688,0.011407,0.236593,0.583652
883298,0.776264,0.012004,0.244057,0.581125
891631,0.775714,0.013067,0.251265,0.578759
899964,0.775802,0.013617,0.257366,0.575942
908297,0.775553,0.014790,0.262722,0.573826
916630,0.775950,0.015315,0.268403,0.570638
924963,0.776116,0.016047,0.274379,0.567542
933296,0.776657,0.017695,0.280332,0.563830
941629,0.776797,0.019726,0.286983,0.560212
949962,0.775329,0.023920,0.294671,0.558088
958295,0.774941,0.028100,0.300744,0.555185
966628,0.773909,0.033328,0.306413,0.553232
974961,0.773217,0.038028,0.310851,0.551417
983294,0.772874,0.041941,0.313714,0.549992
991627,0.772434,0.047036,0.317364,0.548101
999960,0.771550,0.053283,0.320384,0.547015
1008293,0.771057,0.058584,0.323643,0.545248
1016626,0.771128,0.062716,0.326070,0.543238
1024959,0.769488,0.068477,0.331082,0.541833
1033292,0.766588,0.075034,0.336918,0.541478
1041625,0.763454,0.082443,0.343100,0.540946
1049958,0.760397,0.089290,0.349340,0.540171
1058291,0.756464,0.098838,0.355437,0.540054
1066624,0.752542,0.109475,0.360671,0.540012
1074957,0.748853,0.119933,0.363523,0.541005
1083290,0.746653,0.130159,0.364091,0.541300
1091623,0.744293,0.141985,0.363266,0.542132
1099956,0.743691,0.151353,0.359282,0.543077
1108289,0.744007,0.159578,0.352921,0.544459
1116622,0.744601,0.168502,0.344977,0.546048
1124955,0.745261,0.176969,0.335788,0.548192
1133288,0.746126,0.184587,0.325390,0.550767
1141621,0.746319,0.191982,0.315652,0.553638
1149954,0.745224,0.201103,0.305773,0.557407
1158287,0.742133,0.212375,0.296928,0.562112
1166620,0.738896,0.222916,0.288370,0.566731
1174953,0.734535,0.235239,0.278883,0.572141
