Timestamp (us),W,X,Y,Z
0,0.670635,0.132501,-0.070486,0.726447
8333,0.670711,0.132245,-0.070076,0.726462
16666,0.670698,0.132614,-0.069393,0.726473
24999,0.670453,0.132857,-0.069580,0.726636
33332,0.670788,0.132485,-0.069653,0.726388
41665,0.670764,0.132621,-0.069388,0.726410
49998,0.670876,0.132359,-0.069528,0.726342
58331,0.670879,0.132500,-0.070244,0.726245
66664,0.670975,0.132187,-0.070100,0.726226
74997,0.670871,0.132203,-0.070066,0.726323
83330,0.670644,0.132421,-0.070164,0.726483
91663,0.670417,0.132503,-0.070568,0.726639
99996,0.670523,0.132291,-0.070417,0.726594
108329,0.670506,0.132284,-0.070305,0.726622
116662,0.670429,0.132470,-0.070063,0.726683
124995,0.670306,0.132506,-0.069819,0.726813
133328,0.670199,0.132404,-0.070020,0.726911
141661,0.670337,0.132355,-0.070157,0.726780
149994,0.670173,0.132512,-0.069743,0.726942
158327,0.670136,0.132407,-0.069778,0.726992
166660,0.670003,0.132621,-0.070357,0.727020
174993,0.669995,0.132686,-0.070386,0.727012
183326,0.669981,0.132747,-0.070483,0.727005
191659,0.670117,0.132796,-0.070814,0.726838
199992,0.670154,0.132805,-0.070833,0.726801
208325,0.669984,0.132918,-0.070801,0.726940
216658,0.670043,0.132731,-0.070928,0.726907
224991,0.670144,0.132693,-0.071148,0.726799
233324,0.670169,0.132831,-0.071103,0.726756
241657,0.670117,0.132919,-0.070964,0.726801
249990,0.669913,0.132909,-0.070747,0.727012
258323,0.669863,0.132656,-0.070159,0.727161
266656,0.669858,0.132626,-0.069952,0.727191
274989,0.669926,0.132798,-0.069991,0.727094
283322,0.669859,0.132870,-0.069935,0.727148
291655,0.670079,0.132847,-0.069754,0.726966
299988,0.670092,0.133021,-0.069606,0.726937
308321,0.670057,0.133491,-0.069145,0.726927
316654,0.670201,0.133132,-0.069377,0.726838
324987,0.669860,0.133113,-0.069359,0.727157
333320,0.670143,0.133070,-0.069707,0.726871
341653,0.670434,0.132788,-0.069711,0.726654
349986,0.670374,0.133081,-0.069185,0.726706
358319,0.670496,0.132729,-0.069318,0.726645
366652,0.670459,0.132797,-0.069148,0.726683
374985,0.670492,0.132899,-0.069129,0.726636
383318,0.670811,0.132445,-0.069207,0.726417
391651,0.670885,0.132321,-0.069360,0.726356
399984,0.671030,0.132198,-0.069438,0.726237
408317,0.671112,0.132610,-0.069097,0.726119
416650,0.671147,0.132767,-0.069077,0.726060
424983,0.671137,0.132607,-0.069294,0.726078
433316,0.671242,0.132712,-0.069587,0.725933
441649,0.671252,0.132903,-0.069578,0.725890
449982,0.671414,0.133110,-0.069516,0.725708
458315,0.671550,0.133229,-0.069415,0.725570
466648,0.671660,0.133041,-0.069398,0.725504
474981,0.671633,0.133036,-0.069328,0.725537
483314,0.671655,0.133112,-0.069284,0.725507
491647,0.671634,0.133223,-0.069180,0.725516
499980,0.671730,0.133188,-0.068982,0.725452
508313,0.671666,0.133245,-0.069112,0.725489
516646,0.671676,0.133421,-0.069337,0.725425
524979,0.671640,0.133694,-0.069293,0.725413
533312,0.671734,0.133647,-0.069217,0.725342
541645,0.671839,0.133409,-0.069228,0.725287
549978,0.671826,0.133858,-0.068855,0.725253
558311,0.671669,0.134056,-0.068858,0.725361
566644,0.671751,0.133704,-0.068458,0.725388
574977,0.671861,0.133542,-0.069198,0.725245
583310,0.671819,0.133711,-0.069014,0.725271
591643,0.671946,0.133326,-0.069142,0.725212
599976,0.671947,0.133345,-0.069225,0.725200
608309,0.671989,0.133219,-0.069196,0.725186
616642,0.671954,0.133283,-0.069331,0.725195
624975,0.671933,0.133106,-0.068932,0.725285
633308,0.671979,0.133030,-0.068781,0.725270
641641,0.671888,0.133118,-0.068643,0.725351
649974,0.671867,0.133379,-0.068654,0.725321
658307,0.671960,0.133815,-0.069174,0.725106
666640,0.672184,0.133811,-0.069464,0.724871
674973,0.672221,0.134009,-0.069649,0.724783
683306,0.672470,0.134334,-0.070040,0.724454
691639,0.673099,0.134277,-0.070524,0.723833
699972,0.673529,0.134483,-0.070433,0.723403
708305,0.674341,0.134154,-0.068618,0.722882
716638,0.675476,0.133238,-0.067888,0.722061
724971,0.676368,0.132242,-0.067369,0.721457
733304,0.677663,0.130705,-0.066901,0.720564
741637,0.679208,0.129215,-0.065938,0.719467
749970,0.680030,0.128196,-0.065659,0.718898
758303,0.682426,0.125649,-0.064748,0.717158
766636,0.684526,0.123259,-0.063118,0.715715
774969,0.686636,0.121192,-0.062023,0.714140
783302,0.688668,0.119345,-0.061141,0.712569
791635,0.690514,0.118645,-0.060552,0.710948
799968,0.694159,0.119981,-0.060417,0.707176
808301,0.697561,0.121034,-0.058387,0.703811
816634,0.701059,0.124520,-0.058345,0.699719
824967,0.704028,0.128294,-0.053467,0.696439
833300,0.707455,0.132478,-0.049721,0.692449
841633,0.710677,0.136984,-0.045550,0.688548
849966,0.712843,0.140865,-0.040724,0.685823
858299,0.716057,0.145460,-0.036525,0.681740
866632,0.719428,0.149620,-0.032764,0.677468
874965,0.722099,0.153704,-0.030915,0.673790
883298,0.724480,0.157429,-0.030878,0.670366
891631,0.727470,0.160805,-0.028863,0.666406
899964,0.730132,0.163876,-0.029694,0.662699
908297,0.732537,0.166959,-0.029379,0.659281
916630,0.736121,0.169872,-0.030865,0.654460
924963,0.739017,0.173276,-0.033049,0.650182
933296,0.743213,0.176405,-0.032790,0.644547
941629,0.746672,0.180318,-0.033043,0.639433
949962,0.749101,0.186712,-0.031512,0.634817
958295,0.752316,0.191873,-0.029908,0.629532
966628,0.754307,0.198269,-0.028825,0.625203
974961,0.756440,0.203748,-0.028037,0.620886
983294,0.757620,0.209104,-0.031301,0.617501
991627,0.759676,0.215026,-0.032323,0.612871
999960,0.761138,0.221920,-0.033010,0.608548
1008293,0.762818,0.228262,-0.035479,0.603943
1016626,0.764750,0.233162,-0.038430,0.599430
1024959,0.766210,0.240507,-0.039608,0.594568
1033292,0.767571,0.248964,-0.038662,0.589370
1041625,0.768557,0.258061,-0.037334,0.584235
1049958,0.769236,0.266160,-0.034936,0.579840
1058291,0.769354,0.276849,-0.032107,0.574820
1066624,0.769136,0.287992,-0.028736,0.569794
1074957,0.767630,0.298631,-0.026423,0.566451
1083290,0.767034,0.308453,-0.026687,0.561963
1091623,0.765202,0.319621,-0.028250,0.558131
1099956,0.763826,0.327987,-0.032533,0.554920
1108289,0.762457,0.335085,-0.038861,0.552147
1116622,0.760103,0.342451,-0.046525,0.550278
1124955,0.757155,0.349415,-0.055258,0.549156
1133288,0.754319,0.355302,-0.063426,0.548398
1141621,0.750482,0.361336,-0.071814,0.548686
