Timestamp (us),W,X,Y,Z
0,0.598036,0.415640,-0.348168,0.590233
8333,0.598229,0.415341,-0.347807,0.590461
16666,0.598948,0.414692,-0.346601,0.590897
24999,0.598975,0.414638,-0.346497,0.590969
33332,0.599225,0.414042,-0.346198,0.591308
41665,0.599858,0.413106,-0.345060,0.591986
49998,0.599802,0.412955,-0.345317,0.591998
58331,0.599160,0.413930,-0.346557,0.591242
66664,0.599308,0.413392,-0.346191,0.591683
74997,0.599363,0.413361,-0.346007,0.591756
83330,0.599081,0.413781,-0.346239,0.591613
91663,0.598258,0.415042,-0.347578,0.590777
99996,0.598397,0.414677,-0.347281,0.591066
108329,0.598813,0.414014,-0.346433,0.591607
116662,0.598905,0.414089,-0.346094,0.591660
124995,0.598380,0.414945,-0.346757,0.591203
133328,0.597810,0.415659,-0.347536,0.590822
141661,0.598310,0.414912,-0.346808,0.591267
149994,0.598307,0.415024,-0.346552,0.591342
158327,0.598143,0.415108,-0.346681,0.591374
166660,0.597616,0.415947,-0.347581,0.590788
174993,0.597607,0.416044,-0.347581,0.590729
183326,0.597596,0.415980,-0.347497,0.590835
191659,0.598040,0.415215,-0.347000,0.591216
199992,0.598320,0.414804,-0.346735,0.591376
208325,0.598078,0.415097,-0.346986,0.591268
216658,0.597751,0.415305,-0.347502,0.591149
224991,0.598086,0.414767,-0.347112,0.591417
233324,0.598461,0.414337,-0.346493,0.591703
241657,0.598621,0.414140,-0.346157,0.591875
249990,0.598002,0.415002,-0.346819,0.591509
258323,0.597923,0.415019,-0.346583,0.591716
266656,0.598096,0.414855,-0.346249,0.591852
274989,0.598203,0.414811,-0.346075,0.591875
283322,0.598100,0.415042,-0.346172,0.591761
291655,0.598466,0.414672,-0.345729,0.591909
299988,0.598649,0.414601,-0.345491,0.591914
308321,0.599492,0.413826,-0.344348,0.592268
316654,0.599280,0.413837,-0.344856,0.592180
324987,0.599609,0.412862,-0.343803,0.593139
333320,0.599064,0.414002,-0.345210,0.592077
341653,0.598884,0.414279,-0.345795,0.591723
349986,0.599563,0.413672,-0.344769,0.592060
358319,0.599303,0.413923,-0.345549,0.591692
366652,0.599100,0.414460,-0.345600,0.591492
374985,0.599126,0.414595,-0.345590,0.591376
383318,0.599308,0.414054,-0.345785,0.591458
391651,0.599219,0.414193,-0.346217,0.591198
399984,0.599292,0.414010,-0.346278,0.591216
408317,0.599243,0.414256,-0.345729,0.591415
416650,0.599279,0.414279,-0.345638,0.591415
424983,0.599381,0.414049,-0.345713,0.591429
433316,0.599278,0.414362,-0.346127,0.591072
441649,0.599122,0.414817,-0.346453,0.590720
449982,0.599037,0.415345,-0.346758,0.590256
458315,0.599040,0.415382,-0.346602,0.590319
466648,0.599215,0.415172,-0.346686,0.590240
474981,0.599250,0.415210,-0.346645,0.590201
483314,0.599185,0.415447,-0.346788,0.590016
491647,0.599323,0.415363,-0.346507,0.590101
499980,0.599382,0.415428,-0.346425,0.590043
508313,0.599059,0.415948,-0.346971,0.589684
516646,0.599043,0.416058,-0.347142,0.589522
524979,0.599067,0.416180,-0.346981,0.589506
533312,0.599232,0.415986,-0.346821,0.589570
541645,0.599397,0.415666,-0.346906,0.589577
549978,0.600097,0.415144,-0.345923,0.589810
558311,0.600215,0.415077,-0.345774,0.589825
566644,0.600520,0.414410,-0.345207,0.590315
574977,0.599796,0.415224,-0.346608,0.589659
583310,0.600130,0.414892,-0.346116,0.589841
591643,0.599794,0.415134,-0.346702,0.589668
599976,0.599741,0.415172,-0.346751,0.589667
608309,0.599972,0.414687,-0.346450,0.589949
616642,0.599927,0.414709,-0.346496,0.589953
624975,0.600071,0.414399,-0.346001,0.590315
633308,0.600243,0.414197,-0.345750,0.590429
641641,0.600159,0.414495,-0.345883,0.590227
649974,0.600088,0.414787,-0.346023,0.590012
658307,0.599888,0.415452,-0.346741,0.589325
666640,0.599932,0.415527,-0.347175,0.588972
674973,0.599843,0.415993,-0.347651,0.588452
683306,0.599811,0.416637,-0.348393,0.587591
691639,0.599564,0.417734,-0.349948,0.586138
699972,0.600143,0.417788,-0.349852,0.585565
708305,0.601865,0.416672,-0.348364,0.585479
716638,0.603094,0.415828,-0.348357,0.584818
724971,0.603847,0.415781,-0.349087,0.583639
733304,0.603814,0.416744,-0.351138,0.581752
741637,0.604297,0.417451,-0.352942,0.579648
749970,0.603879,0.419248,-0.355602,0.577156
758303,0.603749,0.420913,-0.359979,0.573353
766636,0.603942,0.422711,-0.364192,0.569152
774969,0.604519,0.424190,-0.367880,0.565053
783302,0.605069,0.425724,-0.373107,0.559859
791635,0.606467,0.426920,-0.377430,0.554512
799968,0.609809,0.427983,-0.381406,0.547259
808301,0.614476,0.427448,-0.382877,0.541399
816634,0.616314,0.432372,-0.388710,0.531146
824967,0.619263,0.437265,-0.390499,0.522326
833300,0.620459,0.444312,-0.394950,0.511500
841633,0.622871,0.450189,-0.397127,0.501649
849966,0.625481,0.454798,-0.397596,0.493812
858299,0.628362,0.459707,-0.398666,0.484660
866632,0.631417,0.463585,-0.399352,0.476361
874965,0.632892,0.468394,-0.402109,0.467295
883298,0.634497,0.472155,-0.404536,0.459166
891631,0.636822,0.475107,-0.405576,0.451928
899964,0.638135,0.478002,-0.408735,0.444109
908297,0.639887,0.480218,-0.410073,0.437921
916630,0.641221,0.482529,-0.414131,0.429531
924963,0.642045,0.485388,-0.418625,0.420629
933296,0.644558,0.486929,-0.421356,0.412195
941629,0.646355,0.489561,-0.424837,0.402578
949962,0.648967,0.493207,-0.425000,0.393655
958295,0.651228,0.496215,-0.426606,0.384291
966628,0.652864,0.499876,-0.427706,0.375446
974961,0.653868,0.503225,-0.429519,0.367061
983294,0.651882,0.507799,-0.435299,0.357357
991627,0.650835,0.512405,-0.440177,0.346553
999960,0.649645,0.517648,-0.443928,0.336050
1008293,0.647185,0.522806,-0.450532,0.323801
1016626,0.644411,0.527161,-0.457317,0.312566
1024959,0.642045,0.533290,-0.462700,0.298812
1033292,0.640805,0.539402,-0.465556,0.285784
1041625,0.639293,0.546043,-0.468278,0.271768
1049958,0.640121,0.550701,-0.467829,0.260979
1058291,0.639491,0.557854,-0.467725,0.247151
1066624,0.641121,0.563765,-0.464010,0.236279
1074957,0.639997,0.570425,-0.462707,0.225657
1083290,0.638432,0.575997,-0.462764,0.215597
1091623,0.635813,0.582556,-0.462861,0.205256
1099956,0.631090,0.587933,-0.466195,0.196780
1108289,0.626384,0.592181,-0.469347,0.191518
1116622,0.619323,0.597555,-0.474479,0.185031
1124955,0.612097,0.602491,-0.479354,0.180448
1133288,0.605138,0.607230,-0.483008,0.178275
1141621,0.598701,0.611970,-0.485492,0.177051
1149954,0.589145,0.619049,-0.490419,0.170812
1158287,0.582523,0.627151,-0.488620,0.169114
1166620,0.575527,0.634856,-0.487774,0.166746
1174953,0.566569,0.644231,-0.487487,0.162243
1183286,0.558106,0.654006,-0.485224,0.159222
1191619,0.548592,0.663521,-0.483738,0.157431
1199952,0.536666,0.674399,-0.483167,0.154033
1208285,0.524269,0.685110,-0.482138,0.152674
1216618,0.511779,0.696177,-0.479628,0.152894
1224951,0.493199,0.707109,-0.484513,0.148322
1233284,0.477923,0.717296,-0.484387,0.149816
1241617,0.462113,0.726898,-0.484244,0.153551
1249950,0.446234,0.732448,-0.488662,0.160014
1258283,0.430223,0.737266,-0.492730,0.169010
1266616,0.413896,0.738431,-0.503101,0.174066
1274949,0.395727,0.736585,-0.518137,0.179932
1283282,0.377455,0.730676,-0.537837,0.185397
1291615,0.360693,0.721085,-0.559417,0.192326
1299948,0.346650,0.705234,-0.585292,0.199778
1308281,0.332285,0.687246,-0.614978,0.197689
1316614,0.319061,0.667157,-0.643573,0.197270
1324947,0.307034,0.644003,-0.674194,0.190928
