Timestamp (us),W,X,Y,Z
0,0.680261,0.095164,0.184434,0.702975
8333,0.680254,0.095051,0.184558,0.702963
16666,0.679974,0.095783,0.184763,0.703081
24999,0.679963,0.095978,0.184664,0.703092
33332,0.680163,0.095539,0.184904,0.702895
41665,0.680107,0.095904,0.184954,0.702886
49998,0.680277,0.095709,0.184863,0.702773
58331,0.680284,0.095368,0.184832,0.702820
66664,0.680305,0.095287,0.184654,0.702857
74997,0.680351,0.095149,0.184762,0.702803
83330,0.680119,0.095281,0.184789,0.703003
91663,0.680042,0.095050,0.184650,0.703144
99996,0.680139,0.094953,0.184696,0.703052
108329,0.680129,0.094912,0.184811,0.703037
116662,0.679959,0.095091,0.185030,0.703120
124995,0.679660,0.095309,0.185058,0.703371
133328,0.679644,0.094976,0.184914,0.703471
141661,0.679865,0.094766,0.184947,0.703276
149994,0.679593,0.095229,0.185064,0.703446
158327,0.679543,0.095129,0.184915,0.703547
166660,0.679462,0.094868,0.184958,0.703649
174993,0.679448,0.094864,0.185017,0.703648
183326,0.679375,0.094883,0.185028,0.703713
191659,0.679594,0.094824,0.184920,0.703537
199992,0.679807,0.094947,0.184892,0.703323
208325,0.679670,0.095261,0.184693,0.703464
216658,0.679646,0.095174,0.184436,0.703567
224991,0.679843,0.094930,0.184430,0.703411
233324,0.679858,0.095069,0.184607,0.703331
241657,0.679810,0.095276,0.184635,0.703343
249990,0.679486,0.095419,0.184512,0.703669
258323,0.679302,0.095449,0.184466,0.703854
266656,0.679311,0.095467,0.184464,0.703844
274989,0.679233,0.095585,0.184569,0.703875
283322,0.679172,0.095608,0.184659,0.703907
291655,0.679242,0.095703,0.184765,0.703799
299988,0.679209,0.095940,0.184927,0.703756
308321,0.679079,0.096766,0.185033,0.703740
316654,0.679387,0.096397,0.184923,0.703523
324987,0.679276,0.096529,0.184399,0.703749
333320,0.679511,0.096126,0.184671,0.703506
341653,0.679622,0.095897,0.184630,0.703441
349986,0.679470,0.096490,0.184713,0.703485
358319,0.679503,0.095897,0.184887,0.703488
366652,0.679349,0.095808,0.184973,0.703626
374985,0.679355,0.095879,0.185015,0.703601
383318,0.679597,0.095474,0.185074,0.703406
391651,0.679597,0.095285,0.185241,0.703388
399984,0.679763,0.095225,0.185104,0.703271
408317,0.679578,0.095729,0.184982,0.703414
416650,0.679617,0.095910,0.184945,0.703361
424983,0.679703,0.095797,0.184921,0.703301
433316,0.679738,0.095792,0.184935,0.703264
441649,0.679730,0.095928,0.184975,0.703242
449982,0.679677,0.096011,0.185206,0.703221
458315,0.679938,0.096171,0.185204,0.702947
466648,0.680106,0.096005,0.185431,0.702747
474981,0.680046,0.096009,0.185512,0.702784
483314,0.680056,0.096058,0.185664,0.702727
491647,0.680075,0.096238,0.185706,0.702673
499980,0.680076,0.096233,0.185844,0.702637
508313,0.680030,0.096182,0.185863,0.702682
516646,0.680056,0.096326,0.185819,0.702649
524979,0.679909,0.096616,0.185966,0.702713
533312,0.679941,0.096620,0.186054,0.702659
541645,0.680106,0.096513,0.186018,0.702523
549978,0.679963,0.097165,0.186307,0.702495
558311,0.679975,0.097425,0.186316,0.702445
566644,0.680075,0.097431,0.186279,0.702357
574977,0.680325,0.096882,0.186141,0.702227
583310,0.680167,0.097179,0.186101,0.702350
591643,0.680353,0.096724,0.185990,0.702262
599976,0.680346,0.096668,0.185927,0.702293
608309,0.680461,0.096726,0.185765,0.702216
616642,0.680478,0.096777,0.185700,0.702210
624975,0.680423,0.096814,0.185615,0.702281
633308,0.680482,0.096780,0.185735,0.702197
641641,0.680478,0.096901,0.185780,0.702172
