Timestamp (us),W,X,Y,Z
0,0.624808,0.221676,0.089061,0.743332
8333,0.624902,0.221747,0.089068,0.743232
16666,0.624729,0.221612,0.089994,0.743305
24999,0.624612,0.221236,0.090326,0.743476
33332,0.624392,0.220987,0.090328,0.743734
41665,0.624197,0.220666,0.090889,0.743925
49998,0.624195,0.220805,0.090466,0.743937
58331,0.624260,0.220974,0.090065,0.743881
66664,0.624255,0.221007,0.089792,0.743908
74997,0.624427,0.220305,0.090398,0.743898
83330,0.624201,0.220683,0.090267,0.743992
91663,0.624376,0.220947,0.089818,0.743821
99996,0.624236,0.220960,0.089713,0.743947
108329,0.624311,0.220283,0.090378,0.744005
116662,0.624141,0.220529,0.090565,0.744052
124995,0.623790,0.221920,0.089663,0.744041
133328,0.623961,0.221772,0.089450,0.743968
141661,0.624201,0.220527,0.090312,0.744033
149994,0.623708,0.221453,0.090015,0.744207
158327,0.623751,0.221513,0.089778,0.744181
166660,0.623823,0.221326,0.089845,0.744169
174993,0.623898,0.221204,0.090024,0.744121
183326,0.623741,0.221246,0.090017,0.744241
191659,0.623913,0.220349,0.090541,0.744299
199992,0.623925,0.219994,0.090798,0.744363
208325,0.623772,0.220838,0.090152,0.744319
216658,0.623698,0.221277,0.089468,0.744334
224991,0.623975,0.220312,0.090054,0.744317
233324,0.623865,0.219917,0.090626,0.744456
241657,0.623709,0.219891,0.090812,0.744573
249990,0.623456,0.221085,0.089901,0.744542
258323,0.623312,0.221571,0.089530,0.744562
266656,0.623442,0.221413,0.089694,0.744481
274989,0.623293,0.221480,0.089832,0.744569
283322,0.623188,0.221512,0.089919,0.744637
291655,0.623218,0.221424,0.090138,0.744611
299988,0.623047,0.221411,0.090458,0.744719
308321,0.623118,0.221137,0.091442,0.744621
316654,0.623160,0.221246,0.090850,0.744626
324987,0.623417,0.221106,0.090635,0.744479
333320,0.623544,0.221427,0.090277,0.744321
341653,0.623653,0.221618,0.089888,0.744219
349986,0.623789,0.221401,0.090662,0.744076
358319,0.624063,0.221441,0.090427,0.743863
366652,0.624129,0.221503,0.090484,0.743782
374985,0.624254,0.221549,0.090559,0.743654
383318,0.624455,0.221278,0.090487,0.743576
391651,0.624480,0.221305,0.090504,0.743544
399984,0.624577,0.221051,0.090478,0.743542
408317,0.624228,0.221200,0.090601,0.743775
416650,0.624155,0.221163,0.090690,0.743837
424983,0.624255,0.221291,0.090461,0.743743
433316,0.624279,0.221538,0.090255,0.743674
441649,0.624262,0.221784,0.090187,0.743623
449982,0.624206,0.221980,0.090327,0.743594
458315,0.624099,0.221922,0.090342,0.743700
466648,0.624261,0.222082,0.090273,0.743524
474981,0.624252,0.222141,0.090334,0.743507
483314,0.624126,0.222206,0.090438,0.743581
491647,0.624077,0.222227,0.090569,0.743599
499980,0.624053,0.222390,0.090564,0.743572
508313,0.623966,0.222646,0.090337,0.743595
516646,0.623934,0.222623,0.090395,0.743622
524979,0.623591,0.222882,0.090532,0.743815
533312,0.623592,0.222909,0.090586,0.743800
541645,0.623821,0.222856,0.090487,0.743636
549978,0.623766,0.222564,0.091532,0.743642
558311,0.623717,0.222462,0.091793,0.743682
566644,0.623684,0.222592,0.091600,0.743694
574977,0.623682,0.222855,0.090740,0.743722
583310,0.623864,0.222730,0.091123,0.743560
591643,0.623909,0.222741,0.090605,0.743583
599976,0.623953,0.222659,0.090582,0.743573
608309,0.624082,0.222645,0.090445,0.743486
616642,0.624026,0.222698,0.090352,0.743528
624975,0.624016,0.222864,0.090178,0.743507
633308,0.624057,0.222839,0.090276,0.743469
641641,0.624074,0.223058,0.090229,0.743395
649974,0.623972,0.223573,0.090023,0.743351
658307,0.624083,0.223735,0.090040,0.743207
666640,0.624421,0.223772,0.089859,0.742933
674973,0.624664,0.224045,0.089829,0.742651
683306,0.624799,0.224646,0.089665,0.742375
691639,0.625206,0.225730,0.089086,0.741773
699972,0.625956,0.226168,0.089461,0.740961
708305,0.626763,0.226632,0.090812,0.739973
716638,0.628056,0.226678,0.091485,0.738778
724971,0.629785,0.226912,0.091876,0.737184
733304,0.631682,0.227517,0.091217,0.735455
741637,0.633842,0.228852,0.090688,0.733244
749970,0.636646,0.230604,0.089536,0.730402
758303,0.640999,0.233245,0.087181,0.726028
766636,0.646351,0.238730,0.083556,0.719901
774969,0.652920,0.245813,0.078276,0.712140
783302,0.660985,0.255124,0.070765,0.702142
791635,0.669844,0.265943,0.063058,0.690367
799968,0.679291,0.278296,0.056615,0.676690
808301,0.688778,0.291213,0.050601,0.661981
816634,0.698331,0.307376,0.043703,0.644937
824967,0.705427,0.322914,0.040016,0.629681
833300,0.711524,0.340235,0.033988,0.613856
841633,0.716431,0.352522,0.032538,0.601162
849966,0.720789,0.362938,0.032682,0.589637
858299,0.725007,0.373224,0.033250,0.577896
866632,0.728999,0.381569,0.034034,0.567281
874965,0.732919,0.388543,0.035207,0.557337
883298,0.735899,0.392930,0.037575,0.550134
891631,0.738398,0.396748,0.040495,0.543801
899964,0.741932,0.399437,0.042688,0.536810
908297,0.744975,0.401733,0.045234,0.530637
916630,0.748235,0.403805,0.047145,0.524274
924963,0.751640,0.405872,0.049669,0.517531
