Timestamp (us),W,X,Y,Z
0,0.699307,0.066474,0.147240,0.696327
8333,0.699318,0.066367,0.147365,0.696299
16666,0.699129,0.067072,0.147676,0.696356
24999,0.699092,0.067219,0.147562,0.696404
33332,0.699228,0.066845,0.147766,0.696259
41665,0.699162,0.067143,0.147828,0.696283
49998,0.699308,0.066955,0.147685,0.696186
58331,0.699330,0.066718,0.147664,0.696190
66664,0.699345,0.066626,0.147485,0.696223
74997,0.699347,0.066427,0.147576,0.696220
83330,0.699139,0.066577,0.147609,0.696407
91663,0.699102,0.066393,0.147467,0.696493
99996,0.699126,0.066259,0.147482,0.696479
108329,0.699092,0.066159,0.147587,0.696499
116662,0.698955,0.066363,0.147813,0.696570
124995,0.698755,0.066659,0.147826,0.696739
133328,0.698721,0.066354,0.147686,0.696832
141661,0.698874,0.066089,0.147746,0.696691
149994,0.698660,0.066580,0.147858,0.696835
158327,0.698631,0.066497,0.147700,0.696906
166660,0.698565,0.066283,0.147753,0.696981
174993,0.698541,0.066264,0.147820,0.696993
183326,0.698464,0.066289,0.147818,0.697068
191659,0.698617,0.066173,0.147724,0.696945
199992,0.698768,0.066231,0.147662,0.696802
208325,0.698662,0.066551,0.147440,0.696924
216658,0.698660,0.066513,0.147184,0.696984
224991,0.698798,0.066230,0.147210,0.696867
233324,0.698795,0.066327,0.147375,0.696826
241657,0.698751,0.066520,0.147396,0.696848
249990,0.698537,0.066766,0.147259,0.697068
258323,0.698399,0.066836,0.147243,0.697203
266656,0.698424,0.066830,0.147261,0.697174
274989,0.698368,0.067003,0.147390,0.697187
283322,0.698311,0.067067,0.147492,0.697216
291655,0.698404,0.067158,0.147607,0.697089
299988,0.698373,0.067377,0.147772,0.697065
308321,0.698312,0.068101,0.147971,0.697013
316654,0.698532,0.067733,0.147762,0.696873
324987,0.698423,0.067764,0.147221,0.697094
333320,0.698638,0.067462,0.147480,0.696852
341653,0.698790,0.067324,0.147480,0.696714
349986,0.698720,0.067828,0.147653,0.696698
358319,0.698809,0.067351,0.147834,0.696617
366652,0.698716,0.067342,0.147965,0.696683
374985,0.698725,0.067398,0.148027,0.696655
383318,0.698935,0.066996,0.148075,0.696474
391651,0.698968,0.066822,0.148261,0.696417
399984,0.699108,0.066748,0.148124,0.696313
408317,0.698890,0.067340,0.148026,0.696495
416650,0.698902,0.067532,0.147992,0.696472
424983,0.699030,0.067362,0.147934,0.696373
433316,0.699102,0.067380,0.147947,0.696296
441649,0.699092,0.067567,0.148021,0.696273
449982,0.699092,0.067745,0.148290,0.696197
458315,0.699151,0.067832,0.148212,0.696146
466648,0.699313,0.067625,0.148402,0.695963
474981,0.699289,0.067624,0.148489,0.695969
483314,0.699277,0.067666,0.148627,0.695948
491647,0.699271,0.067798,0.148653,0.695935
499980,0.699297,0.067850,0.148804,0.695871
508313,0.699265,0.067846,0.148826,0.695899
516646,0.699286,0.067963,0.148782,0.695877
524979,0.699148,0.068271,0.148919,0.695955
533312,0.699190,0.068287,0.149015,0.695891
541645,0.699356,0.068134,0.148988,0.695745
549978,0.699257,0.068668,0.149332,0.695719
558311,0.699251,0.068862,0.149321,0.695708
566644,0.699318,0.068830,0.149260,0.695657
574977,0.699492,0.068364,0.149042,0.695574
583310,0.699417,0.068626,0.149084,0.695615
591643,0.699572,0.068248,0.148932,0.695529
599976,0.699563,0.068216,0.148888,0.695551
608309,0.699658,0.068196,0.148700,0.695497
616642,0.699655,0.068215,0.148607,0.695518
624975,0.699623,0.068268,0.148527,0.695562
633308,0.699668,0.068196,0.148624,0.695504
641641,0.699668,0.068290,0.148647,0.695489
