Timestamp (us),W,X,Y,Z
0,0.634717,0.449710,-0.189919,0.599021
8333,0.634796,0.449597,-0.189802,0.599059
16666,0.635089,0.449447,-0.188678,0.599217
24999,0.635177,0.449184,-0.188377,0.599415
33332,0.635330,0.448539,-0.187958,0.599867
41665,0.635650,0.447817,-0.186924,0.600390
49998,0.635629,0.447619,-0.187116,0.600501
58331,0.635328,0.448209,-0.187921,0.600127
66664,0.635277,0.448043,-0.187976,0.600287
74997,0.635510,0.447669,-0.187694,0.600408
83330,0.635247,0.448103,-0.187788,0.600334
91663,0.634862,0.448925,-0.188814,0.599805
99996,0.634885,0.448737,-0.188744,0.599943
108329,0.635201,0.448057,-0.188043,0.600337
116662,0.635191,0.448146,-0.187657,0.600401
124995,0.634581,0.449299,-0.188334,0.599973
133328,0.634320,0.449738,-0.189069,0.599688
141661,0.634856,0.448724,-0.188376,0.600099
149994,0.634589,0.449145,-0.188093,0.600156
158327,0.634447,0.449244,-0.188347,0.600152
166660,0.634257,0.449665,-0.188825,0.599888
174993,0.634286,0.449743,-0.188846,0.599792
183326,0.634198,0.449771,-0.188780,0.599884
191659,0.634630,0.448858,-0.188231,0.600284
199992,0.634914,0.448336,-0.187871,0.600486
208325,0.634563,0.448940,-0.188308,0.600269
216658,0.634215,0.449381,-0.188953,0.600104
224991,0.634633,0.448604,-0.188547,0.600371
233324,0.634911,0.448095,-0.187832,0.600681
241657,0.634984,0.447869,-0.187395,0.600909
249990,0.634328,0.448968,-0.188156,0.600544
258323,0.634074,0.449312,-0.188292,0.600512
266656,0.634226,0.449097,-0.188096,0.600574
274989,0.634197,0.449197,-0.187894,0.600593
283322,0.634121,0.449383,-0.187873,0.600541
291655,0.634342,0.449085,-0.187492,0.600649
299988,0.634456,0.448985,-0.187055,0.600740
308321,0.634960,0.448596,-0.185945,0.600843
316654,0.634881,0.448513,-0.186508,0.600814
324987,0.634933,0.447964,-0.186393,0.601205
333320,0.634809,0.448608,-0.187207,0.600602
341653,0.634686,0.448929,-0.187717,0.600333
349986,0.635094,0.448605,-0.186843,0.600416
358319,0.634981,0.448917,-0.187468,0.600107
366652,0.634858,0.449266,-0.187599,0.599936
374985,0.634904,0.449404,-0.187656,0.599765
383318,0.635049,0.449149,-0.187876,0.599734
391651,0.635022,0.449349,-0.188076,0.599550
399984,0.635131,0.449101,-0.188118,0.599607
408317,0.634890,0.449417,-0.187774,0.599733
416650,0.634894,0.449454,-0.187675,0.599732
424983,0.634994,0.449236,-0.187782,0.599756
433316,0.634950,0.449442,-0.188031,0.599570
441649,0.634852,0.449870,-0.188237,0.599289
449982,0.634798,0.450312,-0.188285,0.598998
458315,0.634839,0.450249,-0.188261,0.599010
466648,0.635030,0.450106,-0.188305,0.598901
474981,0.635059,0.450099,-0.188212,0.598905
483314,0.635057,0.450211,-0.188152,0.598842
491647,0.635151,0.450109,-0.187926,0.598890
499980,0.635160,0.450199,-0.187853,0.598836
508313,0.634957,0.450603,-0.188193,0.598640
516646,0.634968,0.450679,-0.188239,0.598557
524979,0.634854,0.450905,-0.187964,0.598593
533312,0.634950,0.450770,-0.187780,0.598652
541645,0.635136,0.450533,-0.187866,0.598606
549978,0.635589,0.450205,-0.186787,0.598709
558311,0.635725,0.450036,-0.186494,0.598783
566644,0.635827,0.449678,-0.186277,0.599012
574977,0.635475,0.450087,-0.187362,0.598739
583310,0.635646,0.450024,-0.187030,0.598709
591643,0.635477,0.450071,-0.187594,0.598676
599976,0.635445,0.450076,-0.187655,0.598688
608309,0.635577,0.449772,-0.187641,0.598781
616642,0.635551,0.449736,-0.187671,0.598826
624975,0.635532,0.449614,-0.187538,0.598979
633308,0.635671,0.449410,-0.187359,0.599041
641641,0.635671,0.449539,-0.187406,0.598929
649974,0.635560,0.449945,-0.187578,0.598688
658307,0.635518,0.450454,-0.187953,0.598232
666640,0.635657,0.450547,-0.188389,0.597877
674973,0.635704,0.450940,-0.188744,0.597419
683306,0.635804,0.451425,-0.189064,0.596845
691639,0.635863,0.452391,-0.190197,0.595689
699972,0.636432,0.452631,-0.190233,0.594887
708305,0.637754,0.452297,-0.188972,0.594127
716638,0.639066,0.451799,-0.188964,0.593098
724971,0.640203,0.451830,-0.189660,0.591623
733304,0.641055,0.452310,-0.191689,0.589677
741637,0.642146,0.453157,-0.193604,0.587209
749970,0.642752,0.455041,-0.197064,0.583929
758303,0.643843,0.457368,-0.202472,0.579038
766636,0.644954,0.461028,-0.209139,0.572493
774969,0.646599,0.463959,-0.216627,0.565441
783302,0.648204,0.468185,-0.227120,0.555924
791635,0.650336,0.472618,-0.237877,0.545078
799968,0.653909,0.477424,-0.247496,0.532180
808301,0.658122,0.481568,-0.256126,0.519006
816634,0.659953,0.490665,-0.268065,0.501847
824967,0.662070,0.499434,-0.274940,0.486453
833300,0.662510,0.509772,-0.283813,0.469748
841633,0.664633,0.516874,-0.287798,0.456373
849966,0.666762,0.523020,-0.290209,0.444587
858299,0.668998,0.529346,-0.292451,0.432095
866632,0.671588,0.534048,-0.293937,0.421146
874965,0.673404,0.538723,-0.296327,0.410481
883298,0.675765,0.541540,-0.296960,0.402356
891631,0.678035,0.544357,-0.296884,0.394721
