Timestamp (us),W,X,Y,Z
0,0.767135,-0.227594,-0.202693,0.564465
8333,0.767164,-0.227684,-0.202345,0.564513
16666,0.767238,-0.227045,-0.202206,0.564721
24999,0.767507,-0.226882,-0.201869,0.564541
33332,0.767524,-0.227474,-0.201798,0.564304
41665,0.767660,-0.227217,-0.201584,0.564300
49998,0.767484,-0.227482,-0.201922,0.564313
58331,0.767465,-0.227758,-0.202041,0.564183
66664,0.767470,-0.227769,-0.202130,0.564141
74997,0.767287,-0.227892,-0.202257,0.564295
83330,0.767134,-0.227733,-0.202438,0.564502
91663,0.766978,-0.227764,-0.202574,0.564653
99996,0.767176,-0.227901,-0.202017,0.564528
108329,0.767031,-0.227936,-0.201974,0.564725
116662,0.766959,-0.227764,-0.201961,0.564897
124995,0.766783,-0.227480,-0.202191,0.565169
133328,0.766683,-0.227608,-0.202344,0.565198
141661,0.766813,-0.227839,-0.202255,0.564961
149994,0.766717,-0.227454,-0.202511,0.565154
158327,0.766588,-0.227419,-0.202777,0.565248
166660,0.766376,-0.227590,-0.202865,0.565435
174993,0.766383,-0.227591,-0.202794,0.565450
183326,0.766377,-0.227514,-0.202486,0.565600
191659,0.766484,-0.227661,-0.202303,0.565461
199992,0.766770,-0.227749,-0.202303,0.565038
208325,0.766866,-0.227417,-0.202436,0.564994
216658,0.766753,-0.227450,-0.202986,0.564937
224991,0.766872,-0.227698,-0.202741,0.564762
233324,0.766871,-0.227696,-0.202826,0.564734
241657,0.766762,-0.227516,-0.202940,0.564914
249990,0.766612,-0.227196,-0.203344,0.565101
258323,0.766543,-0.227008,-0.203484,0.565221
266656,0.766474,-0.226934,-0.203556,0.565317
274989,0.766658,-0.226823,-0.203317,0.565198
283322,0.766859,-0.226803,-0.203072,0.565022
291655,0.766807,-0.226766,-0.203131,0.565086
299988,0.766821,-0.226630,-0.203010,0.565164
308321,0.766965,-0.226015,-0.202883,0.565261
316654,0.767200,-0.226407,-0.202583,0.564893
324987,0.767566,-0.226094,-0.202051,0.564712
333320,0.767428,-0.226652,-0.202406,0.564548
341653,0.767389,-0.226779,-0.202608,0.564479
349986,0.767284,-0.226257,-0.202608,0.564830
358319,0.767383,-0.226756,-0.201757,0.564800
366652,0.767396,-0.226700,-0.201884,0.564760
374985,0.767289,-0.226665,-0.202333,0.564758
383318,0.767337,-0.227060,-0.201498,0.564833
391651,0.767068,-0.227399,-0.201850,0.564937
399984,0.767111,-0.227400,-0.201708,0.564927
408317,0.767342,-0.226703,-0.202153,0.564735
416650,0.767425,-0.226509,-0.202322,0.564641
424983,0.767158,-0.226804,-0.202961,0.564656
433316,0.767094,-0.226819,-0.203041,0.564707
441649,0.767448,-0.226730,-0.202850,0.564331
449982,0.767628,-0.226635,-0.202489,0.564253
458315,0.767986,-0.226488,-0.201806,0.564070
466648,0.767836,-0.226913,-0.201851,0.564087
474981,0.767730,-0.226909,-0.201904,0.564214
483314,0.767740,-0.226925,-0.201772,0.564242
491647,0.767809,-0.226818,-0.201837,0.564167
499980,0.767904,-0.226848,-0.201950,0.563985
508313,0.767948,-0.226866,-0.201842,0.563957
516646,0.767990,-0.226784,-0.201763,0.563961
524979,0.768085,-0.226542,-0.201483,0.564029
533312,0.768029,-0.226621,-0.201577,0.564040
541645,0.767851,-0.226879,-0.201999,0.564027
549978,0.767732,-0.226417,-0.201960,0.564389
558311,0.767826,-0.226289,-0.201973,0.564308
566644,0.767829,-0.226450,-0.202557,0.564031
574977,0.767940,-0.226895,-0.202216,0.563823
583310,0.767894,-0.226611,-0.202257,0.563984
591643,0.767951,-0.226940,-0.202201,0.563795
599976,0.767968,-0.226954,-0.202180,0.563774
608309,0.767958,-0.226947,-0.202254,0.563764
616642,0.767853,-0.226929,-0.202477,0.563833
624975,0.767994,-0.226809,-0.202574,0.563655
633308,0.767852,-0.226901,-0.202588,0.563806
641641,0.767813,-0.226782,-0.202440,0.563961
649974,0.768073,-0.226590,-0.201896,0.563878
658307,0.768261,-0.226571,-0.201695,0.563702
666640,0.768512,-0.226758,-0.201569,0.563329
674973,0.768704,-0.226887,-0.200866,0.563267
683306,0.768812,-0.227136,-0.200425,0.563176
691639,0.768789,-0.228115,-0.200063,0.562941
699972,0.768754,-0.228483,-0.199014,0.563211
708305,0.768524,-0.229119,-0.198075,0.563597
716638,0.768535,-0.230930,-0.196172,0.563509
724971,0.768407,-0.233136,-0.194716,0.563280
733304,0.768615,-0.236107,-0.192805,0.562415
741637,0.768560,-0.239024,-0.190108,0.562177
749970,0.768994,-0.242115,-0.186354,0.561516
758303,0.768210,-0.246660,-0.183437,0.561571
766636,0.766400,-0.251229,-0.180642,0.562924
774969,0.763442,-0.256068,-0.179247,0.565205
783302,0.763695,-0.261861,-0.172550,0.564292
791635,0.764279,-0.267683,-0.164958,0.563039
799968,0.764298,-0.273263,-0.156867,0.562644
808301,0.763758,-0.278564,-0.146737,0.563510
816634,0.763181,-0.283124,-0.135169,0.564912
824967,0.762345,-0.284428,-0.124380,0.567856
833300,0.760732,-0.285199,-0.114386,0.571720
841633,0.760227,-0.285170,-0.102165,0.574713
849966,0.759682,-0.285163,-0.090372,0.577407
858299,0.758748,-0.284250,-0.080268,0.580569
866632,0.757917,-0.283356,-0.070327,0.583374
874965,0.756978,-0.283103,-0.061474,0.585711
