Timestamp (us),W,X,Y,Z
0,0.653940,-0.028373,-0.054424,0.754052
8333,0.654012,-0.028422,-0.054473,0.753985
16666,0.653997,-0.028451,-0.054525,0.753993
24999,0.653839,-0.028494,-0.054558,0.754126
33332,0.653901,-0.028519,-0.054578,0.754070
41665,0.654001,-0.028560,-0.054628,0.753978
49998,0.654074,-0.028602,-0.054674,0.753909
58331,0.654130,-0.028625,-0.054694,0.753859
66664,0.654094,-0.028640,-0.054700,0.753889
74997,0.654042,-0.028619,-0.054654,0.753939
83330,0.654095,-0.028652,-0.054688,0.753889
91663,0.654024,-0.028640,-0.054672,0.753952
99996,0.654061,-0.028631,-0.054666,0.753920
108329,0.654047,-0.028644,-0.054674,0.753931
116662,0.654023,-0.028649,-0.054659,0.753954
124995,0.654039,-0.028649,-0.054645,0.753940
133328,0.654125,-0.028683,-0.054684,0.753862
141661,0.654111,-0.028684,-0.054672,0.753875
149994,0.654129,-0.028673,-0.054667,0.753860
158327,0.654122,-0.028685,-0.054655,0.753866
166660,0.654097,-0.028691,-0.054665,0.753887
174993,0.654132,-0.028697,-0.054677,0.753855
183326,0.654251,-0.028708,-0.054697,0.753750
191659,0.654321,-0.028708,-0.054689,0.753691
199992,0.654218,-0.028671,-0.054636,0.753785
208325,0.654146,-0.028661,-0.054625,0.753849
216658,0.654157,-0.028686,-0.054644,0.753836
224991,0.654079,-0.028683,-0.054622,0.753906
233324,0.654151,-0.028690,-0.054638,0.753843
241657,0.654135,-0.028692,-0.054649,0.753855
249990,0.654135,-0.028717,-0.054676,0.753852
258323,0.654057,-0.028702,-0.054658,0.753922
266656,0.654097,-0.028750,-0.054703,0.753882
274989,0.654045,-0.028747,-0.054681,0.753929
283322,0.654156,-0.028765,-0.054714,0.753830
291655,0.654123,-0.028778,-0.054733,0.753856
299988,0.654101,-0.028765,-0.054709,0.753877
308321,0.653993,-0.028781,-0.054704,0.753971
316654,0.653883,-0.028771,-0.054701,0.754067
324987,0.653944,-0.028755,-0.054696,0.754015
333320,0.653999,-0.028760,-0.054712,0.753966
341653,0.654031,-0.028782,-0.054744,0.753935
349986,0.653981,-0.028813,-0.054766,0.753976
358319,0.653968,-0.028829,-0.054780,0.753985
366652,0.654037,-0.028885,-0.054870,0.753917
374985,0.654016,-0.028906,-0.054904,0.753932
383318,0.653991,-0.028930,-0.054932,0.753951
391651,0.654001,-0.028974,-0.054976,0.753937
399984,0.653990,-0.028999,-0.054992,0.753944
408317,0.654002,-0.029013,-0.055005,0.753932
416650,0.653996,-0.029032,-0.055031,0.753935
424983,0.653965,-0.029041,-0.055067,0.753959
433316,0.654026,-0.029053,-0.055095,0.753903
441649,0.654136,-0.029063,-0.055110,0.753806
449982,0.654048,-0.029094,-0.055129,0.753881
458315,0.654057,-0.029101,-0.055157,0.753870
466648,0.654072,-0.029118,-0.055182,0.753855
474981,0.654093,-0.029164,-0.055233,0.753831
483314,0.654182,-0.029195,-0.055269,0.753750
491647,0.654207,-0.029206,-0.055286,0.753727
499980,0.654227,-0.029214,-0.055294,0.753708
508313,0.654239,-0.029241,-0.055332,0.753694
516646,0.654215,-0.029254,-0.055356,0.753712
524979,0.654249,-0.029295,-0.055404,0.753678
533312,0.654322,-0.029337,-0.055456,0.753609
541645,0.654358,-0.029335,-0.055469,0.753577
549978,0.654381,-0.029360,-0.055498,0.753554
558311,0.654421,-0.029375,-0.055532,0.753516
566644,0.654415,-0.029424,-0.055587,0.753515
574977,0.654464,-0.029472,-0.055635,0.753468
583310,0.654480,-0.029502,-0.055655,0.753451
591643,0.654483,-0.029550,-0.055712,0.753442
599976,0.654523,-0.029614,-0.055791,0.753399
608309,0.654586,-0.029660,-0.055871,0.753337
616642,0.654666,-0.029724,-0.055951,0.753259
624975,0.654798,-0.029764,-0.056026,0.753137
633308,0.654943,-0.029845,-0.056147,0.752998
641641,0.655106,-0.029941,-0.056272,0.752843
649974,0.655271,-0.030078,-0.056463,0.752680
658307,0.655427,-0.030280,-0.056737,0.752515
666640,0.655668,-0.030516,-0.057040,0.752273
674973,0.655922,-0.030797,-0.057433,0.752010
683306,0.656199,-0.031077,-0.057813,0.751728
691639,0.656470,-0.031440,-0.058302,0.751439
699972,0.656771,-0.031826,-0.058831,0.751118
708305,0.657168,-0.032242,-0.059449,0.750704
716638,0.657518,-0.032672,-0.060074,0.750329
724971,0.657951,-0.033080,-0.060695,0.749881
733304,0.658370,-0.033510,-0.061305,0.749445
741637,0.658874,-0.033954,-0.061962,0.748927
749970,0.659308,-0.034410,-0.062633,0.748469
758303,0.659809,-0.034861,-0.063332,0.747947
766636,0.660291,-0.035335,-0.064080,0.747437
