Timestamp (us),W,X,Y,Z
0,0.663910,-0.066044,-0.047185,0.743395
8333,0.663930,-0.066069,-0.047151,0.743377
16666,0.663939,-0.066094,-0.047077,0.743371
24999,0.663922,-0.066129,-0.047042,0.743386
33332,0.663886,-0.066152,-0.047029,0.743416
41665,0.663876,-0.066186,-0.047041,0.743422
49998,0.663875,-0.066185,-0.047055,0.743421
58331,0.663873,-0.066169,-0.047087,0.743423
66664,0.663868,-0.066166,-0.047099,0.743427
74997,0.663854,-0.066180,-0.047105,0.743437
83330,0.663837,-0.066175,-0.047145,0.743450
91663,0.663869,-0.066161,-0.047138,0.743423
99996,0.663837,-0.066204,-0.047106,0.743450
108329,0.663801,-0.066232,-0.047077,0.743482
116662,0.663781,-0.066232,-0.047069,0.743500
124995,0.663784,-0.066238,-0.047090,0.743495
133328,0.663780,-0.066262,-0.047079,0.743498
141661,0.663781,-0.066233,-0.047059,0.743501
149994,0.663739,-0.066236,-0.047073,0.743538
158327,0.663715,-0.066223,-0.047081,0.743560
166660,0.663702,-0.066233,-0.047102,0.743568
174993,0.663662,-0.066285,-0.047102,0.743600
183326,0.663665,-0.066317,-0.047087,0.743595
191659,0.663616,-0.066357,-0.047123,0.743633
199992,0.663623,-0.066382,-0.047152,0.743623
208325,0.663632,-0.066418,-0.047194,0.743609
216658,0.663599,-0.066458,-0.047238,0.743631
224991,0.663604,-0.066493,-0.047250,0.743624
233324,0.663634,-0.066501,-0.047251,0.743596
241657,0.663640,-0.066508,-0.047291,0.743588
249990,0.663622,-0.066515,-0.047294,0.743602
258323,0.663640,-0.066486,-0.047290,0.743589
266656,0.663632,-0.066441,-0.047292,0.743601
274989,0.663664,-0.066419,-0.047299,0.743573
283322,0.663688,-0.066365,-0.047296,0.743557
291655,0.663707,-0.066321,-0.047247,0.743547
299988,0.663715,-0.066247,-0.047235,0.743547
308321,0.663744,-0.066215,-0.047173,0.743528
316654,0.663751,-0.066183,-0.047149,0.743527
324987,0.663848,-0.066089,-0.047197,0.743445
333320,0.663908,-0.066014,-0.047155,0.743401
341653,0.663929,-0.065991,-0.047143,0.743385
349986,0.663958,-0.065966,-0.047096,0.743364
358319,0.664006,-0.065972,-0.047101,0.743320
366652,0.664019,-0.066007,-0.047098,0.743306
374985,0.664027,-0.066002,-0.047107,0.743299
383318,0.664065,-0.065992,-0.047116,0.743265
391651,0.664113,-0.065994,-0.047123,0.743222
399984,0.664131,-0.066008,-0.047122,0.743204
408317,0.664135,-0.065994,-0.047130,0.743201
416650,0.664166,-0.065951,-0.047139,0.743177
424983,0.664181,-0.065935,-0.047140,0.743165
433316,0.664195,-0.065887,-0.047126,0.743157
441649,0.664197,-0.065865,-0.047062,0.743162
449982,0.664226,-0.065838,-0.047009,0.743142
458315,0.664279,-0.065746,-0.046965,0.743105
466648,0.664299,-0.065698,-0.046933,0.743093
474981,0.664358,-0.065655,-0.046886,0.743047
483314,0.664393,-0.065651,-0.046823,0.743020
491647,0.664443,-0.065615,-0.046797,0.742980
499980,0.664472,-0.065603,-0.046767,0.742957
508313,0.664516,-0.065621,-0.046754,0.742917
516646,0.664560,-0.065618,-0.046752,0.742878
524979,0.664591,-0.065628,-0.046751,0.742850
533312,0.664631,-0.065638,-0.046759,0.742813
541645,0.664660,-0.065660,-0.046773,0.742784
549978,0.664679,-0.065706,-0.046749,0.742764
558311,0.664704,-0.065693,-0.046757,0.742743
566644,0.664712,-0.065639,-0.046785,0.742738
574977,0.664774,-0.065625,-0.046813,0.742683
583310,0.664800,-0.065631,-0.046795,0.742660
591643,0.664834,-0.065595,-0.046829,0.742631
599976,0.664834,-0.065591,-0.046882,0.742628
608309,0.664872,-0.065587,-0.046953,0.742589
616642,0.664913,-0.065587,-0.046971,0.742552
624975,0.664986,-0.065541,-0.047039,0.742486
633308,0.665026,-0.065470,-0.047122,0.742451
641641,0.665041,-0.065431,-0.047195,0.742436
649974,0.665076,-0.065383,-0.047293,0.742403
658307,0.665102,-0.065304,-0.047395,0.742380
666640,0.665139,-0.065231,-0.047453,0.742350
674973,0.665189,-0.065210,-0.047546,0.742301
683306,0.665236,-0.065149,-0.047660,0.742257
691639,0.665280,-0.065080,-0.047800,0.742215
699972,0.665281,-0.065019,-0.048026,0.742204
708305,0.665293,-0.065019,-0.048251,0.742179
716638,0.665315,-0.065033,-0.048432,0.742146
724971,0.665314,-0.064973,-0.048713,0.742134
733304,0.665322,-0.064996,-0.049022,0.742105
741637,0.665328,-0.064984,-0.049389,0.742076
749970,0.665371,-0.064974,-0.049756,0.742013
758303,0.665443,-0.064903,-0.050129,0.741930
766636,0.665574,-0.064822,-0.050487,0.741796
774969,0.665687,-0.064684,-0.050918,0.741677
783302,0.665802,-0.064381,-0.051368,0.741569
791635,0.665936,-0.064067,-0.051797,0.741446
799968,0.665934,-0.063766,-0.052258,0.741441
808301,0.665977,-0.063417,-0.052660,0.741404
816634,0.665990,-0.063012,-0.053040,0.741399
824967,0.666049,-0.062643,-0.053411,0.741351
833300,0.666101,-0.062377,-0.053791,0.741299
841633,0.666124,-0.062028,-0.054088,0.741287
849966,0.666135,-0.061652,-0.054489,0.741279
858299,0.666236,-0.061240,-0.054901,0.741192
866632,0.666298,-0.060883,-0.055288,0.741137
874965,0.666362,-0.060475,-0.055646,0.741086
883298,0.666488,-0.060074,-0.055988,0.740979
891631,0.666528,-0.059595,-0.056320,0.740957
899964,0.666449,-0.059136,-0.056794,0.741029
908297,0.666436,-0.058631,-0.057207,0.741049
916630,0.666461,-0.058217,-0.057501,0.741036
924963,0.666425,-0.057776,-0.057937,0.741069
933296,0.666337,-0.057473,-0.058348,0.741139
941629,0.666397,-0.056983,-0.058843,0.741084
949962,0.666509,-0.056473,-0.059447,0.740974
958295,0.666596,-0.055853,-0.060275,0.740876
966628,0.666701,-0.055187,-0.061188,0.740756
974961,0.666837,-0.054450,-0.062234,0.740601
983294,0.667018,-0.053657,-0.063447,0.740393
991627,0.667337,-0.052503,-0.064827,0.740069
999960,0.667643,-0.051358,-0.066444,0.739730
1008293,0.667974,-0.050271,-0.068134,0.739352
1016626,0.668405,-0.049066,-0.070020,0.738867
1024959,0.668912,-0.048075,-0.071785,0.738304
1033292,0.669347,-0.047351,-0.073511,0.737787
1041625,0.669912,-0.046665,-0.075457,0.737120
1049958,0.670416,-0.045956,-0.077505,0.736494
1058291,0.670970,-0.045225,-0.079697,0.735800
1066624,0.671649,-0.044419,-0.082154,0.734960
1074957,0.672479,-0.043151,-0.084996,0.733952
1083290,0.673366,-0.041523,-0.088365,0.732834
1091623,0.674322,-0.039915,-0.091903,0.731608
