Timestamp (us),W,X,Y,Z
0,0.635131,0.046239,0.047547,0.769551
8333,0.635145,0.046235,0.047422,0.769548
16666,0.635138,0.046079,0.047464,0.769561
24999,0.635091,0.046125,0.047583,0.769589
33332,0.635099,0.046127,0.047525,0.769586
41665,0.635120,0.046151,0.047438,0.769573
49998,0.635160,0.046119,0.047460,0.769540
58331,0.635165,0.046051,0.047335,0.769548
66664,0.635146,0.046008,0.047396,0.769563
74997,0.635152,0.046118,0.047398,0.769551
83330,0.635146,0.046066,0.047350,0.769562
91663,0.635134,0.046096,0.047392,0.769567
99996,0.635145,0.046079,0.047435,0.769556
108329,0.635122,0.046217,0.047522,0.769562
116662,0.635140,0.046122,0.047542,0.769552
124995,0.635152,0.046088,0.047546,0.769543
133328,0.635164,0.046083,0.047562,0.769533
141661,0.635151,0.046067,0.047509,0.769548
149994,0.635138,0.045999,0.047385,0.769571
158327,0.635145,0.046163,0.047444,0.769551
166660,0.635126,0.046185,0.047439,0.769566
174993,0.635137,0.046165,0.047453,0.769557
183326,0.635148,0.045973,0.047376,0.769564
191659,0.635149,0.046030,0.047389,0.769559
199992,0.635152,0.046065,0.047381,0.769555
208325,0.635158,0.046119,0.047349,0.769549
216658,0.635164,0.046105,0.047353,0.769545
224991,0.635174,0.046076,0.047387,0.769536
233324,0.635155,0.046089,0.047380,0.769551
241657,0.635120,0.046156,0.047336,0.769579
249990,0.635153,0.046017,0.047420,0.769555
258323,0.635162,0.045937,0.047416,0.769552
266656,0.635169,0.045946,0.047415,0.769546
274989,0.635146,0.045993,0.047206,0.769575
283322,0.635159,0.046054,0.047294,0.769555
291655,0.635136,0.046022,0.047262,0.769578
299988,0.635127,0.046093,0.047273,0.769581
308321,0.635162,0.046055,0.047261,0.769555
316654,0.635163,0.046021,0.047309,0.769553
324987,0.635174,0.046099,0.047427,0.769532
333320,0.635163,0.046086,0.047463,0.769539
341653,0.635161,0.045967,0.047349,0.769555
349986,0.635162,0.046009,0.047388,0.769550
358319,0.635164,0.045948,0.047274,0.769558
366652,0.635138,0.046022,0.047350,0.769571
374985,0.635118,0.046071,0.047417,0.769581
383318,0.635143,0.045926,0.047320,0.769575
391651,0.635111,0.045994,0.047333,0.769596
399984,0.635124,0.045980,0.047308,0.769588
408317,0.635151,0.046027,0.047331,0.769562
416650,0.635153,0.045967,0.047298,0.769565
424983,0.635176,0.045850,0.047274,0.769554
433316,0.635147,0.045835,0.047251,0.769581
441649,0.635171,0.045859,0.047180,0.769564
449982,0.635165,0.045923,0.047133,0.769568
458315,0.635146,0.045912,0.047190,0.769581
466648,0.635117,0.045950,0.047294,0.769596
474981,0.635126,0.045977,0.047261,0.769590
483314,0.635155,0.045976,0.047262,0.769565
491647,0.635154,0.045981,0.047164,0.769571
499980,0.635173,0.045953,0.047187,0.769557
508313,0.635135,0.046028,0.047118,0.769588
516646,0.635139,0.046055,0.047272,0.769573
524979,0.635152,0.046019,0.047334,0.769561
533312,0.635151,0.046044,0.047265,0.769564
541645,0.635155,0.046094,0.047240,0.769559
549978,0.635160,0.045974,0.047270,0.769561
558311,0.635110,0.045955,0.047059,0.769616
566644,0.635130,0.046041,0.047292,0.769580
574977,0.635150,0.046040,0.047332,0.769562
583310,0.635116,0.046223,0.047462,0.769570
591643,0.635129,0.046242,0.047621,0.769549
599976,0.635167,0.046107,0.047581,0.769528
608309,0.635144,0.046097,0.047557,0.769549
616642,0.635116,0.046175,0.047395,0.769577
624975,0.635109,0.046239,0.047537,0.769570
633308,0.635124,0.046263,0.047762,0.769542
641641,0.635151,0.046406,0.047806,0.769509
649974,0.635097,0.046590,0.048110,0.769524
658307,0.635027,0.046825,0.048286,0.769556
666640,0.635039,0.047041,0.048764,0.769503
674973,0.635021,0.047401,0.049125,0.769473
683306,0.635027,0.047565,0.049649,0.769424
691639,0.634960,0.047881,0.050110,0.769430
699972,0.634962,0.047996,0.050445,0.769399
708305,0.634954,0.048245,0.050879,0.769361
716638,0.634926,0.048358,0.051434,0.769341
724971,0.634923,0.048332,0.051653,0.769330
733304,0.634919,0.048579,0.051962,0.769297
741637,0.634921,0.048898,0.052449,0.769242
749970,0.634934,0.049214,0.052884,0.769182
758303,0.634938,0.049524,0.053391,0.769123
766636,0.634882,0.049938,0.053987,0.769101
774969,0.634898,0.050245,0.054511,0.769031
783302,0.634862,0.050553,0.054804,0.769019
791635,0.634870,0.050869,0.055175,0.768965
799968,0.634921,0.050999,0.055725,0.768875
808301,0.634918,0.051339,0.056089,0.768829
816634,0.634898,0.051515,0.056296,0.768818
824967,0.634947,0.051645,0.056748,0.768736
833300,0.634980,0.052025,0.057196,0.768650
841633,0.634911,0.052386,0.057607,0.768652
849966,0.634931,0.052618,0.058057,0.768586
858299,0.634933,0.052819,0.058476,0.768538
866632,0.634950,0.053159,0.058889,0.768469
874965,0.634960,0.053365,0.059005,0.768438
883298,0.634951,0.053602,0.059312,0.768405
891631,0.634923,0.053826,0.059675,0.768384
899964,0.634906,0.054105,0.059827,0.768367
908297,0.634906,0.054275,0.060055,0.768337
916630,0.634911,0.054336,0.060138,0.768322
924963,0.634921,0.054378,0.060168,0.768309
933296,0.634935,0.054560,0.060443,0.768263
941629,0.634959,0.054685,0.060509,0.768229
949962,0.634982,0.054909,0.060684,0.768180
958295,0.635010,0.054964,0.060832,0.768141
966628,0.634996,0.055072,0.061098,0.768124
974961,0.634998,0.055254,0.061288,0.768094
983294,0.634983,0.055406,0.061505,0.768078
991627,0.635005,0.055465,0.061509,0.768055
999960,0.634957,0.055584,0.061455,0.768091
1008293,0.634914,0.055712,0.061399,0.768121
1016626,0.634782,0.055918,0.061140,0.768237
1024959,0.634678,0.056144,0.061304,0.768293
1033292,0.634653,0.056419,0.061235,0.768299
1041625,0.634705,0.056474,0.061242,0.768251
1049958,0.634621,0.056839,0.061561,0.768268
1058291,0.634536,0.057173,0.061761,0.768297
1066624,0.634457,0.057391,0.062203,0.768311
1074957,0.634374,0.057635,0.062346,0.768349
1083290,0.634283,0.057844,0.062755,0.768376
1091623,0.634171,0.058276,0.062988,0.768416
1099956,0.634091,0.058577,0.063219,0.768441
1108289,0.633925,0.059268,0.063871,0.768470
1116622,0.633800,0.059731,0.064076,0.768521
1124955,0.633727,0.059902,0.064106,0.768565
1133288,0.633681,0.060036,0.063873,0.768612
1141621,0.633616,0.059992,0.063845,0.768672
1149954,0.633590,0.059962,0.064084,0.768675
1158287,0.633603,0.059641,0.064283,0.768673
1166620,0.633591,0.059323,0.063799,0.768748
1174953,0.633737,0.059258,0.063257,0.768677
1183286,0.633643,0.059021,0.063207,0.768777
1191619,0.633608,0.058780,0.063047,0.768838
1199952,0.633606,0.058686,0.062893,0.768859
1208285,0.633756,0.058566,0.062691,0.768761
1216618,0.633886,0.058708,0.062204,0.768682
1224951,0.633503,0.058395,0.061426,0.769085
1233284,0.633432,0.058608,0.058748,0.769336
1241617,0.633432,0.058479,0.057373,0.769450
1249950,0.633322,0.057990,0.056364,0.769652
1258283,0.633354,0.057331,0.055983,0.769702
1266616,0.633352,0.056695,0.055549,0.769782
1274949,0.633441,0.055794,0.056835,0.769681
1283282,0.633452,0.055168,0.056358,0.769753
1291615,0.633205,0.054892,0.054968,0.770076
1299948,0.633214,0.054286,0.054155,0.770169
1308281,0.633193,0.053415,0.053416,0.770299
1316614,0.633341,0.052777,0.053430,0.770220
1324947,0.633086,0.052509,0.053397,0.770451
1333280,0.633182,0.051544,0.052501,0.770498
1341613,0.633171,0.050602,0.051374,0.770645
1349946,0.633112,0.050020,0.050748,0.770774
1358279,0.633206,0.048862,0.049688,0.770839
1366612,0.633260,0.047335,0.048247,0.770982
1374945,0.633226,0.046740,0.046958,0.771126
1383278,0.633259,0.045337,0.045406,0.771275
1391611,0.633444,0.043941,0.044283,0.771270
1399944,0.633450,0.042555,0.043286,0.771399
1408277,0.633271,0.041303,0.042324,0.771668
1416610,0.633187,0.040018,0.041016,0.771875
1424943,0.633223,0.038981,0.040011,0.771951
1433276,0.633384,0.037631,0.038623,0.771957
1441609,0.633378,0.035868,0.036507,0.772149
1449942,0.633335,0.034489,0.034463,0.772340
1458275,0.633236,0.033117,0.032570,0.772563
1466608,0.633171,0.031546,0.030534,0.772766
1474941,0.633204,0.030077,0.028305,0.772882
1483274,0.633129,0.028649,0.025956,0.773080
1491607,0.633034,0.027024,0.023023,0.773310
1499940,0.632951,0.025155,0.019692,0.773532
1508273,0.632762,0.024098,0.017769,0.773768
1516606,0.632508,0.023014,0.015536,0.774056
1524939,0.632331,0.021593,0.012691,0.774293
1533272,0.632211,0.020834,0.010576,0.774444
1541605,0.632064,0.019036,0.007507,0.774646
1549938,0.631861,0.018373,0.005629,0.774844
1558271,0.631699,0.017513,0.003235,0.775009
1566604,0.631562,0.016728,0.001412,0.775144
1574937,0.631324,0.015839,-0.000859,0.775357
1583270,0.631092,0.014229,-0.003791,0.775568
1591603,0.630681,0.013051,-0.005655,0.775912
1599936,0.630592,0.012177,-0.007969,0.775978
1608269,0.630286,0.011459,-0.009289,0.776223
1616602,0.629926,0.010107,-0.011206,0.776508
1624935,0.630007,0.007612,-0.013913,0.776428
1633268,0.629799,0.005584,-0.016010,0.776573
1641601,0.629515,0.003720,-0.017717,0.776777
1649934,0.629030,0.000277,-0.021289,0.777089
1658267,0.628900,-0.004126,-0.023330,0.777125
1666600,0.628656,-0.008687,-0.025535,0.777216
