Timestamp (us),W,X,Y,Z
0,0.654024,-0.026372,-0.052116,0.754215
8333,0.654097,-0.026380,-0.052119,0.754151
16666,0.654084,-0.026367,-0.052123,0.754163
24999,0.653929,-0.026362,-0.052099,0.754300
33332,0.653991,-0.026373,-0.052103,0.754245
41665,0.654092,-0.026381,-0.052115,0.754156
49998,0.654167,-0.026388,-0.052122,0.754090
58331,0.654223,-0.026401,-0.052131,0.754041
66664,0.654187,-0.026431,-0.052153,0.754069
74997,0.654131,-0.026490,-0.052200,0.754113
83330,0.654186,-0.026492,-0.052198,0.754065
91663,0.654112,-0.026555,-0.052269,0.754122
99996,0.654148,-0.026561,-0.052280,0.754090
108329,0.654134,-0.026585,-0.052301,0.754100
116662,0.654108,-0.026626,-0.052326,0.754119
124995,0.654124,-0.026642,-0.052332,0.754104
133328,0.654212,-0.026621,-0.052307,0.754031
141661,0.654197,-0.026648,-0.052326,0.754041
149994,0.654214,-0.026655,-0.052341,0.754025
158327,0.654208,-0.026669,-0.052333,0.754031
166660,0.654183,-0.026664,-0.052329,0.754052
174993,0.654218,-0.026662,-0.052332,0.754022
183326,0.654337,-0.026669,-0.052348,0.753917
191659,0.654406,-0.026690,-0.052364,0.753856
199992,0.654300,-0.026736,-0.052408,0.753943
208325,0.654226,-0.026759,-0.052433,0.754005
216658,0.654239,-0.026756,-0.052420,0.753994
224991,0.654159,-0.026795,-0.052445,0.754061
233324,0.654231,-0.026787,-0.052445,0.753998
241657,0.654215,-0.026799,-0.052468,0.754010
249990,0.654217,-0.026803,-0.052470,0.754009
258323,0.654136,-0.026842,-0.052513,0.754075
266656,0.654179,-0.026814,-0.052472,0.754041
274989,0.654125,-0.026857,-0.052503,0.754084
283322,0.654236,-0.026867,-0.052526,0.753985
291655,0.654204,-0.026889,-0.052557,0.754011
299988,0.654178,-0.026954,-0.052621,0.754026
308321,0.654068,-0.027018,-0.052672,0.754116
316654,0.653956,-0.027052,-0.052719,0.754209
324987,0.654015,-0.027090,-0.052776,0.754152
333320,0.654069,-0.027117,-0.052819,0.754101
341653,0.654101,-0.027143,-0.052854,0.754070
349986,0.654051,-0.027189,-0.052893,0.754109
358319,0.654038,-0.027204,-0.052907,0.754119
366652,0.654110,-0.027172,-0.052895,0.754058
374985,0.654090,-0.027175,-0.052908,0.754075
383318,0.654065,-0.027191,-0.052927,0.754094
391651,0.654078,-0.027197,-0.052928,0.754083
399984,0.654066,-0.027239,-0.052963,0.754090
408317,0.654077,-0.027261,-0.052985,0.754077
