Timestamp (us),W,X,Y,Z
0,0.700023,-0.031482,-0.053765,0.711398
8333,0.700001,-0.031493,-0.053795,0.711416
16666,0.700001,-0.031519,-0.053800,0.711415
24999,0.699983,-0.031581,-0.053747,0.711434
33332,0.699975,-0.031500,-0.053648,0.711453
41665,0.699958,-0.031462,-0.053629,0.711472
49998,0.699937,-0.031460,-0.053604,0.711495
58331,0.699930,-0.031476,-0.053634,0.711499
66664,0.699920,-0.031509,-0.053615,0.711508
74997,0.699923,-0.031548,-0.053677,0.711499
83330,0.699938,-0.031454,-0.053695,0.711488
91663,0.699967,-0.031520,-0.053635,0.711460
99996,0.699981,-0.031561,-0.053585,0.711449
108329,0.699987,-0.031500,-0.053565,0.711447
116662,0.700012,-0.031558,-0.053525,0.711423
124995,0.700021,-0.031575,-0.053493,0.711415
133328,0.700027,-0.031549,-0.053440,0.711415
141661,0.700035,-0.031534,-0.053495,0.711403
149994,0.700026,-0.031542,-0.053413,0.711418
158327,0.700020,-0.031593,-0.053381,0.711424
166660,0.699994,-0.031662,-0.053405,0.711444
174993,0.699997,-0.031773,-0.053362,0.711440
183326,0.699973,-0.031791,-0.053375,0.711462
191659,0.699965,-0.031870,-0.053324,0.711470
199992,0.699930,-0.031890,-0.053346,0.711502
208325,0.699942,-0.031942,-0.053408,0.711483
216658,0.699952,-0.031948,-0.053383,0.711475
224991,0.699947,-0.032020,-0.053451,0.711472
233324,0.699960,-0.032061,-0.053410,0.711461
241657,0.699954,-0.032118,-0.053477,0.711458
249990,0.699978,-0.032138,-0.053361,0.711442
258323,0.699988,-0.032119,-0.053472,0.711425
266656,0.699972,-0.032071,-0.053462,0.711443
274989,0.700008,-0.032067,-0.053392,0.711414
283322,0.700044,-0.031983,-0.053449,0.711378
291655,0.700059,-0.031983,-0.053344,0.711371
299988,0.700079,-0.031860,-0.053400,0.711352
308321,0.700107,-0.031921,-0.053306,0.711329
316654,0.700164,-0.031912,-0.053227,0.711279
324987,0.700221,-0.031841,-0.053108,0.711235
333320,0.700227,-0.031802,-0.053159,0.711228
341653,0.700248,-0.031713,-0.053172,0.711210
349986,0.700279,-0.031662,-0.053092,0.711188
358319,0.700313,-0.031638,-0.053060,0.711158
366652,0.700328,-0.031596,-0.052784,0.711165
374985,0.700340,-0.031436,-0.052783,0.711160
383318,0.700366,-0.031360,-0.052671,0.711146
391651,0.700378,-0.031237,-0.052623,0.711144
399984,0.700383,-0.031123,-0.052454,0.711156
408317,0.700413,-0.031089,-0.052351,0.711136
416650,0.700413,-0.031031,-0.052295,0.711143
424983,0.700440,-0.030934,-0.052197,0.711128
433316,0.700457,-0.030885,-0.052135,0.711118
441649,0.700488,-0.030807,-0.051959,0.711103
449982,0.700525,-0.030693,-0.051791,0.711084
458315,0.700549,-0.030635,-0.051743,0.711066
466648,0.700583,-0.030490,-0.051592,0.711050
474981,0.700631,-0.030506,-0.051475,0.711010
483314,0.700651,-0.030393,-0.051405,0.711001
491647,0.700679,-0.030483,-0.051401,0.710969
499980,0.700710,-0.030508,-0.051357,0.710941
508313,0.700769,-0.030508,-0.051297,0.710887
516646,0.700792,-0.030343,-0.051221,0.710877
524979,0.700811,-0.030390,-0.051164,0.710860
533312,0.700846,-0.030372,-0.051154,0.710827
541645,0.700874,-0.030408,-0.051170,0.710797
549978,0.700918,-0.030276,-0.051158,0.710760
558311,0.700928,-0.030301,-0.051194,0.710747
566644,0.700952,-0.030406,-0.051099,0.710725
574977,0.700988,-0.030437,-0.051042,0.710693
583310,0.701012,-0.030453,-0.051007,0.710671
591643,0.701008,-0.030441,-0.051101,0.710668
599976,0.701022,-0.030544,-0.051068,0.710653
608309,0.701062,-0.030529,-0.051075,0.710613
616642,0.701081,-0.030546,-0.051154,0.710589
624975,0.701105,-0.030578,-0.051241,0.710557
633308,0.701154,-0.030634,-0.051273,0.710504
641641,0.701150,-0.030635,-0.051395,0.710499
649974,0.701185,-0.030724,-0.051392,0.710460
658307,0.701211,-0.030526,-0.051572,0.710431
666640,0.701251,-0.030488,-0.051694,0.710384
674973,0.701315,-0.030454,-0.051768,0.710317
683306,0.701335,-0.030406,-0.051983,0.710283
691639,0.701390,-0.030615,-0.052027,0.710217
699972,0.701445,-0.030703,-0.052259,0.710141
708305,0.701504,-0.030780,-0.052338,0.710074
716638,0.701533,-0.030914,-0.052570,0.710023
724971,0.701542,-0.031055,-0.052914,0.709982
733304,0.701557,-0.031171,-0.052908,0.709962
741637,0.701576,-0.031271,-0.053028,0.709931
749970,0.701595,-0.031416,-0.053216,0.709892
758303,0.701648,-0.031547,-0.053415,0.709818
766636,0.701702,-0.031760,-0.053643,0.709738
774969,0.701773,-0.031868,-0.054021,0.709635
783302,0.701847,-0.032016,-0.054425,0.709524
791635,0.701931,-0.032158,-0.054785,0.709406
799968,0.702065,-0.032228,-0.055144,0.709243
808301,0.702222,-0.032332,-0.055522,0.709053
816634,0.702366,-0.032244,-0.055921,0.708883
824967,0.702420,-0.032130,-0.056183,0.708814
833300,0.702518,-0.031923,-0.056300,0.708717
841633,0.702666,-0.031763,-0.056338,0.708574
849966,0.702819,-0.031493,-0.056593,0.708415
858299,0.702978,-0.031146,-0.057006,0.708239
866632,0.703051,-0.030672,-0.057401,0.708155
874965,0.703241,-0.030443,-0.057399,0.707976
883298,0.703492,-0.030395,-0.057229,0.707743
891631,0.703724,-0.029955,-0.057358,0.707520
899964,0.703907,-0.029197,-0.057585,0.707352
908297,0.704030,-0.028763,-0.057646,0.707242
916630,0.704166,-0.028303,-0.057798,0.707113
924963,0.704238,-0.027845,-0.057960,0.707046
933296,0.704311,-0.027480,-0.058082,0.706978
941629,0.704464,-0.027230,-0.058046,0.706838
949962,0.704600,-0.026842,-0.057934,0.706726
958295,0.704761,-0.026632,-0.058146,0.706556
966628,0.704909,-0.026420,-0.058371,0.706398
974961,0.704965,-0.026350,-0.058692,0.706318
983294,0.705120,-0.025754,-0.059141,0.706148
991627,0.705315,-0.025225,-0.059973,0.705902
999960,0.705487,-0.024851,-0.060495,0.705699
1008293,0.705511,-0.024295,-0.061199,0.705634
1016626,0.705780,-0.024650,-0.061862,0.705294
1024959,0.705767,-0.023744,-0.063059,0.705232
1033292,0.705816,-0.023294,-0.063688,0.705142
1041625,0.705846,-0.022818,-0.064696,0.705036
1049958,0.705941,-0.022759,-0.065192,0.704897
1058291,0.706044,-0.022623,-0.065987,0.704723
1066624,0.706253,-0.021935,-0.066826,0.704457
1074957,0.706481,-0.021992,-0.068295,0.704086
1083290,0.706844,-0.022546,-0.069828,0.703553
1091623,0.707198,-0.022312,-0.071683,0.703018
1099956,0.707635,-0.022924,-0.073810,0.702338
1108289,0.708068,-0.023116,-0.075777,0.701686
1116622,0.708484,-0.023144,-0.078044,0.701016
1124955,0.708858,-0.023238,-0.080326,0.700377
1133288,0.709271,-0.022810,-0.082454,0.699726
1141621,0.709690,-0.022652,-0.084850,0.699019
1149954,0.709931,-0.023086,-0.086954,0.698501
1158287,0.710266,-0.023843,-0.088637,0.697924
1166620,0.710520,-0.024829,-0.090247,0.697424
1174953,0.710753,-0.025566,-0.091695,0.696971
1183286,0.711259,-0.026222,-0.092886,0.696272
1191619,0.711590,-0.026915,-0.094251,0.695724
1199952,0.712057,-0.027506,-0.095521,0.695050
1208285,0.712393,-0.028387,-0.097058,0.694457
1216618,0.712895,-0.029522,-0.098105,0.693746
1224951,0.713409,-0.030876,-0.099307,0.692988
1233284,0.713995,-0.032682,-0.099711,0.692244
1241617,0.714613,-0.034143,-0.100024,0.691490
1249950,0.715447,-0.036160,-0.100084,0.690515
1258283,0.716357,-0.037660,-0.100318,0.689456
1266616,0.717511,-0.039769,-0.100810,0.688066
1274949,0.718666,-0.041689,-0.101306,0.686672
1283282,0.719901,-0.042999,-0.101354,0.685289
1291615,0.721283,-0.044031,-0.101386,0.683763
1299948,0.722857,-0.045110,-0.101319,0.682039
1308281,0.724370,-0.046256,-0.101243,0.680367
1316614,0.726214,-0.047971,-0.101337,0.678265
1324947,0.727912,-0.049320,-0.100727,0.676436
1333280,0.729706,-0.050703,-0.100419,0.674443
1341613,0.731345,-0.051864,-0.100081,0.672628
1349946,0.733235,-0.053296,-0.099788,0.670499
1358279,0.734942,-0.054436,-0.100059,0.668494
1366612,0.736800,-0.055827,-0.100172,0.666314
1374945,0.738509,-0.057321,-0.100628,0.664224
1383278,0.740123,-0.058861,-0.101017,0.662230
1391611,0.741681,-0.060525,-0.101681,0.660233
1399944,0.743151,-0.061938,-0.101693,0.658444
1408277,0.744531,-0.063464,-0.101860,0.656712
1416610,0.745936,-0.064934,-0.101749,0.654988
1424943,0.747376,-0.066646,-0.102040,0.653128
1433276,0.748710,-0.068288,-0.101966,0.651439
1441609,0.750030,-0.070209,-0.102236,0.649672
1449942,0.751305,-0.071636,-0.102696,0.647968
1458275,0.752480,-0.073187,-0.103473,0.646306
1466608,0.753764,-0.075012,-0.103813,0.644543
1474941,0.755057,-0.076616,-0.104001,0.642808
1483274,0.756405,-0.078149,-0.104236,0.640999
1491607,0.757824,-0.079859,-0.104231,0.639109
1499940,0.759284,-0.081066,-0.103908,0.637275
1508273,0.760769,-0.082339,-0.103602,0.635387
1516606,0.762217,-0.083316,-0.103257,0.633579
1524939,0.763506,-0.084643,-0.102844,0.631915
1533272,0.764731,-0.085838,-0.102349,0.630351
1541605,0.765943,-0.086867,-0.101756,0.628833
1549938,0.767013,-0.087516,-0.101394,0.627496
1558271,0.768113,-0.088706,-0.100610,0.626108
1566604,0.768977,-0.089607,-0.100033,0.625010
1574937,0.769912,-0.090422,-0.099313,0.623856
1583270,0.770816,-0.091800,-0.098588,0.622653
1591603,0.771588,-0.093480,-0.097862,0.621560
1599936,0.772443,-0.094399,-0.096492,0.620573
1608269,0.773226,-0.095771,-0.095811,0.619492
1616602,0.773895,-0.097145,-0.094979,0.618569
1624935,0.774641,-0.098358,-0.093974,0.617597
1633268,0.775257,-0.099844,-0.092524,0.616803
1641601,0.775853,-0.100169,-0.091490,0.616156
1649934,0.776469,-0.101109,-0.090187,0.615417
1658267,0.777017,-0.102148,-0.088985,0.614730
1666600,0.777642,-0.103328,-0.087584,0.613942
1674933,0.778206,-0.103395,-0.086518,0.613367
1683266,0.778657,-0.103502,-0.085323,0.612945
1691599,0.779099,-0.103528,-0.083891,0.612576
1699932,0.779583,-0.103841,-0.082689,0.612070
1708265,0.780027,-0.103366,-0.081404,0.611757
1716598,0.780437,-0.103814,-0.079864,0.611362
1724931,0.780771,-0.104041,-0.078582,0.611062
1733264,0.781073,-0.104169,-0.077588,0.610782
1741597,0.781282,-0.104756,-0.076627,0.610535
1749930,0.781427,-0.105729,-0.075953,0.610266
1758263,0.781540,-0.106238,-0.075049,0.610145
1766596,0.781597,-0.107224,-0.074228,0.609999
1774929,0.781571,-0.107595,-0.073483,0.610057
1783262,0.781386,-0.108605,-0.072894,0.610187
1791595,0.781217,-0.108879,-0.072079,0.610451
1799928,0.780959,-0.109025,-0.071225,0.610855
1808261,0.780535,-0.109010,-0.070856,0.611442
1816594,0.780127,-0.109222,-0.070189,0.612001
1824927,0.779664,-0.109051,-0.070084,0.612634
1833260,0.779152,-0.109408,-0.069710,0.613264
1841593,0.778677,-0.109354,-0.069190,0.613935
1849926,0.778233,-0.109874,-0.068711,0.614458
1858259,0.777809,-0.110014,-0.068030,0.615046
1866592,0.777331,-0.110305,-0.068380,0.615559
1874925,0.776930,-0.109939,-0.068563,0.616110
1883258,0.776404,-0.110032,-0.068885,0.616721
1891591,0.775945,-0.110776,-0.069011,0.617151
1899924,0.775524,-0.110391,-0.069298,0.617717
1908257,0.775058,-0.110162,-0.069616,0.618307
1916590,0.774481,-0.110187,-0.070300,0.618948
1924923,0.773862,-0.110581,-0.070633,0.619612
1933256,0.773120,-0.109978,-0.071317,0.620568
1941589,0.772502,-0.109959,-0.071878,0.621276
1949922,0.771811,-0.109871,-0.072386,0.622090
1958255,0.771249,-0.109016,-0.072870,0.622880
1966588,0.770560,-0.108336,-0.073412,0.623788
1974921,0.769918,-0.108503,-0.073828,0.624502
1983254,0.769246,-0.108133,-0.074328,0.625334
1991587,0.768731,-0.107487,-0.074753,0.626028
1999920,0.768260,-0.107104,-0.074979,0.626645
2008252,0.767672,-0.107331,-0.075335,0.627284
2016586,0.767179,-0.107417,-0.075182,0.627890
2024919,0.766646,-0.106910,-0.075621,0.628574
2033252,0.766055,-0.106536,-0.076076,0.629303
2041585,0.765541,-0.106477,-0.076202,0.629923
2049918,0.764991,-0.106721,-0.076226,0.630546
2058250,0.764504,-0.106318,-0.076665,0.631151
2066584,0.763952,-0.106890,-0.076417,0.631754
2074917,0.763269,-0.106862,-0.076699,0.632548
2083250,0.762524,-0.107432,-0.076293,0.633400
2091583,0.761597,-0.107730,-0.076262,0.634467
2099916,0.760678,-0.108386,-0.075848,0.635507
2108249,0.759782,-0.108735,-0.075575,0.636550
2116582,0.758837,-0.108495,-0.075720,0.637701
2124915,0.757738,-0.109013,-0.075290,0.638968
2133248,0.756554,-0.109212,-0.075069,0.640362
2141581,0.755471,-0.108776,-0.074797,0.641746
2149914,0.754204,-0.109188,-0.074503,0.643198
2158247,0.753011,-0.109217,-0.074206,0.644623
2166580,0.751846,-0.109600,-0.073597,0.645987
2174913,0.750558,-0.109320,-0.073336,0.647560
2183246,0.749260,-0.109533,-0.072794,0.649086
2191579,0.748024,-0.109708,-0.072468,0.650517
2199912,0.746669,-0.109696,-0.072138,0.652111
2208245,0.745513,-0.109735,-0.071725,0.653470
2216578,0.744262,-0.109655,-0.071342,0.654950
2224911,0.743032,-0.110183,-0.071601,0.656229
2233244,0.741779,-0.111057,-0.071828,0.657474
2241577,0.740583,-0.112126,-0.072116,0.658607
2249910,0.739510,-0.112930,-0.072245,0.659661
2258243,0.738315,-0.113464,-0.072621,0.660865
2266576,0.737292,-0.114215,-0.072812,0.661856
2274909,0.736272,-0.114362,-0.073141,0.662929
2283242,0.735473,-0.114691,-0.072512,0.663828
2291575,0.734778,-0.114795,-0.072020,0.664633
2299908,0.734161,-0.114444,-0.071486,0.665432
2308241,0.733535,-0.113776,-0.072166,0.666163
2316574,0.733168,-0.113154,-0.072112,0.666678
2324907,0.733011,-0.112488,-0.071211,0.667061
2333240,0.732711,-0.111268,-0.071040,0.667613
2341573,0.732381,-0.109599,-0.071377,0.668215
2349906,0.732216,-0.107796,-0.071468,0.668680
2358239,0.732086,-0.106340,-0.071623,0.669039
2366572,0.731761,-0.104271,-0.072086,0.669670
2374905,0.731547,-0.103296,-0.072391,0.670021
2383238,0.731297,-0.102685,-0.072540,0.670372
2391571,0.731048,-0.102042,-0.072808,0.670712
2399904,0.730745,-0.101331,-0.073296,0.671097
2408237,0.730506,-0.101275,-0.073442,0.671350
2416570,0.730306,-0.100385,-0.073700,0.671673
2424903,0.730160,-0.100221,-0.073756,0.671850
2433236,0.730211,-0.099500,-0.073986,0.671877
2441569,0.730440,-0.099293,-0.074201,0.671634
2449902,0.730634,-0.098536,-0.074173,0.671538
2458235,0.730975,-0.097754,-0.073596,0.671345
2466568,0.731282,-0.097035,-0.073510,0.671124
2474901,0.731564,-0.096481,-0.073686,0.670877
2483234,0.731872,-0.096553,-0.073626,0.670538
2491567,0.732109,-0.096268,-0.073548,0.670328
2499900,0.732312,-0.096312,-0.073522,0.670102
2508233,0.732525,-0.096587,-0.073244,0.669861
2516566,0.732601,-0.097016,-0.073144,0.669726
2524899,0.732845,-0.097735,-0.072748,0.669398
2533232,0.733189,-0.098186,-0.072248,0.669009
2541565,0.733430,-0.098575,-0.072018,0.668712
2549898,0.733760,-0.099173,-0.071530,0.668315
2558231,0.734091,-0.099936,-0.071548,0.667835
2566564,0.734504,-0.101040,-0.071065,0.667267
2574897,0.734862,-0.101883,-0.071041,0.666746
2583230,0.735316,-0.102383,-0.070897,0.666185
2591563,0.735815,-0.103713,-0.070261,0.665495
2599896,0.736281,-0.104413,-0.070478,0.664846
2608229,0.736701,-0.105408,-0.070253,0.664248
2616562,0.737185,-0.105659,-0.070126,0.663685
2624895,0.737637,-0.106214,-0.070254,0.663079
2633228,0.738095,-0.106831,-0.069875,0.662510
