Timestamp (us),W,X,Y,Z
0,0.688525,0.000040,-0.029400,0.724617
8333,0.688491,0.000041,-0.029413,0.724649
16666,0.688484,0.000027,-0.029420,0.724654
24999,0.688453,-0.000025,-0.029347,0.724687
33332,0.688432,0.000085,-0.029236,0.724711
41665,0.688412,0.000129,-0.029180,0.724732
49998,0.688401,0.000133,-0.029129,0.724745
58331,0.688391,0.000116,-0.029128,0.724755
66664,0.688381,0.000099,-0.029087,0.724766
74997,0.688388,0.000068,-0.029114,0.724758
83330,0.688413,0.000171,-0.029103,0.724735
91663,0.688449,0.000116,-0.029029,0.724703
99996,0.688481,0.000088,-0.028957,0.724676
108329,0.688492,0.000189,-0.028941,0.724666
116662,0.688532,0.000134,-0.028896,0.724630
124995,0.688567,0.000119,-0.028853,0.724598
133328,0.688595,0.000149,-0.028792,0.724574
141661,0.688605,0.000163,-0.028843,0.724562
149994,0.688604,0.000149,-0.028746,0.724567
158327,0.688586,0.000089,-0.028700,0.724586
166660,0.688580,0.000033,-0.028716,0.724592
174993,0.688604,-0.000075,-0.028641,0.724572
183326,0.688577,-0.000100,-0.028650,0.724597
191659,0.688561,-0.000185,-0.028550,0.724616
199992,0.688517,-0.000191,-0.028560,0.724657
208325,0.688536,-0.000281,-0.028573,0.724639
216658,0.688552,-0.000300,-0.028510,0.724626
224991,0.688538,-0.000359,-0.028582,0.724637
233324,0.688560,-0.000418,-0.028530,0.724618
241657,0.688558,-0.000496,-0.028598,0.724617
249990,0.688593,-0.000552,-0.028489,0.724588
258323,0.688601,-0.000558,-0.028616,0.724575
266656,0.688598,-0.000511,-0.028653,0.724577
274989,0.688643,-0.000533,-0.028594,0.724537
283322,0.688693,-0.000464,-0.028689,0.724486
291655,0.688723,-0.000502,-0.028626,0.724459
299988,0.688756,-0.000404,-0.028725,0.724424
308321,0.688792,-0.000477,-0.028667,0.724392
316654,0.688857,-0.000475,-0.028597,0.724333
324987,0.688936,-0.000411,-0.028493,0.724262
333320,0.688941,-0.000350,-0.028597,0.724253
341653,0.688966,-0.000231,-0.028605,0.724229
349986,0.688999,-0.000159,-0.028521,0.724201
358319,0.689040,-0.000076,-0.028467,0.724164
366652,0.689025,0.000001,-0.028127,0.724191
374985,0.689035,0.000239,-0.028092,0.724183
383318,0.689047,0.000352,-0.027928,0.724179
391651,0.689058,0.000513,-0.027803,0.724172
399984,0.689045,0.000680,-0.027552,0.724194
408317,0.689090,0.000743,-0.027363,0.724159
416650,0.689087,0.000836,-0.027239,0.724166
424983,0.689108,0.000965,-0.027082,0.724152
433316,0.689128,0.001030,-0.026956,0.724137
441649,0.689155,0.001108,-0.026712,0.724121
449982,0.689184,0.001243,-0.026521,0.724100
458315,0.689207,0.001307,-0.026455,0.724080
466648,0.689239,0.001469,-0.026270,0.724057
474981,0.689291,0.001476,-0.026127,0.724012
483314,0.689316,0.001608,-0.026029,0.723992
491647,0.689357,0.001563,-0.026004,0.723953
499980,0.689382,0.001570,-0.025922,0.723932
508313,0.689436,0.001614,-0.025825,0.723884
516646,0.689458,0.001818,-0.025715,0.723867
524979,0.689477,0.001813,-0.025621,0.723852
533312,0.689512,0.001865,-0.025589,0.723820
541645,0.689534,0.001872,-0.025585,0.723798
549978,0.689585,0.002037,-0.025528,0.723752
558311,0.689574,0.001999,-0.025552,0.723761
566644,0.689595,0.001897,-0.025460,0.723745
574977,0.689634,0.001867,-0.025405,0.723710
583310,0.689638,0.001844,-0.025384,0.723707
591643,0.689635,0.001863,-0.025502,0.723706
599976,0.689649,0.001763,-0.025466,0.723694
608309,0.689695,0.001779,-0.025473,0.723649
616642,0.689712,0.001752,-0.025555,0.723630
624975,0.689736,0.001691,-0.025644,0.723605
633308,0.689795,0.001611,-0.025680,0.723548
641641,0.689793,0.001577,-0.025793,0.723545
649974,0.689827,0.001445,-0.025772,0.723513
658307,0.689866,0.001615,-0.025954,0.723470
666640,0.689924,0.001608,-0.026079,0.723410
674973,0.690014,0.001649,-0.026165,0.723321
683306,0.690069,0.001723,-0.026411,0.723260
691639,0.690145,0.001503,-0.026430,0.723187
699972,0.690238,0.001480,-0.026637,0.723090
708305,0.690336,0.001453,-0.026652,0.722997
716638,0.690414,0.001372,-0.026828,0.722916
724971,0.690440,0.001290,-0.027097,0.722881
733304,0.690463,0.001253,-0.026975,0.722863
741637,0.690477,0.001247,-0.026991,0.722849
749970,0.690484,0.001114,-0.027035,0.722842
758303,0.690520,0.001022,-0.027154,0.722803
766636,0.690564,0.000806,-0.027308,0.722755
774969,0.690646,0.000677,-0.027591,0.722666
783302,0.690733,0.000465,-0.027983,0.722568
791635,0.690842,0.000245,-0.028335,0.722450
799968,0.691042,0.000157,-0.028719,0.722244
808301,0.691307,0.000003,-0.029139,0.721973
816634,0.691574,0.000017,-0.029618,0.721698
824967,0.691672,-0.000020,-0.029876,0.721594
833300,0.691850,0.000060,-0.029954,0.721419
841633,0.692076,0.000096,-0.030082,0.721198
849966,0.692357,0.000255,-0.030434,0.720913
858299,0.692684,0.000447,-0.030929,0.720578
866632,0.692879,0.000799,-0.031364,0.720371
874965,0.693228,0.000880,-0.031400,0.720033
883298,0.693696,0.000780,-0.031303,0.719586
891631,0.694219,0.001027,-0.031500,0.719073
899964,0.694648,0.001703,-0.031783,0.718645
908297,0.694947,0.002015,-0.031904,0.718350
916630,0.695322,0.002395,-0.032136,0.717976
924963,0.695597,0.002805,-0.032319,0.717699
933296,0.695858,0.003206,-0.032483,0.717438
941629,0.696208,0.003509,-0.032571,0.717092
949962,0.696554,0.004003,-0.032529,0.716756
958295,0.696917,0.004224,-0.032672,0.716394
966628,0.697223,0.004486,-0.032864,0.716087
974961,0.697397,0.004609,-0.033046,0.715908
983294,0.697722,0.005192,-0.033277,0.715577
991627,0.698066,0.005758,-0.034035,0.715201
999960,0.698421,0.006232,-0.034391,0.714833
1008293,0.698530,0.006936,-0.035040,0.714688
1016626,0.698936,0.006792,-0.035605,0.714265
1024959,0.698892,0.007875,-0.036763,0.714239
1033292,0.698873,0.008669,-0.037328,0.714218
1041625,0.698754,0.009520,-0.038360,0.714269
1049958,0.698720,0.009914,-0.038912,0.714268
1058291,0.698567,0.010597,-0.039796,0.714358
1066624,0.698441,0.011764,-0.040685,0.714414
1074957,0.698373,0.012206,-0.042248,0.714382
1083290,0.698383,0.012142,-0.043935,0.714271
1091623,0.698247,0.012891,-0.045923,0.714266
1099956,0.698300,0.012673,-0.048369,0.714057
1108289,0.698282,0.012902,-0.050691,0.713909
1116622,0.698207,0.013400,-0.053426,0.713774
1124955,0.698078,0.013721,-0.056287,0.713674
1133288,0.698043,0.014723,-0.059253,0.713448
1141621,0.697915,0.015475,-0.062657,0.713266
1149954,0.697597,0.015667,-0.065811,0.713289
1158287,0.697301,0.015431,-0.068784,0.713304
1166620,0.696874,0.015007,-0.071826,0.713430
1174953,0.696432,0.014783,-0.074798,0.713561
1183286,0.696260,0.014276,-0.077603,0.713440
1191619,0.696040,0.013580,-0.080592,0.713337
1199952,0.696056,0.012803,-0.083470,0.713004
1208285,0.695976,0.011615,-0.086519,0.712739
1216618,0.696011,0.009983,-0.089067,0.712416
1224951,0.696029,0.008054,-0.091784,0.712077
1233284,0.696104,0.005620,-0.093666,0.711783
1241617,0.696137,0.003535,-0.095304,0.711546
1249950,0.696298,0.001001,-0.096545,0.711229
1258283,0.696591,-0.001009,-0.097750,0.710778
1266616,0.697188,-0.003454,-0.099153,0.709989
1274949,0.697657,-0.005905,-0.100164,0.709371
1283282,0.698428,-0.007601,-0.100617,0.708531
1291615,0.699199,-0.009051,-0.100888,0.707715
1299948,0.700105,-0.010458,-0.100979,0.706787
1308281,0.701056,-0.011911,-0.100955,0.705823
1316614,0.702342,-0.013892,-0.101129,0.704483
1324947,0.703415,-0.015236,-0.100513,0.703472
1333280,0.704590,-0.016551,-0.100070,0.702328
1341613,0.705582,-0.017736,-0.099435,0.701393
1349946,0.706852,-0.019219,-0.098903,0.700149
1358279,0.707990,-0.020279,-0.098751,0.698990
1366612,0.709199,-0.021748,-0.098483,0.697757
1374945,0.710460,-0.023398,-0.098614,0.696401
1383278,0.711688,-0.025166,-0.098880,0.695046
1391611,0.712950,-0.027070,-0.099305,0.693619
1399944,0.714164,-0.028843,-0.099042,0.692335
1408277,0.715378,-0.030761,-0.098935,0.691013
1416610,0.716619,-0.032743,-0.098544,0.689691
1424943,0.717835,-0.034997,-0.098712,0.688291
1433276,0.718970,-0.037311,-0.098566,0.687004
1441609,0.720116,-0.039862,-0.098842,0.685620
1449942,0.721265,-0.041956,-0.099375,0.684208
1458275,0.722303,-0.044291,-0.100216,0.682842
1466608,0.723445,-0.046891,-0.100508,0.681415
1474941,0.724591,-0.049154,-0.100759,0.680000
1483274,0.725716,-0.051397,-0.101005,0.678596
1491607,0.726840,-0.053810,-0.101044,0.677199
1499940,0.728051,-0.055694,-0.100703,0.675795
1508273,0.729266,-0.057541,-0.100473,0.674363
1516606,0.730482,-0.059144,-0.100193,0.672949
1524939,0.731518,-0.060965,-0.099882,0.671705
1533272,0.732526,-0.062582,-0.099529,0.670510
1541605,0.733752,-0.064143,-0.099067,0.669088
1549938,0.734795,-0.065328,-0.098790,0.667869
1558271,0.735861,-0.067031,-0.098162,0.666618
1566604,0.736740,-0.068266,-0.097555,0.665610
1574937,0.737696,-0.069575,-0.096954,0.664502
1583270,0.738671,-0.071297,-0.096332,0.663327
1591603,0.739454,-0.073209,-0.095593,0.662353
1599936,0.740257,-0.074546,-0.094277,0.661494
1608269,0.741041,-0.076065,-0.093590,0.660540
1616602,0.741714,-0.077508,-0.092801,0.659727
1624935,0.742467,-0.078812,-0.091835,0.658861
1633268,0.742943,-0.080409,-0.090374,0.658333
1641601,0.743577,-0.080833,-0.089250,0.657718
1649934,0.744214,-0.082017,-0.087871,0.657037
1658267,0.744777,-0.083291,-0.086555,0.656413
1666600,0.745446,-0.084894,-0.084977,0.655654
1674933,0.746078,-0.085340,-0.083828,0.655025
1683266,0.746601,-0.085923,-0.082492,0.654522
1691599,0.746986,-0.086461,-0.080978,0.654201
1699932,0.747575,-0.087321,-0.079600,0.653583
1708265,0.748018,-0.087436,-0.078110,0.653240
1716598,0.748471,-0.088492,-0.076428,0.652777
1724931,0.748848,-0.089403,-0.074950,0.652393
1733264,0.749165,-0.090124,-0.073761,0.652065
1741597,0.749361,-0.091167,-0.072537,0.651832
1749930,0.749483,-0.092649,-0.071538,0.651594
1758263,0.749564,-0.093538,-0.070339,0.651504
1766596,0.749596,-0.094870,-0.069238,0.651392
1774929,0.749634,-0.095696,-0.068144,0.651343
1783262,0.749406,-0.097198,-0.067203,0.651480
1791595,0.749286,-0.097982,-0.065978,0.651626
1799928,0.749072,-0.098599,-0.064822,0.651895
1808261,0.748702,-0.099091,-0.064120,0.652315
1816594,0.748339,-0.099756,-0.063291,0.652710
1824927,0.747956,-0.099987,-0.063074,0.653135
1833260,0.747428,-0.100838,-0.062644,0.653650
1841593,0.746937,-0.101333,-0.062169,0.654180
1849926,0.746408,-0.102357,-0.061743,0.654665
1858259,0.745802,-0.102978,-0.061307,0.655299
1866592,0.745196,-0.103697,-0.061986,0.655811
1874925,0.744632,-0.103766,-0.062482,0.656393
1883258,0.743930,-0.104242,-0.063264,0.657038
1891591,0.743231,-0.105355,-0.063787,0.657601
1899924,0.742538,-0.105314,-0.064408,0.658330
1908257,0.741843,-0.105316,-0.065132,0.659042
1916590,0.741013,-0.105505,-0.066220,0.659836
1924923,0.740113,-0.105997,-0.066956,0.660692
1933256,0.739117,-0.105372,-0.067947,0.661805
1941589,0.738293,-0.105254,-0.068731,0.662662
1949922,0.737406,-0.105045,-0.069417,0.663611
1958255,0.736684,-0.104162,-0.070034,0.664486
1966588,0.735733,-0.103249,-0.070727,0.665608
1974921,0.734824,-0.103120,-0.071264,0.666574
1983254,0.733886,-0.102441,-0.071917,0.667641
1991587,0.733090,-0.101456,-0.072411,0.668613
1999920,0.732285,-0.100746,-0.072611,0.669580
2008252,0.731393,-0.100413,-0.073037,0.670557
2016586,0.730486,-0.100115,-0.072868,0.671609
2024919,0.729589,-0.099204,-0.073151,0.672687
2033252,0.728698,-0.098442,-0.073430,0.673733
2041585,0.727820,-0.097964,-0.073310,0.674764
2049918,0.726787,-0.097763,-0.073096,0.675929
2058250,0.725798,-0.096973,-0.073309,0.677082
2066584,0.724566,-0.096910,-0.072861,0.678457
2074917,0.723233,-0.096191,-0.073047,0.679960
2083250,0.721744,-0.096206,-0.072386,0.681608
2091583,0.719987,-0.095845,-0.072138,0.683541
2099916,0.718116,-0.095977,-0.071302,0.685576
2108249,0.716308,-0.095956,-0.070619,0.687538
2116582,0.714425,-0.095206,-0.070446,0.689616
2124915,0.712235,-0.095406,-0.069627,0.691933
2133248,0.710033,-0.095405,-0.068962,0.694258
2141581,0.707931,-0.094895,-0.068153,0.696552
2149914,0.705516,-0.095137,-0.067385,0.699039
2158247,0.703188,-0.095107,-0.066637,0.701456
2166580,0.700794,-0.095427,-0.065469,0.703914
2174913,0.698348,-0.095023,-0.064791,0.706458
2183246,0.695812,-0.095117,-0.063831,0.709031
2191579,0.693397,-0.095246,-0.063089,0.711441
2199912,0.690660,-0.095179,-0.062382,0.714170
2208245,0.688345,-0.095217,-0.061539,0.716469
2216578,0.685984,-0.095109,-0.060723,0.718814
2224911,0.683734,-0.095495,-0.060650,0.720909
2233244,0.681487,-0.096216,-0.060438,0.722956
2241577,0.679298,-0.097161,-0.060335,0.724896
2249910,0.677299,-0.098018,-0.059992,0.726677
2258243,0.675283,-0.098603,-0.060047,0.728467
