Timestamp (us),W,X,Y,Z
0,0.761025,-0.000241,0.033810,0.647841
8333,0.760978,-0.000148,0.033819,0.647896
16666,0.760960,-0.000020,0.033868,0.647914
24999,0.760978,0.000233,0.033924,0.647891
33332,0.760989,0.000308,0.033898,0.647879
41665,0.760960,0.000287,0.033837,0.647916
49998,0.760960,0.000304,0.033791,0.647918
58331,0.760921,0.000305,0.033751,0.647966
66664,0.760894,0.000242,0.033633,0.648004
74997,0.760916,0.000269,0.033617,0.647979
83330,0.760897,0.000240,0.033587,0.648002
91663,0.760895,0.000288,0.033602,0.648005
99996,0.760907,0.000406,0.033718,0.647985
108329,0.760910,0.000451,0.033718,0.647981
116662,0.760945,0.000445,0.033653,0.647943
124995,0.760949,0.000544,0.033718,0.647935
133328,0.760954,0.000598,0.033729,0.647928
141661,0.760977,0.000520,0.033650,0.647906
149994,0.760971,0.000515,0.033658,0.647912
158327,0.761019,0.000618,0.033747,0.647851
166660,0.761049,0.000491,0.033631,0.647822
174993,0.761073,0.000665,0.033712,0.647789
183326,0.761078,0.000661,0.033749,0.647782
191659,0.761122,0.000663,0.033786,0.647728
199992,0.761130,0.000566,0.033741,0.647721
208325,0.761106,0.000498,0.033674,0.647753
216658,0.761081,0.000421,0.033653,0.647783
224991,0.761067,0.000363,0.033615,0.647802
233324,0.761101,0.000363,0.033573,0.647764
241657,0.761064,0.000456,0.033612,0.647806
249990,0.761063,0.000392,0.033527,0.647811
258323,0.760983,0.000217,0.033419,0.647910
266656,0.760981,0.000183,0.033423,0.647912
274989,0.760971,0.000251,0.033409,0.647925
283322,0.760924,0.000225,0.033415,0.647980
291655,0.760922,0.000391,0.033485,0.647979
299988,0.760881,0.000470,0.033535,0.648024
308321,0.760887,0.000514,0.033541,0.648017
316654,0.760893,0.000787,0.033689,0.648002
324987,0.760871,0.000519,0.033451,0.648040
333320,0.760843,0.000438,0.033370,0.648077
341653,0.760824,0.000561,0.033422,0.648097
349986,0.760845,0.000794,0.033595,0.648063
358319,0.760854,0.000665,0.033452,0.648059
366652,0.760858,0.001081,0.033621,0.648046
374985,0.760862,0.001095,0.033624,0.648041
383318,0.760832,0.001134,0.033622,0.648076
391651,0.760841,0.001071,0.033539,0.648071
399984,0.760858,0.001190,0.033614,0.648046
408317,0.760860,0.001076,0.033519,0.648048
416650,0.760906,0.000979,0.033422,0.648000
424983,0.760900,0.000980,0.033428,0.648007
433316,0.760860,0.001070,0.033475,0.648051
441649,0.760904,0.001213,0.033563,0.647994
449982,0.760920,0.001314,0.033697,0.647969
458315,0.760926,0.001347,0.033747,0.647959
466648,0.760926,0.001304,0.033687,0.647962
474981,0.760930,0.001426,0.033809,0.647951
483314,0.760962,0.001601,0.033893,0.647909
491647,0.760964,0.001595,0.033909,0.647905
499980,0.760958,0.001686,0.033964,0.647909
508313,0.760980,0.001767,0.034003,0.647881
516646,0.760969,0.001742,0.034005,0.647894
524979,0.760984,0.001717,0.033917,0.647881
533312,0.761047,0.001680,0.033883,0.647809
541645,0.761085,0.001526,0.033829,0.647768
549978,0.761096,0.001498,0.033826,0.647755
558311,0.761125,0.001472,0.033864,0.647719
566644,0.761171,0.001455,0.033889,0.647664
574977,0.761182,0.001463,0.033987,0.647646
583310,0.761214,0.001281,0.033989,0.647608
591643,0.761244,0.001137,0.033904,0.647577
599976,0.761243,0.001135,0.033947,0.647576
608309,0.761259,0.001113,0.034004,0.647555
616642,0.761259,0.001152,0.034110,0.647549
624975,0.761255,0.001078,0.034129,0.647553
633308,0.761274,0.001179,0.034269,0.647523
641641,0.761305,0.001238,0.034425,0.647479
649974,0.761376,0.001151,0.034495,0.647391
658307,0.761428,0.001147,0.034582,0.647326
666640,0.761533,0.001199,0.034681,0.647196
674973,0.761589,0.001255,0.034827,0.647122
683306,0.761634,0.001245,0.034826,0.647070
691639,0.761736,0.001153,0.034798,0.646951
699972,0.761836,0.001091,0.034735,0.646837
708305,0.761938,0.000971,0.034629,0.646723
716638,0.762028,0.000847,0.034549,0.646621
724971,0.762103,0.000778,0.034604,0.646530
733304,0.762215,0.000645,0.034606,0.646398
741637,0.762287,0.000360,0.034489,0.646320
749970,0.762297,0.000073,0.034466,0.646309
758303,0.762258,-0.000227,0.034461,0.646355
766636,0.762202,-0.000540,0.034398,0.646425
774969,0.762106,-0.000707,0.034444,0.646535
783302,0.761982,-0.000924,0.034410,0.646683
791635,0.761885,-0.000993,0.034429,0.646796
799968,0.761761,-0.001164,0.034414,0.646942
808301,0.761700,-0.001318,0.034388,0.647015
816634,0.761626,-0.001488,0.034377,0.647102
824967,0.761664,-0.001463,0.034596,0.647047
833300,0.761643,-0.001922,0.034558,0.647072
841633,0.761688,-0.002295,0.034621,0.647014
849966,0.761599,-0.002838,0.034707,0.647113
858299,0.761570,-0.003327,0.034935,0.647132
866632,0.761606,-0.003587,0.035521,0.647057
874965,0.761762,-0.003866,0.036064,0.646841
883298,0.761895,-0.004776,0.036442,0.646656
891631,0.762189,-0.005368,0.037079,0.646270
899964,0.762426,-0.005680,0.038403,0.645909
908297,0.762763,-0.006683,0.039205,0.645454
916630,0.763129,-0.007547,0.040245,0.644947
924963,0.763592,-0.008638,0.041364,0.644315
933296,0.763941,-0.009191,0.043340,0.643763
941629,0.764378,-0.010476,0.044891,0.643118
949962,0.764925,-0.011784,0.046938,0.642298
958295,0.765523,-0.012678,0.049854,0.641349
