Timestamp (us),W,X,Y,Z
0,0.746021,-0.018252,-0.013689,0.665532
8333,0.746020,-0.018347,-0.013699,0.665530
16666,0.746031,-0.018343,-0.013631,0.665519
24999,0.746043,-0.018300,-0.013673,0.665505
33332,0.746040,-0.018266,-0.013695,0.665509
41665,0.746030,-0.018253,-0.013718,0.665520
49998,0.746056,-0.018171,-0.013791,0.665492
58331,0.746051,-0.018218,-0.013742,0.665497
66664,0.746060,-0.018324,-0.013674,0.665486
74997,0.746029,-0.018328,-0.013730,0.665519
83330,0.745994,-0.018326,-0.013721,0.665559
91663,0.746011,-0.018285,-0.013766,0.665540
99996,0.746045,-0.018261,-0.013662,0.665505
108329,0.746019,-0.018260,-0.013720,0.665533
116662,0.746038,-0.018260,-0.013728,0.665512
124995,0.746026,-0.018181,-0.013788,0.665526
133328,0.746028,-0.018244,-0.013712,0.665524
141661,0.746013,-0.018305,-0.013618,0.665540
149994,0.746043,-0.018291,-0.013705,0.665505
158327,0.746045,-0.018296,-0.013722,0.665502
166660,0.746016,-0.018292,-0.013769,0.665535
174993,0.746038,-0.018295,-0.013695,0.665511
183326,0.746059,-0.018288,-0.013701,0.665487
191659,0.746028,-0.018282,-0.013793,0.665520
199992,0.746032,-0.018333,-0.013783,0.665515
208325,0.746038,-0.018375,-0.013676,0.665509
216658,0.746016,-0.018326,-0.013702,0.665535
224991,0.746024,-0.018369,-0.013722,0.665524
233324,0.746020,-0.018376,-0.013713,0.665529
241657,0.746010,-0.018415,-0.013740,0.665538
249990,0.745997,-0.018381,-0.013805,0.665553
258323,0.746004,-0.018395,-0.013755,0.665545
266656,0.746037,-0.018435,-0.013688,0.665508
274989,0.745997,-0.018433,-0.013759,0.665552
283322,0.746009,-0.018458,-0.013681,0.665539
291655,0.746020,-0.018436,-0.013656,0.665528
299988,0.745986,-0.018442,-0.013654,0.665566
308321,0.746000,-0.018484,-0.013734,0.665548
316654,0.745975,-0.018474,-0.013808,0.665574
324987,0.745995,-0.018392,-0.013827,0.665554
333320,0.745984,-0.018411,-0.013801,0.665566
341653,0.746017,-0.018415,-0.013807,0.665529
349986,0.746021,-0.018404,-0.013839,0.665524
358319,0.746010,-0.018396,-0.013836,0.665536
366652,0.745979,-0.018490,-0.013756,0.665570
374985,0.746043,-0.018445,-0.013715,0.665500
383318,0.746066,-0.018458,-0.013736,0.665474
391651,0.746011,-0.018494,-0.013792,0.665534
399984,0.746014,-0.018535,-0.013880,0.665528
408317,0.746034,-0.018538,-0.013819,0.665507
416650,0.746041,-0.018478,-0.013794,0.665500
424983,0.746064,-0.018441,-0.013852,0.665475
433316,0.746051,-0.018467,-0.013866,0.665488
441649,0.746042,-0.018469,-0.013853,0.665499
449982,0.746015,-0.018478,-0.013878,0.665529
458315,0.746030,-0.018444,-0.013912,0.665511
466648,0.746018,-0.018479,-0.013920,0.665524
474981,0.746045,-0.018520,-0.013922,0.665492
483314,0.746034,-0.018500,-0.013913,0.665506
491647,0.746033,-0.018526,-0.013830,0.665508
499980,0.746047,-0.018505,-0.013854,0.665492
508313,0.746037,-0.018541,-0.013802,0.665503
516646,0.746007,-0.018487,-0.013828,0.665538
524979,0.746038,-0.018464,-0.013750,0.665506
533312,0.746074,-0.018433,-0.013801,0.665465
541645,0.746050,-0.018437,-0.013886,0.665490
549978,0.746016,-0.018448,-0.013848,0.665529
558311,0.746009,-0.018387,-0.013862,0.665538
566644,0.746033,-0.018444,-0.013895,0.665508
574977,0.746061,-0.018418,-0.013835,0.665479
583310,0.746071,-0.018470,-0.013794,0.665468
591643,0.746053,-0.018454,-0.013866,0.665486
599976,0.746050,-0.018424,-0.013905,0.665490
608309,0.746053,-0.018340,-0.013890,0.665490
616642,0.746037,-0.018362,-0.013720,0.665510
624975,0.746043,-0.018341,-0.013707,0.665504
633308,0.746029,-0.018309,-0.013687,0.665521
641641,0.746034,-0.018254,-0.013659,0.665517
649974,0.746031,-0.018156,-0.013650,0.665523
658307,0.745988,-0.018179,-0.013511,0.665575
