Timestamp (us),W,X,Y,Z
0,0.663953,0.044179,0.078078,0.742374
8333,0.663960,0.044193,0.077987,0.742376
16666,0.663954,0.044245,0.077930,0.742384
24999,0.663779,0.044940,0.078447,0.742445
33332,0.663750,0.044974,0.078371,0.742477
41665,0.663743,0.044879,0.078241,0.742502
49998,0.663761,0.044798,0.078091,0.742507
58331,0.663790,0.044797,0.078057,0.742484
66664,0.663807,0.044699,0.077928,0.742489
74997,0.663824,0.044637,0.077810,0.742490
83330,0.663814,0.044798,0.078002,0.742469
91663,0.663808,0.044952,0.078126,0.742451
99996,0.663834,0.045044,0.078176,0.742417
108329,0.663884,0.044991,0.078058,0.742389
116662,0.663929,0.044981,0.077996,0.742356
124995,0.663967,0.044986,0.077929,0.742328
133328,0.663974,0.045047,0.077939,0.742317
141661,0.664027,0.044988,0.077898,0.742277
149994,0.664067,0.045003,0.077928,0.742237
158327,0.664104,0.045031,0.077899,0.742206
166660,0.664113,0.045012,0.077937,0.742195
174993,0.664216,0.044696,0.077428,0.742176
183326,0.664209,0.044895,0.077685,0.742142
191659,0.664280,0.044803,0.077604,0.742093
199992,0.664292,0.044872,0.077764,0.742062
208325,0.664329,0.044836,0.077751,0.742032
216658,0.664550,0.044236,0.077149,0.741933
224991,0.664590,0.043929,0.076846,0.741947
233324,0.664526,0.043996,0.076887,0.741996
241657,0.664521,0.043999,0.076810,0.742008
249990,0.664478,0.043895,0.076704,0.742064
258323,0.664529,0.043769,0.076694,0.742026
266656,0.664543,0.043907,0.076892,0.741986
274989,0.664495,0.043888,0.076779,0.742041
283322,0.664459,0.044058,0.077011,0.742040
291655,0.664488,0.043861,0.076641,0.742064
299988,0.664425,0.044135,0.076897,0.742077
308321,0.664391,0.044222,0.076947,0.742097
316654,0.664351,0.043864,0.076336,0.742217
324987,0.664385,0.043554,0.076122,0.742227
333320,0.664320,0.043607,0.076221,0.742272
341653,0.664334,0.043667,0.076179,0.742260
349986,0.664327,0.043696,0.076065,0.742277
358319,0.664143,0.044265,0.076750,0.742337
366652,0.664191,0.044322,0.076435,0.742323
374985,0.664163,0.044591,0.076721,0.742303
383318,0.664084,0.044988,0.077120,0.742307
391651,0.664141,0.045070,0.077216,0.742242
399984,0.664234,0.044791,0.076813,0.742217
408317,0.664159,0.044948,0.077055,0.742250
416650,0.664144,0.044944,0.077088,0.742260
424983,0.664180,0.044997,0.077149,0.742218
433316,0.664228,0.044834,0.076895,0.742212
441649,0.664260,0.044768,0.076712,0.742206
449982,0.664302,0.044811,0.076743,0.742163
458315,0.664296,0.045037,0.076995,0.742129
466648,0.664261,0.045337,0.077335,0.742106
474981,0.664227,0.045467,0.077432,0.742118
483314,0.664264,0.045359,0.077161,0.742120
491647,0.664174,0.045596,0.077449,0.742156
499980,0.664222,0.045678,0.077472,0.742106
508313,0.664253,0.045522,0.077226,0.742113
516646,0.664254,0.045610,0.077359,0.742093
524979,0.664266,0.045607,0.077311,0.742087
533312,0.664148,0.045577,0.077297,0.742197
541645,0.664073,0.045595,0.077466,0.742245
549978,0.664089,0.045425,0.077307,0.742257
558311,0.664126,0.045310,0.077239,0.742239
566644,0.664080,0.045276,0.077242,0.742281
574977,0.664056,0.045252,0.077289,0.742300
583310,0.664085,0.044686,0.076881,0.742350
591643,0.664112,0.044548,0.076832,0.742339
599976,0.664213,0.044477,0.076786,0.742257
608309,0.664221,0.044450,0.076829,0.742248
616642,0.664258,0.044482,0.076902,0.742205
624975,0.664275,0.044568,0.077105,0.742164
633308,0.664172,0.045003,0.077586,0.742180
641641,0.664139,0.045100,0.077750,0.742186
649974,0.664064,0.045163,0.077987,0.742224
658307,0.664045,0.045250,0.078158,0.742218
666640,0.663975,0.045132,0.078042,0.742300
674973,0.663957,0.045084,0.078037,0.742320
683306,0.664031,0.044979,0.077926,0.742272
691639,0.664001,0.044957,0.077986,0.742293
699972,0.663980,0.044695,0.077714,0.742357
708305,0.663873,0.044226,0.077251,0.742528
716638,0.663920,0.043677,0.076718,0.742574
724971,0.664038,0.043149,0.076250,0.742548
733304,0.664017,0.042374,0.075546,0.742683
741637,0.663977,0.042254,0.075666,0.742714
749970,0.664289,0.040932,0.074512,0.742626
758303,0.664697,0.039462,0.073226,0.742468
766636,0.664981,0.038322,0.072283,0.742366
774969,0.665227,0.037195,0.071268,0.742301
783302,0.665737,0.035480,0.069586,0.742087
791635,0.665914,0.034807,0.068939,0.742021
799968,0.666113,0.034034,0.068279,0.741939
808301,0.666124,0.033250,0.067580,0.742029
816634,0.666132,0.032329,0.066760,0.742136
