Timestamp (us),W,X,Y,Z
0,0.717935,0.136496,0.004176,0.682584
8333,0.717763,0.136657,0.003942,0.682734
16666,0.717788,0.136950,0.003710,0.682651
24999,0.717813,0.137237,0.004612,0.682561
33332,0.717716,0.137085,0.004686,0.682693
41665,0.717664,0.137075,0.004487,0.682751
49998,0.717657,0.137020,0.004319,0.682771
58331,0.717652,0.136992,0.004297,0.682781
66664,0.717689,0.136803,0.004248,0.682781
74997,0.717707,0.136855,0.004045,0.682753
83330,0.717753,0.137038,0.004222,0.682666
91663,0.717761,0.136893,0.004582,0.682685
99996,0.717729,0.137054,0.004562,0.682686
108329,0.717791,0.137079,0.004383,0.682617
116662,0.717776,0.137039,0.004330,0.682642
124995,0.717830,0.137117,0.004208,0.682570
133328,0.717937,0.137210,0.004214,0.682438
141661,0.717950,0.137267,0.004063,0.682414
149994,0.717975,0.137290,0.004073,0.682383
158327,0.717981,0.137337,0.004021,0.682368
166660,0.717955,0.137388,0.003991,0.682385
174993,0.717943,0.136522,0.003905,0.682571
183326,0.718009,0.136894,0.004027,0.682427
191659,0.717992,0.136838,0.003888,0.682457
199992,0.718039,0.137207,0.003805,0.682334
208325,0.718091,0.137152,0.003801,0.682291
216658,0.718039,0.136602,0.003086,0.682459
224991,0.718093,0.136225,0.002848,0.682479
233324,0.718153,0.136007,0.003150,0.682457
241657,0.718133,0.135675,0.003344,0.682544
249990,0.718097,0.135924,0.002974,0.682534
258323,0.718143,0.136056,0.002742,0.682460
266656,0.718139,0.136488,0.002690,0.682378
274989,0.718104,0.136374,0.002674,0.682438
283322,0.718017,0.136816,0.002675,0.682441
291655,0.717888,0.136174,0.002646,0.682706
299988,0.717924,0.136382,0.002976,0.682624
308321,0.717870,0.136522,0.002985,0.682654
316654,0.717783,0.135641,0.002827,0.682921
324987,0.717692,0.135832,0.002190,0.682981
333320,0.717592,0.136339,0.001928,0.682986
341653,0.717518,0.136341,0.001920,0.683063
349986,0.717367,0.136283,0.001861,0.683234
358319,0.717554,0.137261,0.002297,0.682840
366652,0.717616,0.136614,0.002566,0.682904
374985,0.717575,0.137092,0.002677,0.682850
383318,0.717645,0.137510,0.003088,0.682691
391651,0.717584,0.137794,0.002983,0.682698
399984,0.717564,0.137356,0.002691,0.682809
408317,0.717623,0.137558,0.002924,0.682705
416650,0.717578,0.137633,0.002888,0.682738
424983,0.717611,0.137559,0.003037,0.682717
433316,0.717691,0.136972,0.003132,0.682750
441649,0.717803,0.136632,0.003188,0.682701
449982,0.717777,0.136652,0.003215,0.682724
458315,0.717772,0.136906,0.003434,0.682678
466648,0.717843,0.137542,0.003521,0.682475
474981,0.717904,0.137755,0.003576,0.682367
483314,0.717884,0.137551,0.003383,0.682430
491647,0.717950,0.137974,0.003557,0.682274
499980,0.717852,0.138024,0.003570,0.682367
508313,0.717774,0.137845,0.003330,0.682487
516646,0.717670,0.138037,0.003350,0.682557
524979,0.717652,0.138025,0.003306,0.682579
533312,0.717689,0.137520,0.003722,0.682640
541645,0.717735,0.138004,0.003546,0.682495
549978,0.717683,0.137930,0.003300,0.682565
558311,0.717628,0.137955,0.003096,0.682619
566644,0.717591,0.137823,0.003185,0.682685
574977,0.717621,0.137709,0.003313,0.682675
583310,0.717662,0.137379,0.002723,0.682701
591643,0.717663,0.137412,0.002525,0.682694
599976,0.717553,0.137110,0.002600,0.682870
608309,0.717620,0.137161,0.002586,0.682789
616642,0.717652,0.137107,0.002713,0.682766
624975,0.717673,0.137119,0.002956,0.682741
633308,0.717815,0.137168,0.003790,0.682577
641641,0.717840,0.137072,0.004113,0.682569
649974,0.717834,0.137256,0.004262,0.682537
658307,0.717828,0.137151,0.004580,0.682563
666640,0.717787,0.137043,0.004481,0.682628
674973,0.717753,0.136949,0.004510,0.682682
683306,0.717414,0.137086,0.004118,0.683013
691639,0.717179,0.137451,0.003829,0.683189
699972,0.716974,0.136935,0.003740,0.683508
708305,0.716645,0.136461,0.003277,0.683950
716638,0.715897,0.136584,0.002068,0.684713
724971,0.715110,0.137163,0.000534,0.685422
733304,0.714314,0.137912,-0.001508,0.686100
741637,0.713196,0.139639,-0.003090,0.686908
749970,0.712005,0.139874,-0.005822,0.688077
758303,0.710516,0.140106,-0.008909,0.689535
766636,0.708844,0.140800,-0.011777,0.691070
774969,0.706956,0.141426,-0.014686,0.692817
783302,0.704539,0.140663,-0.017820,0.695357
791635,0.702165,0.140265,-0.019269,0.697796
799968,0.699397,0.139904,-0.020946,0.700594
808301,0.696770,0.139467,-0.022492,0.703246
816634,0.693539,0.139302,-0.024633,0.706394
824967,0.690659,0.138252,-0.026799,0.709336
833300,0.687701,0.138299,-0.028519,0.712129
841633,0.685135,0.138766,-0.029906,0.714451
849966,0.682836,0.139805,-0.030217,0.716433
858299,0.680415,0.140029,-0.031588,0.718630
866632,0.678121,0.140712,-0.032573,0.720619
874965,0.675721,0.140813,-0.034264,0.722771
883298,0.673090,0.142494,-0.036566,0.724781
891631,0.670023,0.143811,-0.038278,0.727271
899964,0.667335,0.144839,-0.040081,0.729438
908297,0.664333,0.146470,-0.042852,0.731691
916630,0.661663,0.148764,-0.043943,0.733580
924963,0.658654,0.152158,-0.045393,0.735502
933296,0.655455,0.155591,-0.047141,0.737529
941629,0.652733,0.159317,-0.048833,0.739035
949962,0.649789,0.164736,-0.050436,0.740332
958295,0.646632,0.171331,-0.052139,0.741481
966628,0.643493,0.179972,-0.053692,0.742054
974961,0.639916,0.188631,-0.055356,0.742874
983294,0.636860,0.198107,-0.056348,0.742959
991627,0.635040,0.209227,-0.054209,0.741626
999960,0.632782,0.220137,-0.052199,0.740541
1008293,0.630820,0.230696,-0.048857,0.739229
1016626,0.629218,0.241282,-0.044064,0.737513
1024959,0.628331,0.250188,-0.038834,0.735594
1033292,0.627930,0.258168,-0.031855,0.733511
1041625,0.627733,0.264274,-0.025166,0.731763
1049958,0.627301,0.268948,-0.019784,0.730595
1058291,0.626639,0.272291,-0.013666,0.730064
1066624,0.626530,0.272944,-0.008057,0.729998
1074957,0.626599,0.272457,-0.003706,0.730155
1083290,0.626646,0.270316,0.000305,0.730920
1091623,0.626436,0.266223,0.003314,0.732592
1099956,0.626846,0.261985,0.005904,0.733753
1108289,0.626465,0.256022,0.007728,0.736162
1116622,0.625828,0.249067,0.010255,0.739053
1124955,0.624678,0.240834,0.012493,0.742711
1133288,0.624998,0.231375,0.016869,0.745358
1141621,0.623933,0.220770,0.021045,0.749350
1149954,0.622823,0.209241,0.024887,0.753452
1158287,0.621887,0.196924,0.029436,0.757371
1166620,0.620953,0.184464,0.034291,0.761062
1174953,0.620324,0.170351,0.040977,0.764526
1183286,0.619928,0.155350,0.048728,0.767582
1191619,0.619831,0.139906,0.056986,0.770057
1199952,0.619354,0.123904,0.065593,0.772493
1208285,0.619381,0.107844,0.076148,0.773911
1216618,0.618139,0.090543,0.085990,0.776088
1224951,0.616353,0.071582,0.095507,0.778372
