Timestamp (us),W,X,Y,Z
0,0.664735,0.165299,0.034663,0.727738
8333,0.664568,0.165361,0.034390,0.727889
16666,0.664535,0.165669,0.034149,0.727861
24999,0.664618,0.165788,0.034934,0.727721
33332,0.664499,0.165627,0.035123,0.727856
41665,0.664433,0.165601,0.034963,0.727930
49998,0.664447,0.165528,0.034757,0.727944
58331,0.664439,0.165484,0.034711,0.727963
66664,0.664556,0.165098,0.034505,0.727954
74997,0.664574,0.165142,0.034283,0.727939
83330,0.664579,0.165396,0.034516,0.727865
91663,0.664599,0.165250,0.034906,0.727862
99996,0.664548,0.165487,0.034908,0.727854
108329,0.664658,0.165338,0.034573,0.727804
116662,0.664638,0.165248,0.034550,0.727843
124995,0.664682,0.165364,0.034453,0.727781
133328,0.664836,0.165417,0.034333,0.727635
141661,0.664845,0.165463,0.034218,0.727621
149994,0.664895,0.165394,0.034184,0.727593
158327,0.664894,0.165492,0.034114,0.727574
166660,0.664838,0.165547,0.034148,0.727611
174993,0.664836,0.164793,0.034125,0.727785
183326,0.664914,0.165078,0.034165,0.727648
191659,0.664880,0.165028,0.034052,0.727695
199992,0.664960,0.165352,0.033882,0.727557
208325,0.665005,0.165243,0.033889,0.727540
216658,0.664924,0.164837,0.033295,0.727734
224991,0.665002,0.164420,0.033048,0.727768
233324,0.665136,0.164070,0.033248,0.727716
241657,0.665083,0.163772,0.033561,0.727816
249990,0.664936,0.164049,0.033288,0.727901
258323,0.665025,0.164123,0.032972,0.727817
266656,0.665057,0.164522,0.032831,0.727704
274989,0.665029,0.164388,0.032813,0.727761
283322,0.664925,0.164789,0.032766,0.727768
291655,0.664793,0.164208,0.032832,0.728017
299988,0.664898,0.164333,0.033014,0.727884
308321,0.664814,0.164537,0.033054,0.727913
316654,0.664751,0.163696,0.032925,0.728166
324987,0.664645,0.163887,0.032249,0.728250
333320,0.664525,0.164302,0.031940,0.728280
341653,0.664446,0.164311,0.031926,0.728350
349986,0.664261,0.164282,0.031935,0.728525
358319,0.664477,0.165172,0.032204,0.728115
