Timestamp (us),W,X,Y,Z
0,0.679919,-0.200381,0.331392,0.622685
8333,0.680230,-0.199608,0.330593,0.623018
16666,0.680128,-0.199696,0.330662,0.623065
24999,0.679895,-0.199406,0.331367,0.623038
33332,0.679647,-0.200355,0.332149,0.622587
41665,0.679744,-0.200428,0.332039,0.622517
49998,0.679699,-0.200605,0.331850,0.622610
58331,0.679771,-0.200444,0.331659,0.622685
66664,0.680151,-0.200024,0.330986,0.622763
74997,0.679979,-0.200558,0.331161,0.622686
83330,0.679625,-0.201090,0.331917,0.622498
91663,0.679751,-0.200735,0.331981,0.622441
99996,0.679623,-0.200705,0.332068,0.622544
108329,0.680078,-0.199956,0.331253,0.622722
116662,0.679902,-0.200650,0.331730,0.622437
124995,0.679785,-0.201070,0.332061,0.622253
133328,0.680135,-0.200174,0.331424,0.622499
141661,0.680008,-0.200751,0.331807,0.622248
149994,0.680032,-0.200888,0.331888,0.622134
158327,0.680184,-0.200235,0.331336,0.622473
166660,0.679935,-0.200971,0.331980,0.622164
174993,0.680365,-0.200467,0.330865,0.622451
183326,0.680282,-0.200390,0.331172,0.622403
191659,0.679911,-0.201494,0.331768,0.622134
199992,0.679957,-0.201238,0.331724,0.622190
208325,0.679933,-0.201616,0.332044,0.621923
216658,0.680066,-0.202207,0.331515,0.621868
224991,0.680257,-0.202491,0.331221,0.621724
233324,0.680790,-0.201288,0.330355,0.621992
241657,0.680697,-0.201675,0.330733,0.621767
249990,0.680422,-0.202665,0.331418,0.621382
258323,0.680340,-0.202927,0.331393,0.621399
266656,0.680147,-0.203125,0.331707,0.621378
274989,0.680142,-0.203158,0.331554,0.621454
283322,0.679953,-0.203100,0.331722,0.621591
291655,0.680285,-0.202688,0.330994,0.621749
299988,0.680452,-0.201649,0.330510,0.622162
308321,0.680052,-0.202232,0.330995,0.622153
316654,0.680575,-0.201536,0.329579,0.622558
324987,0.680549,-0.201693,0.329105,0.622787
333320,0.680191,-0.202374,0.329584,0.622704
341653,0.680112,-0.202382,0.329470,0.622847
349986,0.680172,-0.202106,0.329176,0.623027
358319,0.679899,-0.201716,0.329996,0.623017
366652,0.680288,-0.201120,0.329454,0.623072
374985,0.680267,-0.200744,0.329629,0.623124
383318,0.680296,-0.200204,0.329908,0.623118
391651,0.680040,-0.200416,0.329981,0.623291
399984,0.680202,-0.200623,0.329696,0.623199
408317,0.680157,-0.200303,0.329706,0.623344
416650,0.680036,-0.200654,0.329933,0.623244
424983,0.680114,-0.200522,0.329982,0.623176
433316,0.680554,-0.200097,0.329533,0.623069
441649,0.680561,-0.200052,0.329446,0.623122
449982,0.680542,-0.200175,0.329494,0.623078
458315,0.680552,-0.199924,0.329689,0.623045
466648,0.680260,-0.200148,0.330439,0.622895
474981,0.680147,-0.200082,0.330512,0.623000
483314,0.680287,-0.200119,0.330272,0.622963
491647,0.680293,-0.199647,0.330454,0.623010
499980,0.680246,-0.199403,0.330164,0.623294
508313,0.680357,-0.199339,0.329827,0.623371
516646,0.680338,-0.199275,0.329984,0.623330
524979,0.680274,-0.199286,0.329895,0.623443
533312,0.680480,-0.199210,0.330314,0.623021
541645,0.680319,-0.199250,0.330266,0.623209
549978,0.679885,-0.200461,0.330940,0.622937
558311,0.679899,-0.200426,0.330573,0.623128
566644,0.679712,-0.200876,0.330944,0.622990
574977,0.680064,-0.200087,0.330353,0.623174
583310,0.680068,-0.200797,0.330310,0.622963
591643,0.679801,-0.201674,0.330654,0.622789
599976,0.679942,-0.201606,0.330384,0.622800
608309,0.679982,-0.201569,0.330535,0.622688
616642,0.679951,-0.201592,0.330597,0.622682
624975,0.680040,-0.201016,0.330626,0.622756
633308,0.680032,-0.200345,0.331016,0.622774
641641,0.680168,-0.199908,0.331128,0.622706
649974,0.680133,-0.199603,0.331407,0.622694
658307,0.680167,-0.199209,0.331218,0.622883
666640,0.679667,-0.200458,0.331817,0.622710
674973,0.679722,-0.200422,0.331443,0.622860
683306,0.679133,-0.201896,0.331645,0.622918
691639,0.678633,-0.202555,0.332092,0.623012
699972,0.679366,-0.201122,0.330123,0.623723
708305,0.679877,-0.200462,0.328755,0.624101
716638,0.679556,-0.201631,0.327961,0.624492
724971,0.679355,-0.202306,0.326913,0.625042
733304,0.678893,-0.203963,0.326151,0.625403
741637,0.677713,-0.205820,0.326497,0.625894
749970,0.677468,-0.207159,0.324338,0.626839
758303,0.676930,-0.210075,0.322802,0.627243
766636,0.676135,-0.212821,0.321672,0.627755
774969,0.675474,-0.215312,0.320500,0.628216
783302,0.675399,-0.217137,0.317460,0.629211
791635,0.675216,-0.217331,0.315434,0.630359
799968,0.674733,-0.219135,0.314460,0.630738
808301,0.673922,-0.220972,0.312881,0.631748
816634,0.672718,-0.223644,0.311288,0.632877
