Timestamp (us),W,X,Y,Z
0,0.687851,-0.143055,0.294548,0.647795
8333,0.688044,-0.142558,0.293913,0.647987
16666,0.687946,-0.142590,0.294018,0.648037
24999,0.687948,-0.141869,0.294526,0.647962
33332,0.687738,-0.142355,0.294858,0.647927
41665,0.687741,-0.142445,0.294704,0.647975
49998,0.687755,-0.142573,0.294609,0.647975
58331,0.687828,-0.142475,0.294469,0.647982
66664,0.688109,-0.142455,0.294318,0.647757
74997,0.687947,-0.142894,0.294604,0.647702
83330,0.687660,-0.143107,0.295148,0.647712
91663,0.687773,-0.142824,0.295087,0.647683
99996,0.687682,-0.142716,0.295072,0.647811
108329,0.688024,-0.142432,0.294774,0.647645
116662,0.687840,-0.142964,0.295212,0.647523
124995,0.687742,-0.143201,0.295432,0.647475
133328,0.687999,-0.142806,0.295250,0.647373
141661,0.687893,-0.143100,0.295467,0.647321
149994,0.687936,-0.143115,0.295563,0.647228
158327,0.688108,-0.142638,0.295076,0.647373
166660,0.687883,-0.143058,0.295489,0.647331
174993,0.688190,-0.143171,0.294594,0.647388
183326,0.688167,-0.142977,0.294979,0.647280
191659,0.687806,-0.143842,0.295596,0.647190
199992,0.687865,-0.143520,0.295626,0.647185
208325,0.687855,-0.143752,0.295860,0.647038
216658,0.687766,-0.144778,0.295555,0.647043
224991,0.687844,-0.145320,0.295538,0.646846
233324,0.688416,-0.144383,0.294796,0.646786
241657,0.688380,-0.144620,0.294864,0.646740
249990,0.688097,-0.145151,0.295227,0.646757
258323,0.688062,-0.145340,0.295381,0.646681
266656,0.687891,-0.145311,0.295738,0.646707
274989,0.687913,-0.145324,0.295589,0.646749
283322,0.687747,-0.145132,0.295782,0.646879
291655,0.687921,-0.145249,0.295133,0.646965
299988,0.688145,-0.144461,0.294944,0.646989
308321,0.687829,-0.144766,0.295308,0.647092
316654,0.688117,-0.145014,0.294429,0.647130
324987,0.687988,-0.145419,0.294348,0.647213
333320,0.687695,-0.145597,0.294719,0.647316
341653,0.687634,-0.145566,0.294611,0.647437
349986,0.687634,-0.145424,0.294239,0.647638
358319,0.687530,-0.144693,0.295083,0.647527
366652,0.687875,-0.144430,0.294461,0.647503
374985,0.687875,-0.143894,0.294519,0.647597
383318,0.687933,-0.143361,0.294918,0.647472
391651,0.687864,-0.143102,0.294782,0.647664
399984,0.687932,-0.143448,0.294358,0.647708
408317,0.687931,-0.143229,0.294621,0.647638
416650,0.687894,-0.143281,0.294715,0.647623
424983,0.687993,-0.143089,0.294623,0.647602
433316,0.688306,-0.143093,0.294200,0.647461
441649,0.688231,-0.143507,0.294328,0.647390
449982,0.688248,-0.143450,0.294310,0.647393
458315,0.688288,-0.143046,0.294408,0.647396
466648,0.688076,-0.142897,0.295033,0.647370
474981,0.687990,-0.142923,0.295368,0.647302
483314,0.688053,-0.143073,0.295105,0.647323
491647,0.688059,-0.142670,0.295375,0.647282
499980,0.688012,-0.142538,0.295218,0.647433
508313,0.688075,-0.142544,0.294741,0.647581
516646,0.688038,-0.142334,0.294696,0.647687
524979,0.687979,-0.142367,0.294626,0.647774
533312,0.688019,-0.142595,0.294775,0.647615
541645,0.688030,-0.142273,0.294809,0.647658
549978,0.687579,-0.143305,0.295428,0.647628
558311,0.687635,-0.143217,0.295138,0.647720
566644,0.687506,-0.143419,0.295236,0.647767
574977,0.687817,-0.142902,0.294782,0.647758
583310,0.687682,-0.143794,0.294746,0.647720
591643,0.687416,-0.144488,0.295256,0.647616
599976,0.687462,-0.144622,0.295097,0.647609
608309,0.687445,-0.144665,0.295222,0.647561
616642,0.687473,-0.144639,0.295302,0.647501
624975,0.687548,-0.144133,0.295023,0.647661
633308,0.687724,-0.143310,0.295162,0.647593
641641,0.687821,-0.142935,0.294997,0.647649
649974,0.687849,-0.142522,0.294929,0.647741
658307,0.687921,-0.142150,0.294710,0.647846
666640,0.687530,-0.143137,0.295444,0.647710
674973,0.687507,-0.143306,0.295502,0.647670
683306,0.686900,-0.144632,0.296380,0.647617
691639,0.686484,-0.144866,0.296496,0.647953
699972,0.686998,-0.144294,0.295217,0.648121
708305,0.687266,-0.144285,0.294116,0.648339
716638,0.686534,-0.145890,0.294143,0.648742
724971,0.685921,-0.146951,0.293787,0.649312
733304,0.684997,-0.148871,0.293927,0.649787
741637,0.683589,-0.150152,0.294627,0.650657
749970,0.682543,-0.152812,0.293990,0.651424
758303,0.680507,-0.157884,0.295064,0.651859
766636,0.678025,-0.163111,0.296738,0.652398
774969,0.675316,-0.169024,0.298810,0.652757
783302,0.672487,-0.175879,0.299540,0.653531
791635,0.669832,-0.181001,0.300562,0.654390
799968,0.666104,-0.188219,0.302868,0.655095
808301,0.662467,-0.195456,0.305229,0.655569
816634,0.657902,-0.203584,0.307292,0.656727
824967,0.653530,-0.212169,0.309036,0.657556
833300,0.648886,-0.219253,0.310767,0.659014
841633,0.643699,-0.227285,0.314381,0.659665
849966,0.637302,-0.236570,0.320669,0.659584
858299,0.631051,-0.246941,0.326146,0.659109
866632,0.624243,-0.257056,0.332044,0.658779
874965,0.617116,-0.268634,0.337978,0.657856
883298,0.609606,-0.279449,0.343759,0.657358
891631,0.601364,-0.290276,0.349118,0.657433
899964,0.593947,-0.300024,0.353537,0.657438
908297,0.585911,-0.310663,0.357999,0.657292
916630,0.578396,-0.318876,0.362648,0.657467
924963,0.569592,-0.328070,0.368179,0.657556
933296,0.561665,-0.335174,0.371414,0.658971
941629,0.555201,-0.340261,0.373834,0.660471
949962,0.548612,-0.344192,0.376429,0.662464
958295,0.543132,-0.345411,0.377413,0.665776
966628,0.537736,-0.344198,0.378036,0.670415
974961,0.531459,-0.343627,0.378472,0.675449
983294,0.524480,-0.343835,0.381083,0.679319
991627,0.516162,-0.342246,0.386986,0.683144
999960,0.507568,-0.341252,0.392492,0.686929
1008293,0.498986,-0.338833,0.397852,0.691316
1016626,0.490199,-0.334802,0.403377,0.696347
1024959,0.480156,-0.334404,0.411340,0.698873
1033292,0.472167,-0.330400,0.418024,0.702246
1041625,0.464085,-0.328227,0.424699,0.704644
1049958,0.454284,-0.331254,0.432646,0.704779
1058291,0.446758,-0.331742,0.438417,0.705794
1066624,0.440174,-0.334001,0.443899,0.705439
1074957,0.434332,-0.337600,0.448847,0.704214
1083290,0.427509,-0.344714,0.454733,0.701161
1091623,0.422680,-0.351757,0.458471,0.698150
1099956,0.417454,-0.359746,0.463094,0.694160
1108289,0.414202,-0.367464,0.465221,0.690635
1116622,0.410076,-0.376869,0.468078,0.686083
1124955,0.405707,-0.387818,0.470432,0.680950
1133288,0.400754,-0.398391,0.475030,0.674557
1141621,0.396117,-0.409977,0.478034,0.668202
1149954,0.393258,-0.419683,0.479228,0.662989
1158287,0.388426,-0.431474,0.482052,0.656187
1166620,0.384469,-0.442492,0.484662,0.649221
1174953,0.379431,-0.454765,0.488905,0.640464
1183286,0.374593,-0.465891,0.493168,0.631990
1191619,0.369979,-0.476793,0.497909,0.622793
1199952,0.364786,-0.487892,0.502517,0.613489
1208285,0.359686,-0.497635,0.508344,0.603798
1216618,0.354213,-0.508811,0.512759,0.593904
1224951,0.349619,-0.520305,0.515976,0.583796
1233284,0.343432,-0.533160,0.519233,0.572881
1241617,0.339956,-0.545931,0.519349,0.562731
1249950,0.335664,-0.560643,0.519271,0.550787
1258283,0.333649,-0.572460,0.518558,0.540431
1266616,0.333147,-0.582581,0.516620,0.531711
1274949,0.333893,-0.591844,0.516105,0.521414
1283282,0.335891,-0.601364,0.514570,0.510642
1291615,0.338850,-0.610478,0.513358,0.498960
1299948,0.342358,-0.620692,0.509136,0.488173
1308281,0.346506,-0.628718,0.505450,0.478716
1316614,0.349755,-0.638740,0.499347,0.469399
