Timestamp (us),W,X,Y,Z
0,0.710799,0.250907,0.107822,0.648216
8333,0.710700,0.250956,0.107591,0.648345
16666,0.710766,0.251304,0.107382,0.648173
24999,0.710975,0.251262,0.107958,0.647864
33332,0.710961,0.250990,0.107965,0.647983
41665,0.710987,0.250891,0.107748,0.648029
49998,0.710917,0.250894,0.107634,0.648123
58331,0.710928,0.250906,0.107641,0.648106
66664,0.711190,0.250624,0.107244,0.647993
74997,0.711236,0.250650,0.106992,0.647974
83330,0.711256,0.250795,0.107223,0.647858
91663,0.711294,0.250567,0.107573,0.647846
99996,0.711134,0.250827,0.107681,0.647904
108329,0.711361,0.250829,0.107253,0.647725
116662,0.711478,0.250622,0.107015,0.647715
124995,0.711477,0.250716,0.106944,0.647692
133328,0.711519,0.250899,0.106938,0.647576
141661,0.711568,0.250848,0.106689,0.647583
149994,0.711693,0.250778,0.106508,0.647502
158327,0.711615,0.250931,0.106648,0.647506
166660,0.711618,0.250930,0.106556,0.647518
174993,0.711660,0.250222,0.106731,0.647717
183326,0.711730,0.250561,0.106690,0.647515
191659,0.711764,0.250495,0.106462,0.647541
199992,0.711727,0.250823,0.106353,0.647473
208325,0.711875,0.250694,0.106220,0.647382
216658,0.711749,0.250337,0.105704,0.647743
224991,0.711889,0.249957,0.105385,0.647788
233324,0.712109,0.249618,0.105597,0.647643
241657,0.712181,0.249247,0.105801,0.647673
249990,0.712174,0.249554,0.105544,0.647604
258323,0.712189,0.249671,0.105177,0.647603
266656,0.712062,0.250052,0.105022,0.647620
274989,0.712081,0.249905,0.105019,0.647657
283322,0.711967,0.250313,0.104956,0.647635
291655,0.711906,0.249684,0.105071,0.647925
299988,0.711913,0.249864,0.105264,0.647817
308321,0.711795,0.250053,0.105306,0.647867
316654,0.711825,0.249281,0.105324,0.648129
324987,0.711638,0.249593,0.104720,0.648311
333320,0.711590,0.249950,0.104266,0.648301
341653,0.711518,0.249957,0.104266,0.648376
349986,0.711394,0.249883,0.104325,0.648532
358319,0.711451,0.250799,0.104562,0.648077
366652,0.711542,0.250158,0.105012,0.648152
374985,0.711444,0.250612,0.105037,0.648081
383318,0.711562,0.250927,0.105180,0.647806
391651,0.711475,0.251179,0.105083,0.647819
399984,0.711444,0.250827,0.105011,0.648002
408317,0.711428,0.251088,0.105174,0.647892
416650,0.711440,0.251063,0.104997,0.647916
424983,0.711500,0.250965,0.105138,0.647866
433316,0.711736,0.250358,0.105248,0.647824
441649,0.711690,0.250260,0.105579,0.647859
449982,0.711742,0.250166,0.105519,0.647847
458315,0.711791,0.250305,0.105589,0.647728
466648,0.711711,0.250959,0.105604,0.647561
474981,0.711724,0.251275,0.105633,0.647420
483314,0.711751,0.251002,0.105483,0.647520
491647,0.711761,0.251485,0.105608,0.647301
499980,0.711678,0.251539,0.105653,0.647363
508313,0.711569,0.251352,0.105583,0.647567
516646,0.711569,0.251393,0.105508,0.647564
524979,0.711428,0.251471,0.105589,0.647675
533312,0.711543,0.250859,0.106064,0.647709
541645,0.711563,0.251386,0.105786,0.647528
549978,0.711551,0.251367,0.105610,0.647577
558311,0.711460,0.251355,0.105436,0.647710
566644,0.711431,0.251228,0.105581,0.647767
574977,0.711350,0.251162,0.105760,0.647853
583310,0.711223,0.251056,0.105376,0.648096
591643,0.711188,0.251122,0.105096,0.648155
599976,0.711267,0.250719,0.105099,0.648223
608309,0.711288,0.250779,0.105092,0.648178
616642,0.711350,0.250700,0.105141,0.648133
624975,0.711092,0.250772,0.105708,0.648296
633308,0.711135,0.250848,0.106538,0.648084
641641,0.711101,0.250816,0.107022,0.648053
649974,0.711120,0.250988,0.107222,0.647933
658307,0.711051,0.250877,0.107668,0.647977
666640,0.711132,0.250842,0.107368,0.647952
674973,0.711137,0.250661,0.107319,0.648025
683306,0.710505,0.250855,0.106669,0.648750
691639,0.710435,0.251143,0.106442,0.648752
699972,0.710432,0.250484,0.106310,0.649032
708305,0.710258,0.249863,0.105848,0.649537
716638,0.709890,0.249465,0.104350,0.650334
724971,0.709415,0.249599,0.102666,0.651069
733304,0.708881,0.249870,0.100437,0.651893
741637,0.708141,0.250814,0.098550,0.652623
749970,0.707535,0.250622,0.095822,0.653758
758303,0.706931,0.249605,0.092279,0.655310
766636,0.706331,0.248780,0.088877,0.656739
774969,0.705751,0.247677,0.085381,0.658241
783302,0.704310,0.245012,0.082272,0.661171
791635,0.702754,0.242693,0.081119,0.663820
799968,0.700672,0.239788,0.079638,0.667247
808301,0.698326,0.237328,0.078643,0.670695
816634,0.695126,0.235192,0.077346,0.674909
824967,0.692294,0.232654,0.076141,0.678826
833300,0.689438,0.231400,0.075596,0.682213
841633,0.686792,0.230701,0.074806,0.685199
849966,0.684360,0.230477,0.074643,0.687721
858299,0.682062,0.229405,0.073458,0.690484
866632,0.679694,0.229184,0.072611,0.692978
874965,0.677528,0.228472,0.070696,0.695527
883298,0.674996,0.229148,0.068008,0.698030
891631,0.672079,0.229564,0.066942,0.700806
899964,0.669365,0.230032,0.065545,0.703377
908297,0.666369,0.231136,0.063033,0.706085
916630,0.663436,0.232953,0.062004,0.708337
924963,0.660533,0.235599,0.060506,0.710301
933296,0.656885,0.238762,0.059835,0.712681
941629,0.653733,0.242397,0.058867,0.714431
949962,0.650264,0.247464,0.057593,0.715961
958295,0.646367,0.253708,0.056576,0.717385
966628,0.641773,0.262210,0.056466,0.718460
974961,0.636232,0.270924,0.056917,0.720118
983294,0.631797,0.279991,0.056544,0.720584
991627,0.628605,0.290909,0.058729,0.718873
999960,0.624635,0.301331,0.060929,0.717857
1008293,0.621056,0.311791,0.064779,0.716156
1016626,0.617273,0.322378,0.071280,0.714119
1024959,0.614377,0.331206,0.077469,0.711929
1033292,0.612536,0.339243,0.084418,0.708934
1041625,0.611332,0.345338,0.091694,0.706121
1049958,0.609695,0.350028,0.097317,0.704473
1058291,0.608446,0.352882,0.104197,0.703144
1066624,0.608299,0.353512,0.109950,0.702077
1074957,0.607352,0.353250,0.114523,0.702298
1083290,0.608356,0.350798,0.118521,0.701995
1091623,0.609269,0.346462,0.121239,0.702891
1099956,0.610479,0.342238,0.123392,0.703536
1108289,0.610998,0.336104,0.125349,0.705693
1116622,0.611892,0.328831,0.127745,0.707912
1124955,0.612442,0.320044,0.129806,0.711081
1133288,0.614146,0.310504,0.133870,0.713085
1141621,0.614680,0.299487,0.137892,0.716563
1149954,0.615318,0.287853,0.141889,0.719995
1158287,0.616398,0.275383,0.146388,0.723041
1166620,0.617925,0.262601,0.150836,0.725574
1174953,0.619238,0.248023,0.156864,0.728301
1183286,0.620836,0.232759,0.164520,0.730287
