Timestamp (us),W,X,Y,Z
0,0.665191,0.062760,0.459062,0.585529
8333,0.664886,0.062523,0.459085,0.585882
16666,0.664484,0.062345,0.459617,0.585941
24999,0.664344,0.062701,0.459732,0.585972
33332,0.664483,0.062711,0.459284,0.586164
41665,0.664205,0.062343,0.459306,0.586501
49998,0.664362,0.062347,0.459257,0.586360
58331,0.664396,0.062308,0.459328,0.586271
66664,0.663956,0.061285,0.460123,0.586254
74997,0.663540,0.060734,0.460675,0.586349
83330,0.663480,0.061008,0.460731,0.586344
91663,0.663742,0.061290,0.460370,0.586302
99996,0.663774,0.061622,0.460258,0.586318
108329,0.663297,0.060800,0.461146,0.586246
116662,0.662900,0.060161,0.461544,0.586448
124995,0.662931,0.060248,0.461519,0.586424
133328,0.662622,0.059885,0.462306,0.586191
141661,0.662716,0.059984,0.461931,0.586370
149994,0.662628,0.059864,0.461943,0.586471
158327,0.662778,0.060197,0.461783,0.586395
166660,0.662763,0.060215,0.461683,0.586488
174993,0.663197,0.059799,0.461316,0.586328
183326,0.662882,0.059769,0.461919,0.586213
191659,0.662545,0.059201,0.462405,0.586268
199992,0.662444,0.059441,0.462465,0.586311
208325,0.662408,0.059224,0.462566,0.586294
216658,0.662335,0.058331,0.462648,0.586402
224991,0.662295,0.057591,0.462956,0.586276
233324,0.662512,0.057639,0.462736,0.586201
241657,0.662739,0.057605,0.462461,0.586164
249990,0.662654,0.057616,0.462576,0.586168
258323,0.662531,0.057461,0.462718,0.586211
266656,0.662329,0.057693,0.462743,0.586396
274989,0.662251,0.057493,0.462780,0.586475
283322,0.661985,0.057738,0.462922,0.586639
291655,0.662163,0.057244,0.462645,0.586705
299988,0.662008,0.057388,0.462943,0.586631
308321,0.661934,0.057579,0.462934,0.586703
316654,0.661643,0.056226,0.463534,0.586688
324987,0.661273,0.055763,0.464032,0.586756
333320,0.661104,0.056043,0.463775,0.587122
341653,0.661197,0.056239,0.463494,0.587222
349986,0.661125,0.056202,0.463323,0.587441
358319,0.660518,0.056701,0.464292,0.587311
366652,0.661186,0.056873,0.463519,0.587153
374985,0.661317,0.057613,0.463185,0.587197
383318,0.660982,0.057680,0.463802,0.587081
391651,0.661197,0.058375,0.463109,0.587316
399984,0.661461,0.058215,0.462647,0.587400
408317,0.661297,0.058225,0.463240,0.587115
416650,0.661401,0.058355,0.462918,0.587240
424983,0.661730,0.058724,0.462463,0.587190
433316,0.661870,0.058230,0.462427,0.587110
441649,0.661665,0.057692,0.463242,0.586752
449982,0.661862,0.057895,0.462845,0.586822
458315,0.661908,0.058298,0.462618,0.586910
466648,0.661733,0.058836,0.462816,0.586898
474981,0.661322,0.058531,0.463765,0.586643
483314,0.661375,0.058339,0.463452,0.586848
491647,0.661233,0.058666,0.463926,0.586601
499980,0.661025,0.058548,0.464098,0.586712
508313,0.661248,0.058653,0.463478,0.586941
516646,0.661176,0.058839,0.463172,0.587244
524979,0.661263,0.059004,0.463028,0.587243
533312,0.661401,0.058714,0.462957,0.587173
541645,0.661282,0.059061,0.463066,0.587186
549978,0.660704,0.058214,0.463946,0.587227
558311,0.660811,0.058294,0.463634,0.587345
566644,0.661162,0.058661,0.463093,0.587340
574977,0.661573,0.059027,0.462638,0.587199
583310,0.661770,0.058782,0.462411,0.587180
591643,0.661555,0.058358,0.462859,0.587112
599976,0.661382,0.057770,0.463071,0.587198
608309,0.661338,0.057797,0.463101,0.587222
616642,0.661347,0.057721,0.463214,0.587129
624975,0.662038,0.058850,0.462136,0.587089
633308,0.662651,0.059946,0.461633,0.586681
641641,0.663161,0.060671,0.460968,0.586554
649974,0.663166,0.061059,0.460823,0.586622
658307,0.663361,0.061369,0.460512,0.586613
666640,0.662919,0.060531,0.461481,0.586439
674973,0.662423,0.059713,0.462165,0.586544
683306,0.661856,0.058532,0.463234,0.586460
691639,0.661242,0.058276,0.463573,0.586909
699972,0.660959,0.057243,0.463718,0.587215
708305,0.660764,0.056255,0.463476,0.587721
716638,0.657707,0.052200,0.466241,0.589335
724971,0.654962,0.048944,0.468500,0.590878
733304,0.651157,0.044504,0.471884,0.592739
741637,0.646860,0.040724,0.475306,0.594977
749970,0.642266,0.034259,0.479817,0.596739
758303,0.633435,0.022206,0.488820,0.599434
766636,0.622325,0.008064,0.500063,0.602149
774969,0.608642,-0.009408,0.514261,0.604154
783302,0.593767,-0.029472,0.527996,0.606459
791635,0.578640,-0.048603,0.542121,0.607387
799968,0.559970,-0.071139,0.557578,0.608670
808301,0.541658,-0.093385,0.573383,0.607551
816634,0.522697,-0.115214,0.586890,0.607515
824967,0.506152,-0.134998,0.598223,0.606394
833300,0.490601,-0.151119,0.607561,0.606089
841633,0.475293,-0.166238,0.616775,0.605021
849966,0.460943,-0.179835,0.625774,0.602990
858299,0.446624,-0.193980,0.633573,0.601235
866632,0.435870,-0.204554,0.639229,0.599635
874965,0.424272,-0.216749,0.645351,0.597106
883298,0.415652,-0.225485,0.648301,0.596738
891631,0.404253,-0.234842,0.651629,0.597335
899964,0.398274,-0.240941,0.652547,0.597920
908297,0.390264,-0.248834,0.654236,0.598123
916630,0.383152,-0.254417,0.655736,0.598729
924963,0.373694,-0.261134,0.658188,0.599124
933296,0.367437,-0.264312,0.657509,0.602338
941629,0.358731,-0.269448,0.659312,0.603339
949962,0.351358,-0.272575,0.660007,0.605510
958295,0.341217,-0.276469,0.661318,0.608107
966628,0.332904,-0.276336,0.660817,0.613298
974961,0.323550,-0.276474,0.659444,0.619686
983294,0.312844,-0.278047,0.660150,0.623714
991627,0.299339,-0.277744,0.663678,0.626726
999960,0.287637,-0.277212,0.665860,0.630118
1008293,0.270628,-0.279119,0.670416,0.631978
1016626,0.260608,-0.272729,0.671180,0.638138
1024959,0.248825,-0.269955,0.674147,0.640887
1033292,0.235865,-0.267945,0.678735,0.641788
1041625,0.225659,-0.264984,0.682665,0.642519
1049958,0.213169,-0.267074,0.687128,0.641159
1058291,0.202811,-0.267663,0.690857,0.640266
1066624,0.194345,-0.269787,0.695184,0.637310
1074957,0.185470,-0.275269,0.699631,0.632728
1083290,0.176545,-0.281750,0.704796,0.626668
1091623,0.172678,-0.287091,0.708015,0.621673
1099956,0.167169,-0.294166,0.712189,0.615067
1108289,0.164040,-0.301795,0.715164,0.608729
1116622,0.160473,-0.310008,0.718490,0.601594
1124955,0.158241,-0.318715,0.720856,0.594766
1133288,0.154928,-0.327696,0.726006,0.584404
1141621,0.152759,-0.337240,0.729512,0.575105
1149954,0.150917,-0.346754,0.732807,0.565667
1158287,0.150050,-0.355720,0.736443,0.555517
1166620,0.147336,-0.365224,0.740469,0.544618
1174953,0.145567,-0.375078,0.745119,0.531906
1183286,0.144333,-0.383198,0.749923,0.519560
1191619,0.143822,-0.390718,0.755031,0.506539
1199952,0.142871,-0.397947,0.759644,0.494132
1208285,0.140878,-0.404929,0.765982,0.479017
1216618,0.139625,-0.413191,0.770695,0.464551
1224951,0.140856,-0.421042,0.774694,0.450259
1233284,0.141027,-0.430362,0.778137,0.435205
1241617,0.142741,-0.441177,0.779924,0.420365
1249950,0.148555,-0.453231,0.780450,0.404241
1258283,0.153721,-0.463194,0.781496,0.388696
1266616,0.157981,-0.471880,0.781877,0.375553
