Timestamp (us),W,X,Y,Z
0,0.714727,0.204875,0.070459,0.665002
8333,0.714602,0.204924,0.070167,0.665152
16666,0.714615,0.205277,0.069992,0.665047
24999,0.714707,0.205351,0.070619,0.664860
33332,0.714660,0.205097,0.070599,0.664991
41665,0.714646,0.205022,0.070363,0.665053
49998,0.714621,0.205006,0.070241,0.665098
58331,0.714620,0.205011,0.070252,0.665097
66664,0.714756,0.204689,0.069917,0.665085
74997,0.714778,0.204752,0.069711,0.665063
83330,0.714799,0.204957,0.069958,0.664951
91663,0.714834,0.204741,0.070266,0.664948
99996,0.714743,0.204984,0.070361,0.664961
108329,0.714869,0.204944,0.069991,0.664877
116662,0.714909,0.204803,0.069804,0.664897
124995,0.714942,0.204908,0.069728,0.664837
133328,0.715034,0.205030,0.069719,0.664702
141661,0.715055,0.205038,0.069504,0.664699
149994,0.715115,0.204978,0.069362,0.664668
158327,0.715083,0.205117,0.069466,0.664648
166660,0.715066,0.205130,0.069387,0.664671
174993,0.715092,0.204392,0.069506,0.664858
183326,0.715157,0.204699,0.069488,0.664696
191659,0.715149,0.204656,0.069327,0.664734
199992,0.715167,0.204986,0.069201,0.664626
208325,0.715252,0.204890,0.069110,0.664574
216658,0.715184,0.204482,0.068581,0.664827
224991,0.715289,0.204086,0.068283,0.664867
233324,0.715438,0.203746,0.068451,0.664793
241657,0.715458,0.203411,0.068662,0.664853
249990,0.715422,0.203727,0.068415,0.664820
258323,0.715447,0.203846,0.068096,0.664790
266656,0.715386,0.204237,0.067959,0.664749
274989,0.715372,0.204115,0.067956,0.664802
283322,0.715256,0.204531,0.067915,0.664803
291655,0.715179,0.203905,0.067976,0.665072
299988,0.715197,0.204068,0.068190,0.664981
308321,0.715093,0.204279,0.068273,0.665019
316654,0.715088,0.203448,0.068227,0.665284
324987,0.714954,0.203703,0.067641,0.665411
333320,0.714833,0.204155,0.067281,0.665438
341653,0.714743,0.204194,0.067318,0.665519
349986,0.714606,0.204131,0.067331,0.665684
358319,0.714727,0.205027,0.067594,0.665252
366652,0.714822,0.204426,0.067987,0.665295
374985,0.714743,0.204868,0.068027,0.665239
383318,0.714821,0.205186,0.068232,0.665037
391651,0.714722,0.205491,0.068158,0.665057
399984,0.714711,0.205122,0.068020,0.665196
408317,0.714743,0.205332,0.068205,0.665079
416650,0.714711,0.205352,0.068068,0.665120
424983,0.714751,0.205275,0.068216,0.665086
433316,0.714909,0.204671,0.068308,0.665093
441649,0.714980,0.204485,0.068579,0.665046
449982,0.714983,0.204442,0.068538,0.665061
458315,0.714988,0.204600,0.068620,0.664998
466648,0.714983,0.205242,0.068661,0.664802
474981,0.715014,0.205520,0.068734,0.664675
483314,0.715022,0.205293,0.068565,0.664754
491647,0.715052,0.205743,0.068725,0.664566
499980,0.714951,0.205798,0.068761,0.664654
508313,0.714870,0.205638,0.068632,0.664803
516646,0.714794,0.205740,0.068572,0.664859
524979,0.714732,0.205786,0.068616,0.664908
533312,0.714836,0.205207,0.069032,0.664932
541645,0.714837,0.205744,0.068836,0.664785
549978,0.714794,0.205737,0.068690,0.664849
558311,0.714731,0.205753,0.068505,0.664930
566644,0.714687,0.205655,0.068657,0.664993
574977,0.714701,0.205525,0.068766,0.665007
583310,0.714677,0.205352,0.068360,0.665127
591643,0.714671,0.205366,0.068092,0.665157
599976,0.714662,0.204933,0.068045,0.665305
608309,0.714712,0.204987,0.068028,0.665237
616642,0.714751,0.204932,0.068121,0.665202
624975,0.714680,0.205009,0.068568,0.665208
633308,0.714783,0.205065,0.069382,0.664996
641641,0.714792,0.204998,0.069793,0.664964
649974,0.714775,0.205216,0.070008,0.664892
658307,0.714765,0.205096,0.070380,0.664901
666640,0.714737,0.205060,0.070230,0.664958
674973,0.714745,0.204885,0.070170,0.665010
683306,0.714352,0.204913,0.069513,0.665492
691639,0.714117,0.205381,0.069412,0.665610
699972,0.714041,0.204711,0.069207,0.665919
708305,0.713795,0.204191,0.068764,0.666389
716638,0.713251,0.203934,0.067263,0.667203
724971,0.712616,0.204206,0.065554,0.667967
