Timestamp (us),W,X,Y,Z
0,0.629951,-0.088956,0.435582,0.636802
8333,0.630059,-0.088797,0.435051,0.637080
16666,0.629714,-0.089058,0.435570,0.637030
24999,0.629686,-0.088532,0.435762,0.637000
33332,0.629650,-0.088768,0.435648,0.637081
41665,0.629491,-0.089137,0.435668,0.637173
49998,0.629598,-0.089129,0.435535,0.637160
58331,0.629642,-0.089103,0.435539,0.637116
66664,0.629713,-0.089696,0.435666,0.636877
74997,0.629329,-0.090339,0.436233,0.636777
83330,0.629031,-0.090348,0.436685,0.636761
91663,0.629347,-0.089884,0.436256,0.636807
99996,0.629189,-0.089746,0.436379,0.636899
108329,0.629247,-0.090100,0.436537,0.636684
116662,0.628898,-0.090835,0.437011,0.636599
124995,0.628775,-0.090958,0.437215,0.636562
133328,0.628777,-0.090960,0.437449,0.636399
141661,0.628740,-0.091103,0.437423,0.636433
149994,0.628778,-0.091212,0.437410,0.636389
158327,0.628919,-0.090791,0.437179,0.636469
166660,0.628774,-0.091000,0.437327,0.636480
174993,0.629246,-0.091115,0.436721,0.636414
183326,0.629069,-0.091104,0.437130,0.636310
191659,0.628639,-0.091904,0.437773,0.636177
199992,0.628585,-0.091690,0.437814,0.636233
208325,0.628587,-0.091903,0.437953,0.636105
216658,0.628375,-0.093016,0.438104,0.636049
224991,0.628464,-0.093623,0.438145,0.635843
233324,0.629070,-0.093033,0.437431,0.635823
241657,0.629156,-0.093122,0.437365,0.635769
249990,0.628908,-0.093341,0.437685,0.635762
258323,0.628776,-0.093642,0.437899,0.635702
266656,0.628465,-0.093691,0.438206,0.635790
274989,0.628462,-0.093802,0.438159,0.635809
283322,0.628255,-0.093604,0.438274,0.635964
291655,0.628496,-0.093835,0.437786,0.636027
299988,0.628573,-0.093418,0.437765,0.636027
308321,0.628245,-0.093561,0.438136,0.636075
316654,0.628392,-0.094313,0.437906,0.635978
324987,0.628122,-0.094826,0.438100,0.636034
333320,0.627835,-0.094889,0.438258,0.636199
341653,0.627817,-0.094802,0.438172,0.636289
349986,0.627828,-0.094719,0.437870,0.636499
358319,0.627372,-0.094259,0.438750,0.636410
366652,0.627894,-0.093931,0.438142,0.636364
374985,0.627977,-0.093261,0.437926,0.636528
383318,0.627896,-0.092956,0.438267,0.636418
391651,0.627940,-0.092517,0.437976,0.636639
399984,0.628104,-0.092743,0.437627,0.636684
408317,0.628001,-0.092635,0.437981,0.636558
416650,0.628055,-0.092597,0.437842,0.636606
424983,0.628316,-0.092221,0.437538,0.636612
433316,0.628658,-0.092385,0.437246,0.636451
441649,0.628363,-0.092932,0.437887,0.636222
449982,0.628531,-0.092740,0.437602,0.636281
