Timestamp (us),W,X,Y,Z
0,0.624171,-0.142127,-0.184911,0.745666
8333,0.624145,-0.141960,-0.185042,0.745687
16666,0.624077,-0.141848,-0.185515,0.745648
24999,0.624204,-0.141980,-0.184745,0.745708
33332,0.624121,-0.142280,-0.184734,0.745723
41665,0.624048,-0.142303,-0.184960,0.745723
49998,0.624085,-0.142469,-0.185103,0.745626
58331,0.623986,-0.142610,-0.185242,0.745647
66664,0.623883,-0.142712,-0.185375,0.745681
74997,0.623874,-0.142839,-0.185710,0.745580
83330,0.623945,-0.142710,-0.185505,0.745597
91663,0.624033,-0.142625,-0.184878,0.745695
99996,0.624001,-0.142609,-0.185110,0.745668
108329,0.623983,-0.142614,-0.185361,0.745619
116662,0.623938,-0.142768,-0.185446,0.745606
124995,0.624002,-0.142813,-0.185635,0.745497
133328,0.624146,-0.142750,-0.185668,0.745380
141661,0.624191,-0.142710,-0.185793,0.745319
149994,0.624241,-0.142690,-0.185764,0.745288
158327,0.624242,-0.142687,-0.185785,0.745283
166660,0.624246,-0.142699,-0.185855,0.745259
174993,0.623894,-0.142948,-0.185670,0.745552
183326,0.624065,-0.142955,-0.185737,0.745391
191659,0.624001,-0.142980,-0.185940,0.745390
199992,0.624181,-0.142824,-0.186144,0.745218
208325,0.624218,-0.142989,-0.186135,0.745157
216658,0.623916,-0.143098,-0.186795,0.745224
224991,0.623842,-0.143250,-0.186868,0.745239
233324,0.623900,-0.143591,-0.186406,0.745241
241657,0.623794,-0.144000,-0.186122,0.745321
249990,0.623746,-0.144212,-0.186707,0.745174
258323,0.623823,-0.144094,-0.187025,0.745052
266656,0.623914,-0.143824,-0.187404,0.744934
274989,0.623876,-0.143965,-0.187345,0.744953
283322,0.623936,-0.143560,-0.187438,0.744958
291655,0.623585,-0.143738,-0.187259,0.745262
299988,0.623706,-0.143577,-0.186993,0.745258
308321,0.623640,-0.143455,-0.187115,0.745306
316654,0.623311,-0.143727,-0.186911,0.745581
324987,0.623266,-0.143411,-0.187584,0.745510
333320,0.623223,-0.143019,-0.188030,0.745509
341653,0.623091,-0.142880,-0.188027,0.745647
349986,0.622955,-0.142806,-0.187971,0.745789
358319,0.623516,-0.142484,-0.187840,0.745414
366652,0.623307,-0.142802,-0.187443,0.745628
374985,0.623413,-0.142505,-0.187463,0.745591
