Timestamp (us),W,X,Y,Z
0,0.773550,-0.049885,-0.043554,0.630266
8333,0.773608,-0.049918,-0.043606,0.630188
16666,0.773634,-0.049937,-0.043650,0.630151
24999,0.773612,-0.049954,-0.043658,0.630177
33332,0.773571,-0.049994,-0.043680,0.630223
41665,0.773544,-0.049998,-0.043691,0.630254
49998,0.773613,-0.050013,-0.043706,0.630168
58331,0.773600,-0.050028,-0.043737,0.630181
66664,0.773600,-0.050065,-0.043768,0.630175
74997,0.773586,-0.050082,-0.043785,0.630190
83330,0.773557,-0.050069,-0.043774,0.630228
91663,0.773598,-0.050068,-0.043786,0.630176
99996,0.773616,-0.050071,-0.043789,0.630154
108329,0.773643,-0.050061,-0.043781,0.630122
116662,0.773693,-0.050056,-0.043774,0.630061
124995,0.773651,-0.050066,-0.043761,0.630113
133328,0.773673,-0.050050,-0.043748,0.630089
141661,0.773697,-0.050026,-0.043749,0.630061
149994,0.773694,-0.050025,-0.043738,0.630065
158327,0.773721,-0.050039,-0.043730,0.630031
166660,0.773714,-0.050047,-0.043739,0.630038
174993,0.773784,-0.050045,-0.043756,0.629952
183326,0.773773,-0.050042,-0.043754,0.629965
191659,0.773764,-0.050050,-0.043765,0.629975
199992,0.773749,-0.050061,-0.043754,0.629993
208325,0.773750,-0.050057,-0.043765,0.629992
216658,0.773734,-0.050054,-0.043776,0.630012
224991,0.773728,-0.050060,-0.043778,0.630018
233324,0.773699,-0.050039,-0.043769,0.630055
241657,0.773706,-0.050029,-0.043772,0.630048
249990,0.773731,-0.050028,-0.043777,0.630016
258323,0.773725,-0.050007,-0.043777,0.630026
266656,0.773726,-0.050022,-0.043786,0.630022
274989,0.773674,-0.050039,-0.043801,0.630085
283322,0.773660,-0.050026,-0.043814,0.630102
291655,0.773697,-0.050029,-0.043833,0.630055
299988,0.773686,-0.050054,-0.043874,0.630064
308321,0.773713,-0.050097,-0.043919,0.630024
316654,0.773653,-0.050109,-0.043938,0.630095
324987,0.773591,-0.050130,-0.043962,0.630168
333320,0.773576,-0.050134,-0.043993,0.630183
341653,0.773631,-0.050131,-0.044012,0.630115
349986,0.773594,-0.050152,-0.044035,0.630157
358319,0.773598,-0.050181,-0.044070,0.630147
366652,0.773610,-0.050195,-0.044116,0.630128
374985,0.773601,-0.050204,-0.044125,0.630138
383318,0.773605,-0.050235,-0.044172,0.630127
391651,0.773529,-0.050237,-0.044188,0.630220
399984,0.773498,-0.050256,-0.044203,0.630255
408317,0.773492,-0.050302,-0.044252,0.630255
416650,0.773461,-0.050328,-0.044289,0.630289
424983,0.773483,-0.050327,-0.044314,0.630259
433316,0.773534,-0.050356,-0.044343,0.630193
441649,0.773580,-0.050349,-0.044382,0.630135
449982,0.773560,-0.050354,-0.044401,0.630157
458315,0.773614,-0.050340,-0.044402,0.630092
466648,0.773643,-0.050329,-0.044411,0.630057
474981,0.773680,-0.050325,-0.044413,0.630012
483314,0.773675,-0.050337,-0.044438,0.630015
491647,0.773697,-0.050316,-0.044457,0.629988
499980,0.773728,-0.050323,-0.044487,0.629947
508313,0.773769,-0.050326,-0.044511,0.629895
