Timestamp (us),W,X,Y,Z
0,0.751260,-0.041881,-0.071493,0.654785
8333,0.751240,-0.041867,-0.071499,0.654808
16666,0.751203,-0.041831,-0.071498,0.654852
24999,0.751179,-0.041834,-0.071488,0.654881
33332,0.751159,-0.041827,-0.071521,0.654902
41665,0.751168,-0.041828,-0.071569,0.654886
49998,0.751134,-0.041825,-0.071587,0.654923
58331,0.751145,-0.041796,-0.071637,0.654906
66664,0.751168,-0.041803,-0.071649,0.654878
74997,0.751154,-0.041775,-0.071694,0.654892
83330,0.751187,-0.041775,-0.071732,0.654849
91663,0.751170,-0.041760,-0.071728,0.654871
99996,0.751202,-0.041734,-0.071763,0.654831
108329,0.751222,-0.041758,-0.071756,0.654807
116662,0.751185,-0.041772,-0.071728,0.654852
124995,0.751189,-0.041792,-0.071732,0.654846
133328,0.751211,-0.041810,-0.071722,0.654821
141661,0.751207,-0.041804,-0.071676,0.654831
149994,0.751237,-0.041813,-0.071685,0.654795
158327,0.751210,-0.041772,-0.071723,0.654824
166660,0.751222,-0.041792,-0.071741,0.654808
174993,0.751245,-0.041798,-0.071784,0.654776
183326,0.751227,-0.041777,-0.071833,0.654793
191659,0.751218,-0.041778,-0.071898,0.654795
199992,0.751209,-0.041794,-0.071945,0.654800
208325,0.751199,-0.041808,-0.071983,0.654805
216658,0.751218,-0.041792,-0.072073,0.654775
224991,0.751254,-0.041788,-0.072149,0.654726
233324,0.751216,-0.041767,-0.072178,0.654768
241657,0.751268,-0.041775,-0.072210,0.654703
249990,0.751284,-0.041775,-0.072210,0.654685
258323,0.751305,-0.041736,-0.072211,0.654664
266656,0.751267,-0.041724,-0.072197,0.654710
274989,0.751276,-0.041725,-0.072173,0.654702
283322,0.751333,-0.041676,-0.072169,0.654641
291655,0.751347,-0.041619,-0.072119,0.654633
299988,0.751360,-0.041553,-0.072099,0.654625
308321,0.751342,-0.041493,-0.072067,0.654653
316654,0.751381,-0.041451,-0.072052,0.654612
324987,0.751373,-0.041450,-0.072005,0.654627
333320,0.751423,-0.041390,-0.071970,0.654577
341653,0.751453,-0.041380,-0.071942,0.654545
349986,0.751467,-0.041329,-0.071921,0.654536
358319,0.751460,-0.041364,-0.071904,0.654543
366652,0.751496,-0.041402,-0.071872,0.654503
374985,0.751530,-0.041401,-0.071899,0.654461
383318,0.751524,-0.041441,-0.071851,0.654470
391651,0.751512,-0.041456,-0.071841,0.654484
399984,0.751563,-0.041450,-0.071862,0.654424
408317,0.751634,-0.041433,-0.071862,0.654344
416650,0.751600,-0.041421,-0.071844,0.654386
424983,0.751597,-0.041396,-0.071850,0.654389
433316,0.751657,-0.041361,-0.071822,0.654326
441649,0.751666,-0.041301,-0.071775,0.654324
449982,0.751662,-0.041229,-0.071784,0.654333
458315,0.751632,-0.041165,-0.071720,0.654378
466648,0.751659,-0.041177,-0.071624,0.654357
474981,0.751685,-0.041152,-0.071558,0.654336
483314,0.751702,-0.041155,-0.071485,0.654324
491647,0.751737,-0.041154,-0.071428,0.654290
499980,0.751763,-0.041154,-0.071380,0.654266
508313,0.751785,-0.041162,-0.071382,0.654239
516646,0.751840,-0.041161,-0.071379,0.654177
524979,0.751874,-0.041231,-0.071304,0.654142
533312,0.751882,-0.041256,-0.071299,0.654131
541645,0.751901,-0.041261,-0.071343,0.654104
549978,0.751939,-0.041249,-0.071353,0.654060
558311,0.751962,-0.041254,-0.071340,0.654035
566644,0.751963,-0.041273,-0.071295,0.654037
574977,0.751988,-0.041270,-0.071312,0.654008
583310,0.752016,-0.041254,-0.071305,0.653977
591643,0.752024,-0.041305,-0.071258,0.653970
599976,0.752063,-0.041347,-0.071262,0.653922
608309,0.752082,-0.041403,-0.071264,0.653896
616642,0.752101,-0.041417,-0.071262,0.653874
624975,0.752113,-0.041446,-0.071241,0.653860
633308,0.752148,-0.041478,-0.071211,0.653821
641641,0.752160,-0.041496,-0.071207,0.653807
649974,0.752193,-0.041511,-0.071219,0.653766
658307,0.752213,-0.041519,-0.071227,0.653742
666640,0.752220,-0.041508,-0.071190,0.653739
674973,0.752235,-0.041524,-0.071244,0.653714
683306,0.752249,-0.041575,-0.071261,0.653693
691639,0.752226,-0.041638,-0.071245,0.653717
699972,0.752202,-0.041788,-0.071265,0.653734
708305,0.752239,-0.041953,-0.071310,0.653675
716638,0.752242,-0.042114,-0.071331,0.653659
724971,0.752222,-0.042290,-0.071374,0.653666
733304,0.752218,-0.042490,-0.071495,0.653644
741637,0.752228,-0.042726,-0.071615,0.653604
749970,0.752212,-0.042882,-0.071771,0.653595
758303,0.752166,-0.043041,-0.071919,0.653621
766636,0.752124,-0.043215,-0.072014,0.653648
774969,0.752082,-0.043410,-0.072086,0.653676
783302,0.752030,-0.043581,-0.072054,0.653727
791635,0.751915,-0.043717,-0.072020,0.653854
799968,0.751937,-0.043851,-0.072073,0.653815
808301,0.751871,-0.043991,-0.071998,0.653889
816634,0.751854,-0.044055,-0.071932,0.653912
824967,0.751817,-0.044068,-0.071873,0.653960
833300,0.751760,-0.044140,-0.071866,0.654021
841633,0.751656,-0.044122,-0.071828,0.654146
849966,0.751743,-0.044054,-0.071943,0.654038
858299,0.751795,-0.043909,-0.072068,0.653975
866632,0.751838,-0.043840,-0.072144,0.653921
874965,0.751699,-0.043810,-0.072071,0.654091
883298,0.751529,-0.043694,-0.072091,0.654291
891631,0.751215,-0.043644,-0.071912,0.654675
899964,0.751173,-0.043575,-0.071958,0.654723
908297,0.751031,-0.043565,-0.071815,0.654902
916630,0.750787,-0.043637,-0.071558,0.655206
924963,0.750498,-0.043792,-0.071319,0.655552
933296,0.750295,-0.044011,-0.071121,0.655791
941629,0.750124,-0.044349,-0.070732,0.656006
949962,0.749919,-0.044681,-0.070467,0.656246
958295,0.749702,-0.045070,-0.070169,0.656500
966628,0.749525,-0.045479,-0.069898,0.656702
974961,0.749327,-0.045856,-0.069694,0.656924
983294,0.748948,-0.046363,-0.069392,0.657352
991627,0.748510,-0.047020,-0.068799,0.657867
999960,0.747994,-0.047789,-0.068337,0.658447
1008293,0.747485,-0.048735,-0.067847,0.659006
1016626,0.746838,-0.049809,-0.067280,0.659717
1024959,0.746247,-0.051102,-0.066545,0.660361
1033292,0.745850,-0.052603,-0.065838,0.660762
1041625,0.745498,-0.054257,-0.065230,0.661085
1049958,0.745263,-0.056090,-0.064501,0.661269
1058291,0.745422,-0.057920,-0.063898,0.660990
1066624,0.745576,-0.059613,-0.063589,0.660696
1074957,0.745820,-0.061244,-0.063277,0.660302
1083290,0.746068,-0.063029,-0.062957,0.659884
1091623,0.746445,-0.065061,-0.062522,0.659301
1099956,0.746543,-0.066964,-0.061910,0.659057
1108289,0.746885,-0.068942,-0.061483,0.658506
