Timestamp (us),W,X,Y,Z
0,0.745504,0.033225,0.032228,0.664892
8333,0.745507,0.033187,0.032269,0.664888
16666,0.745520,0.033142,0.032291,0.664875
24999,0.745529,0.033197,0.032259,0.664864
33332,0.745521,0.033282,0.032284,0.664867
41665,0.745511,0.033291,0.032258,0.664880
49998,0.745537,0.033232,0.032055,0.664863
58331,0.745535,0.033192,0.032111,0.664864
66664,0.745552,0.033073,0.032166,0.664849
74997,0.745521,0.033080,0.032124,0.664885
83330,0.745483,0.033125,0.032176,0.664923
91663,0.745495,0.033223,0.032180,0.664904
99996,0.745530,0.033187,0.032226,0.664865
108329,0.745503,0.033216,0.032196,0.664895
116662,0.745522,0.033198,0.032169,0.664876
124995,0.745507,0.033236,0.032076,0.664895
133328,0.745510,0.033241,0.032211,0.664885
141661,0.745501,0.033158,0.032287,0.664896
149994,0.745531,0.033152,0.032179,0.664868
158327,0.745531,0.033198,0.032206,0.664864
166660,0.745493,0.033375,0.032319,0.664892
174993,0.745527,0.033133,0.032176,0.664874
183326,0.745550,0.033087,0.032120,0.664853
191659,0.745514,0.033182,0.032111,0.664888
199992,0.745521,0.033142,0.032131,0.664881
208325,0.745532,0.033053,0.032194,0.664870
216658,0.745507,0.033098,0.032168,0.664898
224991,0.745516,0.033091,0.032179,0.664888
233324,0.745515,0.033020,0.032131,0.664895
241657,0.745508,0.032996,0.032119,0.664905
249990,0.745488,0.033111,0.032128,0.664920
258323,0.745499,0.033049,0.032134,0.664911
266656,0.745535,0.033000,0.032189,0.664870
274989,0.745496,0.032974,0.032098,0.664919
283322,0.745510,0.032942,0.032168,0.664902
291655,0.745523,0.032878,0.032116,0.664893
299988,0.745489,0.032879,0.032128,0.664930
308321,0.745504,0.032884,0.032088,0.664916
316654,0.745471,0.033064,0.032169,0.664940
324987,0.745491,0.033028,0.032042,0.664926
333320,0.745481,0.032998,0.032060,0.664937
341653,0.745514,0.032993,0.032048,0.664901
349986,0.745517,0.033021,0.032031,0.664897
358319,0.745511,0.032920,0.031939,0.664914
366652,0.745485,0.032841,0.032036,0.664941
374985,0.745551,0.032785,0.031979,0.664873
383318,0.745570,0.032871,0.032043,0.664844
391651,0.745513,0.032935,0.032082,0.664903
399984,0.745510,0.033082,0.032163,0.664895
408317,0.745534,0.032995,0.032145,0.664874
416650,0.745548,0.032817,0.031957,0.664876
424983,0.745568,0.032855,0.031896,0.664855
433316,0.745554,0.032904,0.031952,0.664865
441649,0.745543,0.032940,0.031999,0.664874
449982,0.745517,0.032922,0.031970,0.664905
458315,0.745532,0.032922,0.031905,0.664892
466648,0.745520,0.032920,0.031927,0.664903
474981,0.745547,0.032959,0.031992,0.664869
483314,0.745533,0.032996,0.032018,0.664881
491647,0.745538,0.032871,0.032013,0.664881
499980,0.745554,0.032842,0.031942,0.664869
508313,0.745541,0.032911,0.032089,0.664872
516646,0.745510,0.032926,0.032032,0.664910
524979,0.745543,0.032842,0.032011,0.664878
533312,0.745573,0.032970,0.032042,0.664836
541645,0.745548,0.032992,0.031984,0.664866
549978,0.745518,0.032904,0.031957,0.664905
558311,0.745508,0.032944,0.031927,0.664916
566644,0.745529,0.033060,0.032044,0.664882
