Timestamp (us),W,X,Y,Z
0,0.774149,-0.039507,-0.035099,0.630793
8333,0.774209,-0.039509,-0.035127,0.630718
16666,0.774237,-0.039506,-0.035153,0.630682
24999,0.774216,-0.039505,-0.035146,0.630709
33332,0.774178,-0.039503,-0.035133,0.630757
41665,0.774149,-0.039538,-0.035168,0.630787
49998,0.774218,-0.039557,-0.035188,0.630700
58331,0.774205,-0.039564,-0.035213,0.630714
66664,0.774208,-0.039559,-0.035209,0.630711
74997,0.774196,-0.039550,-0.035205,0.630727
83330,0.774164,-0.039588,-0.035235,0.630763
91663,0.774204,-0.039604,-0.035262,0.630711
99996,0.774222,-0.039615,-0.035272,0.630688
108329,0.774246,-0.039658,-0.035308,0.630654
116662,0.774294,-0.039688,-0.035330,0.630591
124995,0.774251,-0.039722,-0.035336,0.630642
133328,0.774270,-0.039758,-0.035365,0.630615
141661,0.774292,-0.039766,-0.035393,0.630585
149994,0.774289,-0.039781,-0.035395,0.630589
158327,0.774315,-0.039807,-0.035398,0.630554
166660,0.774309,-0.039803,-0.035397,0.630562
174993,0.774379,-0.039785,-0.035404,0.630477
183326,0.774367,-0.039812,-0.035425,0.630489
191659,0.774359,-0.039814,-0.035431,0.630498
199992,0.774344,-0.039829,-0.035423,0.630516
208325,0.774344,-0.039830,-0.035438,0.630515
216658,0.774326,-0.039854,-0.035470,0.630534
224991,0.774319,-0.039884,-0.035492,0.630539
233324,0.774287,-0.039931,-0.035537,0.630573
241657,0.774290,-0.039979,-0.035587,0.630563
249990,0.774313,-0.040023,-0.035630,0.630530
258323,0.774304,-0.040063,-0.035679,0.630536
266656,0.774304,-0.040089,-0.035697,0.630532
274989,0.774252,-0.040107,-0.035712,0.630595
283322,0.774235,-0.040155,-0.035775,0.630609
291655,0.774270,-0.040180,-0.035813,0.630562
299988,0.774261,-0.040189,-0.035840,0.630572
308321,0.774289,-0.040218,-0.035874,0.630533
316654,0.774230,-0.040230,-0.035891,0.630604
324987,0.774169,-0.040237,-0.035904,0.630678
333320,0.774153,-0.040268,-0.035956,0.630693
341653,0.774205,-0.040312,-0.036015,0.630622
349986,0.774166,-0.040369,-0.036065,0.630663
358319,0.774172,-0.040379,-0.036086,0.630655
366652,0.774184,-0.040387,-0.036127,0.630637
374985,0.774174,-0.040419,-0.036155,0.630645
383318,0.774180,-0.040418,-0.036175,0.630637
391651,0.774103,-0.040442,-0.036208,0.630728
399984,0.774070,-0.040495,-0.036249,0.630763
408317,0.774069,-0.040469,-0.036240,0.630766
416650,0.774040,-0.040458,-0.036246,0.630803
424983,0.774062,-0.040459,-0.036273,0.630773
433316,0.774115,-0.040450,-0.036273,0.630709
441649,0.774159,-0.040469,-0.036334,0.630650
449982,0.774139,-0.040481,-0.036357,0.630673
458315,0.774191,-0.040503,-0.036390,0.630605
466648,0.774217,-0.040543,-0.036441,0.630568
474981,0.774252,-0.040585,-0.036482,0.630521
483314,0.774247,-0.040607,-0.036515,0.630523
491647,0.774265,-0.040645,-0.036582,0.630494
499980,0.774296,-0.040658,-0.036618,0.630453
508313,0.774336,-0.040674,-0.036653,0.630401
516646,0.774332,-0.040709,-0.036701,0.630401
524979,0.774333,-0.040716,-0.036712,0.630399
533312,0.774391,-0.040724,-0.036726,0.630326
541645,0.774397,-0.040723,-0.036754,0.630317
549978,0.774412,-0.040738,-0.036787,0.630296
558311,0.774435,-0.040700,-0.036766,0.630272
566644,0.774447,-0.040719,-0.036791,0.630254
574977,0.774467,-0.040741,-0.036824,0.630226
583310,0.774500,-0.040761,-0.036850,0.630183
591643,0.774517,-0.040765,-0.036866,0.630160
599976,0.774550,-0.040781,-0.036889,0.630118
608309,0.774525,-0.040781,-0.036906,0.630147
616642,0.774477,-0.040727,-0.036875,0.630212
624975,0.774495,-0.040711,-0.036873,0.630191
633308,0.774415,-0.040671,-0.036845,0.630294
641641,0.774374,-0.040622,-0.036820,0.630348
649974,0.774288,-0.040555,-0.036773,0.630461
658307,0.774241,-0.040473,-0.036732,0.630527
666640,0.774218,-0.040376,-0.036664,0.630564
674973,0.774279,-0.040217,-0.036573,0.630506
683306,0.774315,-0.040104,-0.036510,0.630472
691639,0.774412,-0.039942,-0.036425,0.630368
699972,0.774496,-0.039745,-0.036335,0.630282
708305,0.774617,-0.039452,-0.036186,0.630161
716638,0.774624,-0.039170,-0.036044,0.630178
724971,0.774627,-0.038883,-0.035895,0.630200
733304,0.774604,-0.038636,-0.035779,0.630251
741637,0.774591,-0.038339,-0.035636,0.630293
749970,0.774560,-0.038073,-0.035529,0.630353
758303,0.774581,-0.037769,-0.035427,0.630351
766636,0.774591,-0.037458,-0.035335,0.630363
774969,0.774670,-0.037107,-0.035276,0.630289
783302,0.774737,-0.036675,-0.035178,0.630238
791635,0.774741,-0.036239,-0.035064,0.630265
799968,0.774655,-0.035777,-0.034925,0.630404
808301,0.774516,-0.035313,-0.034799,0.630608
816634,0.774315,-0.034898,-0.034702,0.630883
824967,0.774167,-0.034569,-0.034686,0.631084
833300,0.774020,-0.034312,-0.034771,0.631273
841633,0.774017,-0.034114,-0.034936,0.631279
849966,0.774175,-0.033953,-0.035195,0.631079
858299,0.774366,-0.033840,-0.035536,0.630833
866632,0.774566,-0.033834,-0.035991,0.630562
874965,0.774843,-0.033903,-0.036527,0.630187
883298,0.775097,-0.034097,-0.037183,0.629824
891631,0.775360,-0.034245,-0.037808,0.629456
899964,0.775621,-0.034324,-0.038393,0.629094
908297,0.775783,-0.034431,-0.039026,0.628850
916630,0.775935,-0.034512,-0.039641,0.628619
924963,0.776038,-0.034607,-0.040238,0.628449
933296,0.776105,-0.034617,-0.040812,0.628328
941629,0.776061,-0.034546,-0.041271,0.628358
949962,0.776020,-0.034327,-0.041642,0.628395
958295,0.775854,-0.033981,-0.041937,0.628600
966628,0.775597,-0.033478,-0.042093,0.628933
974961,0.775131,-0.032846,-0.042062,0.629543
983294,0.774604,-0.031878,-0.041781,0.630259
991627,0.773897,-0.030614,-0.041206,0.631227
999960,0.773077,-0.029034,-0.040377,0.632360
1008293,0.771774,-0.027081,-0.039114,0.634114
1016626,0.770172,-0.024710,-0.037347,0.636262
1024959,0.768585,-0.021880,-0.035266,0.638400
1033292,0.767014,-0.018659,-0.032823,0.640518
1041625,0.765361,-0.014886,-0.029880,0.642735
1049958,0.763779,-0.010730,-0.026600,0.644840
1058291,0.762180,-0.006236,-0.022986,0.646927
1066624,0.760355,-0.001629,-0.019190,0.649223
1074957,0.758738,0.003292,-0.015202,0.651210
1083290,0.756987,0.008443,-0.010964,0.653283
1091623,0.755300,0.013762,-0.006522,0.655202
1099956,0.753463,0.019323,-0.001708,0.657204
1108289,0.751923,0.025112,0.003255,0.658765
1116622,0.750505,0.031310,0.008539,0.660067
1124955,0.749078,0.036880,0.013594,0.661315
1133288,0.748278,0.042641,0.018759,0.661747
1141621,0.747417,0.048513,0.023946,0.662149
1149954,0.746835,0.053918,0.028720,0.662198
1158287,0.746554,0.059190,0.033285,0.661850
1166620,0.746458,0.063983,0.037560,0.661284
1174953,0.746663,0.068576,0.041490,0.660357
1183286,0.746879,0.072734,0.045249,0.659420
1191619,0.747122,0.076715,0.048806,0.658438
1199952,0.747686,0.080394,0.052231,0.657096
1208285,0.748258,0.083953,0.055478,0.655732
1216618,0.748753,0.087168,0.058509,0.654483
1224951,0.749242,0.089906,0.061270,0.653298
1233284,0.749631,0.092832,0.063948,0.652186
1241617,0.750073,0.095793,0.066800,0.650963
1249950,0.750425,0.098271,0.069238,0.649932
1258283,0.750489,0.100896,0.071898,0.649166
1266616,0.750436,0.103415,0.074549,0.648532
1274949,0.750077,0.105948,0.077257,0.648221
1283282,0.749734,0.108410,0.079781,0.647906
1291615,0.748991,0.110811,0.082565,0.648009
1299948,0.748707,0.112984,0.085120,0.647632
1308281,0.748237,0.115130,0.087505,0.647479
1316614,0.747757,0.117389,0.090025,0.647282
1324947,0.747260,0.119580,0.092529,0.647102
1333280,0.746779,0.121685,0.094999,0.646908
1341613,0.746448,0.123612,0.097329,0.646577
1349946,0.745790,0.125544,0.099701,0.646604
1358279,0.745267,0.127481,0.102012,0.646467
1366612,0.744974,0.129328,0.104279,0.646076
1374945,0.744740,0.131016,0.106554,0.645634
1383278,0.744820,0.132685,0.108790,0.644827
1391611,0.745193,0.134073,0.110956,0.643740
1399944,0.745743,0.135314,0.113098,0.642469
1408277,0.746773,0.136323,0.115240,0.640677
1416610,0.748472,0.137204,0.117420,0.638105
1424943,0.749851,0.137875,0.119549,0.635942
1433276,0.751447,0.138040,0.121314,0.633684
1441609,0.753352,0.138002,0.122962,0.631107
1449942,0.755255,0.137447,0.124545,0.628639
1458275,0.757696,0.136572,0.125751,0.625645
1466608,0.760160,0.135566,0.126713,0.622674
1474941,0.762741,0.134190,0.127600,0.619626
1483274,0.765116,0.132666,0.128141,0.616910
1491607,0.767475,0.130768,0.128460,0.614312
1499940,0.769836,0.128811,0.128720,0.611712
1508273,0.771819,0.126421,0.128572,0.609740
1516606,0.773718,0.124311,0.128421,0.607795
1524939,0.775012,0.122059,0.127980,0.606695
1533272,0.775668,0.119857,0.127315,0.606436
1541605,0.776068,0.117684,0.126480,0.606524
1549938,0.775992,0.115535,0.125422,0.607254
1558271,0.776134,0.113543,0.124385,0.607661
1566604,0.775790,0.111407,0.123223,0.608732
1574937,0.774781,0.109010,0.121871,0.610719
1583270,0.773557,0.106269,0.120234,0.613075
1591603,0.772722,0.103182,0.118546,0.614981
1599936,0.772468,0.099551,0.116765,0.616238
1608269,0.772120,0.095419,0.114798,0.617696
1616602,0.771714,0.090783,0.112400,0.619341
1624935,0.770935,0.085988,0.110041,0.621414
1633268,0.769731,0.081272,0.107634,0.623958
1641601,0.768283,0.076947,0.105510,0.626648
1649934,0.767017,0.073025,0.103713,0.628964
1658267,0.766142,0.069127,0.102160,0.630722
1666600,0.765459,0.065758,0.100741,0.632139
1674933,0.765229,0.062984,0.099773,0.632853
1683266,0.765177,0.060398,0.098717,0.633334
1691599,0.766078,0.058057,0.097759,0.632612
1699932,0.767832,0.055968,0.097166,0.630761
1708265,0.770223,0.054023,0.096708,0.628080
1716598,0.773237,0.052016,0.096233,0.624610
1724931,0.776631,0.049815,0.095864,0.620623
1733264,0.780103,0.047456,0.095346,0.616520
1741597,0.783593,0.044924,0.094618,0.612382
1749930,0.786659,0.042321,0.093677,0.608770
1758263,0.789684,0.039383,0.092469,0.605226
1766596,0.792153,0.036111,0.090909,0.602432
1774929,0.794049,0.032613,0.089048,0.600410
1783262,0.796080,0.028956,0.086998,0.598206
1791595,0.798335,0.025072,0.084650,0.595707
1799928,0.800785,0.020864,0.081915,0.592957
1808261,0.803052,0.016362,0.078854,0.590442
1816594,0.805100,0.012314,0.075902,0.588133
1824927,0.807286,0.008347,0.072917,0.585579
1833260,0.809123,0.004480,0.069898,0.583450
1841593,0.810873,0.000735,0.066848,0.581391
1849926,0.812153,-0.003011,0.063830,0.579935
1858259,0.813485,-0.006732,0.060572,0.578384
1866592,0.814858,-0.010520,0.057315,0.576725
1874925,0.816331,-0.014672,0.053813,0.574885
1883258,0.818472,-0.018062,0.050696,0.572021
1891591,0.820430,-0.021310,0.047572,0.569366
1899924,0.822180,-0.024763,0.044348,0.566957
1908257,0.823741,-0.028055,0.041223,0.564769
1916590,0.825446,-0.031304,0.038079,0.562324
1924923,0.826967,-0.034430,0.034972,0.560105
1933256,0.828462,-0.037363,0.032182,0.557871
1941589,0.830569,-0.039735,0.029389,0.554718
1949922,0.831482,-0.042825,0.026298,0.553273
1958255,0.832754,-0.045381,0.023542,0.551277
1966588,0.833996,-0.047534,0.021213,0.549310
1974921,0.835511,-0.049694,0.018737,0.546901
1983254,0.836627,-0.051884,0.016243,0.545068
1991587,0.837877,-0.054007,0.013708,0.543008
1999920,0.839166,-0.056206,0.011135,0.540849
2008252,0.840146,-0.058521,0.008469,0.539127
2016586,0.841251,-0.060875,0.005737,0.537175
2024919,0.842676,-0.063376,0.002960,0.534671
2033252,0.844078,-0.066082,-0.000103,0.532132
2041585,0.845323,-0.069013,-0.003268,0.529769
2049918,0.846779,-0.071908,-0.006649,0.527020
2058250,0.848052,-0.074664,-0.009806,0.524535
2066584,0.849276,-0.077321,-0.012985,0.522094
2074917,0.850542,-0.080120,-0.016346,0.519510
2083250,0.851311,-0.082907,-0.019587,0.517700
2091583,0.852304,-0.085633,-0.022823,0.515484
2099916,0.852910,-0.088439,-0.026020,0.513854
2108249,0.853356,-0.091300,-0.029298,0.512435
2116582,0.853519,-0.094000,-0.032401,0.511487
2124915,0.853809,-0.096154,-0.035235,0.510415
2133248,0.853962,-0.098393,-0.038147,0.509523
2141581,0.854101,-0.100538,-0.041091,0.508641
2149914,0.854418,-0.102348,-0.043973,0.507505
2158247,0.854802,-0.104036,-0.046892,0.506251
2166580,0.855208,-0.105359,-0.049486,0.505045
2174913,0.854936,-0.107058,-0.052190,0.504875
2183246,0.854757,-0.108575,-0.054851,0.504573
2191579,0.854804,-0.109538,-0.057321,0.504010
2199912,0.854926,-0.110453,-0.059836,0.503311
2208245,0.854876,-0.111510,-0.062462,0.502843
2216578,0.854857,-0.112267,-0.065086,0.502373
2224911,0.855854,-0.111892,-0.067720,0.500407
2233244,0.854938,-0.112817,-0.070439,0.501389
2241577,0.854716,-0.113144,-0.073140,0.501307
2249910,0.854815,-0.113006,-0.075784,0.500777
2258243,0.854800,-0.112738,-0.078429,0.500456
2266576,0.854721,-0.112212,-0.080998,0.500300
2274909,0.854441,-0.111538,-0.083366,0.500540
2283242,0.854291,-0.110501,-0.085653,0.500640
2291575,0.853818,-0.109207,-0.087647,0.501386
2299908,0.853566,-0.107161,-0.089336,0.501956
2308241,0.852803,-0.104878,-0.090498,0.503525
2316574,0.852189,-0.101649,-0.091045,0.505127
2324907,0.851407,-0.097814,-0.090986,0.507209
2333240,0.850339,-0.093681,-0.090350,0.509886
2341573,0.849078,-0.088898,-0.088850,0.513097
2349906,0.848321,-0.082866,-0.086709,0.515719
2358239,0.847889,-0.075999,-0.084045,0.517924
2366572,0.847761,-0.068474,-0.081014,0.519663
2374905,0.847993,-0.059806,-0.077452,0.520896
2383238,0.848725,-0.049678,-0.073579,0.521329
2391571,0.849448,-0.038584,-0.069272,0.521680
2399904,0.850065,-0.026720,-0.064551,0.522024
2408237,0.850344,-0.014228,-0.059212,0.522692
2416570,0.850636,-0.000792,-0.053410,0.523034
2424903,0.850667,0.013462,-0.046814,0.523444
2433236,0.850436,0.027572,-0.039791,0.523846
2441569,0.850363,0.040918,-0.032951,0.523567
2449902,0.850078,0.052502,-0.026769,0.523349
2458235,0.849717,0.062716,-0.021122,0.523070
2466568,0.849270,0.072769,-0.015261,0.522696
2474901,0.848754,0.082585,-0.009261,0.522217
2483234,0.848203,0.092047,-0.003342,0.521601
2491567,0.847667,0.100933,0.002466,0.520832
2499900,0.847012,0.109242,0.008284,0.520162
2508233,0.846133,0.116853,0.014255,0.519808
2516566,0.844993,0.123760,0.020362,0.519861
2524899,0.843775,0.130294,0.026231,0.519979
2533232,0.842500,0.136112,0.031974,0.520235
2541565,0.841154,0.141287,0.037496,0.520665
2549898,0.839780,0.146055,0.042785,0.521159
2558231,0.838417,0.150291,0.047834,0.521710
2566564,0.837199,0.154202,0.052431,0.522082
2574897,0.835915,0.157837,0.056962,0.522579
2583230,0.834567,0.160857,0.061146,0.523340
2591563,0.833014,0.163473,0.065002,0.524537
2599896,0.831677,0.165803,0.068744,0.525449
2608229,0.830192,0.167735,0.072306,0.526706
2616562,0.828582,0.169273,0.075556,0.528289
2624895,0.826903,0.170079,0.078175,0.530277
2633228,0.825151,0.170665,0.080560,0.532457
2641561,0.823442,0.170799,0.082552,0.534748
2649894,0.821716,0.170623,0.084032,0.537223
2658227,0.820059,0.170089,0.085221,0.539731
2666560,0.818374,0.169431,0.086124,0.542346
2674893,0.816802,0.168206,0.086503,0.545031
2683226,0.815284,0.166517,0.086573,0.547804
2691559,0.813887,0.164746,0.086434,0.550432
2699892,0.812699,0.163207,0.086289,0.552665
2708225,0.811630,0.161352,0.085950,0.554828
2716558,0.810803,0.159166,0.085537,0.556730
2724891,0.810497,0.157004,0.085000,0.557871
2733224,0.810810,0.154436,0.084742,0.558172
2741557,0.811893,0.151754,0.084630,0.557349
2749890,0.813633,0.148908,0.085006,0.555519
2758223,0.816413,0.145663,0.085805,0.552167
2766556,0.819480,0.142469,0.086963,0.548263
2774889,0.822493,0.139822,0.088798,0.544123
2783222,0.825311,0.137389,0.090806,0.540130
2791555,0.827576,0.135894,0.093353,0.536597
2799888,0.828822,0.135530,0.096160,0.534266
2808221,0.828177,0.136028,0.098788,0.534659
2816554,0.826495,0.136663,0.101274,0.536631
2824887,0.824177,0.138007,0.103885,0.539346
2833220,0.821885,0.138656,0.106231,0.542213
2841553,0.819400,0.138446,0.107976,0.545671
2849886,0.816443,0.137582,0.108947,0.550112
2858219,0.813579,0.135857,0.109460,0.554663
2866552,0.810772,0.133308,0.109241,0.559414
2874885,0.808011,0.129951,0.108525,0.564317
2883218,0.804701,0.126003,0.107157,0.570172
2891551,0.800988,0.121792,0.105186,0.576646
2899884,0.796930,0.117744,0.103096,0.583447
2908217,0.793063,0.114129,0.101348,0.589707
2916550,0.788824,0.111148,0.099759,0.596197
2924883,0.784870,0.109204,0.098740,0.601916
2933216,0.781518,0.107690,0.098122,0.606633
2941549,0.779607,0.106162,0.098043,0.609369
2949882,0.779256,0.104345,0.098362,0.610079
2958215,0.779542,0.102580,0.098729,0.609955
2966548,0.779615,0.100781,0.098824,0.610145
2974881,0.779834,0.098788,0.098671,0.610216
2983214,0.780144,0.096547,0.098203,0.610254
2991547,0.780632,0.093498,0.097278,0.610253
2999880,0.781491,0.089508,0.095664,0.610007
3008213,0.782786,0.085295,0.093880,0.609227
3016546,0.784390,0.080773,0.091752,0.608104
3024879,0.786517,0.076217,0.089612,0.606260
3033212,0.789199,0.071552,0.087271,0.603679
3041545,0.791830,0.066782,0.084783,0.601130
3049878,0.794458,0.062113,0.082034,0.598539
3058211,0.796652,0.057588,0.079395,0.596427
3066544,0.798677,0.053292,0.076693,0.594469
3074877,0.800463,0.048730,0.073744,0.592830
3083210,0.802062,0.044396,0.070800,0.591366
3091543,0.803186,0.040076,0.067817,0.590498
3099876,0.804500,0.035730,0.064557,0.589352
3108209,0.805980,0.031115,0.061026,0.587966
3116542,0.807470,0.026711,0.057602,0.586482
3124875,0.809335,0.022299,0.053948,0.584439
3133208,0.811399,0.017681,0.050110,0.582072
3141541,0.813482,0.013796,0.046714,0.579547
3149874,0.815566,0.009491,0.042927,0.576992
3158207,0.817383,0.004968,0.038974,0.574754
3166540,0.818702,0.000208,0.035046,0.573148
3174873,0.820003,-0.004426,0.031021,0.571501
3183206,0.821518,-0.008862,0.027069,0.569470
3191539,0.823364,-0.012875,0.023458,0.566883
