Segment,Length (m)
Hips,0.000000
Spine,0.043318
Spine1,0.043317
Spine2,0.043318
Spine3,0.043318
Neck,0.055972
Neck1,0.019185
Head,0.019185
RightShoulder,0.038986
RightArm,0.070608
RightForeArm,0.107687
RightHand,0.089742
RightHandMiddle1,0.035144
RightHandMiddle2,0.018724
RightHandMiddle3,0.012228
RightHandRing,0.003522
RightHandRing1,0.031164
RightHandRing2,0.017381
RightHandRing3,0.011859
RightHandPinky,0.003522
RightHandPinky1,0.026061
RightHandPinky2,0.014269
RightHandPinky3,0.009283
RightHandIndex,0.003522
RightHandIndex1,0.034267
RightHandIndex2,0.018276
RightHandIndex3,0.010930
RightHandThumb1,0.004498
RightHandThumb2,0.022847
RightHandThumb3,0.014957
LeftShoulder,0.038986
LeftArm,0.070608
LeftForeArm,0.107687
LeftHand,0.089742
LeftHandMiddle1,0.035840
LeftHandMiddle2,0.019061
LeftHandMiddle3,0.012330
LeftHandRing,0.002758
LeftHandRing1,0.031897
LeftHandRing2,0.017747
LeftHandRing3,0.011881
LeftHandPinky,0.002758
LeftHandPinky1,0.026770
LeftHandPinky2,0.014407
LeftHandPinky3,0.009519
LeftHandIndex,0.002758
LeftHandIndex1,0.035258
LeftHandIndex2,0.018539
LeftHandIndex3,0.011157
LeftHandThumb1,0.003929
LeftHandThumb2,0.024116
LeftHandThumb3,0.015072
RightUpLeg,0.043099
RightLeg,0.146755
RightFoot,0.169210
RightToeBase,0.052539
LeftUpLeg,0.043099
LeftLeg,0.146755
LeftFoot,0.169210
LeftToeBase,0.052539
