Timestamp (us),W,X,Y,Z
0,0.716948,0.042673,0.028244,0.695246
8333,0.716952,0.042712,0.028298,0.695238
16666,0.716953,0.042723,0.028343,0.695234
24999,0.716958,0.042723,0.028337,0.695229
33332,0.716971,0.042735,0.028331,0.695215
41665,0.716986,0.042760,0.028391,0.695195
49998,0.717004,0.042767,0.028432,0.695175
58331,0.717009,0.042762,0.028451,0.695169
66664,0.717014,0.042771,0.028441,0.695164
74997,0.717027,0.042745,0.028431,0.695152
83330,0.717035,0.042749,0.028431,0.695144
91663,0.717060,0.042739,0.028446,0.695118
99996,0.717061,0.042695,0.028417,0.695121
108329,0.717056,0.042694,0.028375,0.695128
116662,0.717065,0.042665,0.028351,0.695122
124995,0.717067,0.042647,0.028302,0.695123
133328,0.717075,0.042638,0.028276,0.695116
141661,0.717080,0.042586,0.028247,0.695115
149994,0.717083,0.042548,0.028196,0.695116
158327,0.717085,0.042522,0.028161,0.695118
166660,0.717078,0.042503,0.028115,0.695128
174993,0.717079,0.042458,0.028086,0.695131
183326,0.717086,0.042468,0.028082,0.695123
191659,0.717089,0.042442,0.028065,0.695122
199992,0.717063,0.042426,0.028022,0.695151
208325,0.717064,0.042385,0.028025,0.695152
216658,0.717059,0.042379,0.028016,0.695158
224991,0.717042,0.042381,0.027981,0.695178
233324,0.717019,0.042361,0.027955,0.695203
241657,0.716994,0.042366,0.027976,0.695228
249990,0.716980,0.042373,0.027986,0.695241
258323,0.716958,0.042362,0.027997,0.695264
266656,0.716917,0.042362,0.027976,0.695308
274989,0.716907,0.042363,0.027976,0.695318
283322,0.716900,0.042365,0.028019,0.695323
291655,0.716885,0.042348,0.028035,0.695339
299988,0.716873,0.042350,0.028064,0.695351
308321,0.716840,0.042397,0.028084,0.695381
316654,0.716829,0.042382,0.028086,0.695393
324987,0.716834,0.042388,0.028119,0.695386
333320,0.716819,0.042406,0.028142,0.695399
341653,0.716822,0.042433,0.028202,0.695393
349986,0.716816,0.042472,0.028236,0.695394
358319,0.716803,0.042471,0.028244,0.695408
366652,0.716802,0.042478,0.028272,0.695408
374985,0.716806,0.042496,0.028266,0.695402
383318,0.716812,0.042496,0.028297,0.695395
391651,0.716806,0.042518,0.028293,0.695400
399984,0.716795,0.042558,0.028310,0.695408
408317,0.716809,0.042528,0.028315,0.695396
416650,0.716821,0.042518,0.028321,0.695383
424983,0.716847,0.042502,0.028341,0.695357
