Timestamp (us),W,X,Y,Z
0,0.714821,-0.015647,-0.021371,0.698805
8333,0.714820,-0.015641,-0.021340,0.698807
16666,0.714827,-0.015638,-0.021299,0.698802
24999,0.714820,-0.015631,-0.021295,0.698809
33332,0.714823,-0.015648,-0.021277,0.698807
41665,0.714823,-0.015647,-0.021254,0.698807
49998,0.714809,-0.015661,-0.021249,0.698821
58331,0.714812,-0.015657,-0.021240,0.698818
66664,0.714807,-0.015667,-0.021224,0.698824
74997,0.714815,-0.015679,-0.021230,0.698815
83330,0.714824,-0.015686,-0.021227,0.698806
91663,0.714843,-0.015687,-0.021216,0.698787
99996,0.714836,-0.015700,-0.021226,0.698793
108329,0.714836,-0.015721,-0.021221,0.698794
116662,0.714841,-0.015725,-0.021236,0.698788
124995,0.714829,-0.015718,-0.021267,0.698799
133328,0.714818,-0.015727,-0.021281,0.698810
141661,0.714826,-0.015755,-0.021292,0.698800
149994,0.714811,-0.015777,-0.021326,0.698814
158327,0.714811,-0.015796,-0.021361,0.698813
166660,0.714782,-0.015818,-0.021386,0.698842
174993,0.714766,-0.015846,-0.021424,0.698856
183326,0.714758,-0.015862,-0.021442,0.698864
191659,0.714754,-0.015885,-0.021473,0.698866
199992,0.714731,-0.015898,-0.021495,0.698889
208325,0.714740,-0.015895,-0.021532,0.698878
216658,0.714739,-0.015891,-0.021558,0.698878
224991,0.714742,-0.015900,-0.021563,0.698875
233324,0.714734,-0.015893,-0.021564,0.698883
241657,0.714725,-0.015879,-0.021554,0.698893
249990,0.714721,-0.015856,-0.021562,0.698897
258323,0.714729,-0.015831,-0.021546,0.698891
266656,0.714695,-0.015823,-0.021523,0.698925
274989,0.714705,-0.015797,-0.021510,0.698917
283322,0.714722,-0.015774,-0.021470,0.698901
291655,0.714706,-0.015741,-0.021443,0.698919
299988,0.714710,-0.015710,-0.021404,0.698916
308321,0.714705,-0.015664,-0.021364,0.698925
316654,0.714727,-0.015631,-0.021340,0.698903
324987,0.714744,-0.015602,-0.021303,0.698887
333320,0.714746,-0.015572,-0.021233,0.698889
341653,0.714759,-0.015550,-0.021183,0.698877
349986,0.714771,-0.015519,-0.021148,0.698867
358319,0.714781,-0.015497,-0.021114,0.698858
366652,0.714790,-0.015477,-0.021104,0.698850
374985,0.714804,-0.015482,-0.021093,0.698836
383318,0.714826,-0.015463,-0.021080,0.698813
391651,0.714834,-0.015448,-0.021077,0.698806
399984,0.714838,-0.015447,-0.021070,0.698802
408317,0.714847,-0.015441,-0.021073,0.698792
416650,0.714852,-0.015440,-0.021056,0.698788
424983,0.714877,-0.015448,-0.021041,0.698763
433316,0.714893,-0.015429,-0.021023,0.698748
441649,0.714917,-0.015418,-0.021036,0.698722
449982,0.714944,-0.015386,-0.021008,0.698696
458315,0.714974,-0.015360,-0.020948,0.698668
466648,0.714995,-0.015342,-0.020915,0.698649
474981,0.715024,-0.015312,-0.020873,0.698620
483314,0.715036,-0.015287,-0.020866,0.698609
491647,0.715057,-0.015269,-0.020830,0.698589
499980,0.715087,-0.015261,-0.020802,0.698559
508313,0.715141,-0.015232,-0.020779,0.698505
516646,0.715164,-0.015235,-0.020754,0.698482
524979,0.715183,-0.015219,-0.020750,0.698464
